代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000002	万 科Ａ	0.48	20.71	0.10	20.81	20.81	0	0	--  	          0.00	--  	--  	--  	20.71	    20.75	0	  0.89	全国地产	深圳	0.00	20.71	0	
000049	德赛电池	2.56	51.19	1.31	52.50	52.50	0	0	--  	          0.00	--  	--  	--  	51.19	    41.15	0	  6.11	电气设备	深圳	0.00	51.19	0	
000411	英特集团	-0.30	23.28	-0.07	23.21	23.21	0	0	--  	          0.00	--  	--  	--  	23.28	    60.72	0	  0.04	医药商业	浙江	0.00	23.28	0	
000576	广东甘化	1.08	15.74	0.17	15.91	15.91	0	0	--  	          0.00	--  	--  	--  	15.74	    68.07	0	  0.18	造纸	广东	0.00	15.74	0	
000609	绵石投资	1.01	19.89	0.20	20.09	20.09	0	0	--  	          0.00	--  	--  	--  	19.89	    35.49	0	  0.27	区域地产	北京	0.00	19.89	0	
000612	焦作万方	0.27	11.08	0.03	11.11	11.11	0	0	--  	          0.00	--  	--  	--  	11.08	   233.54	0	  1.10	铝	河南	0.00	11.08	0	
000617	中油资本	-0.66	19.73	-0.13	19.60	19.60	0	0	--  	          0.00	--  	--  	--  	19.73	--  	0	  0.37	多元金融	山东	0.00	19.73	0	
000913	*ST钱江	0.28	17.75	0.05	17.80	17.80	0	0	--  	          0.00	--  	--  	--  	17.75	   109.51	0	  0.20	摩托车	浙江	0.00	17.75	0	
000925	众合科技	--  	24.15	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	24.15	--  	0	  0.00	专用机械	浙江	0.00	24.15	0	
002008	大族激光	0.15	26.28	0.04	26.32	26.32	0	0	--  	          0.00	--  	--  	--  	26.28	    33.20	0	  0.53	电器仪表	深圳	0.00	26.28	0	
002035	华帝股份	0.76	32.75	0.25	33.00	33.00	0	0	--  	          0.00	--  	--  	--  	32.75	    44.39	0	  0.98	家用电器	广东	0.00	32.75	0	
002043	兔 宝 宝	-0.78	14.06	-0.11	13.95	13.95	0	0	--  	          0.00	--  	--  	--  	14.06	    49.07	0	  0.33	其他建材	浙江	0.00	14.06	0	
002109	*ST兴化	0.22	8.99	0.02	9.01	9.01	0	0	--  	          0.00	--  	--  	--  	8.99	   224.72	0	  0.16	化工原料	陕西	0.00	8.99	0	
002136	安 纳 达	0.30	19.72	0.06	19.78	19.78	0	0	--  	          0.00	--  	--  	--  	19.72	    99.74	0	  0.28	化工原料	安徽	0.00	19.72	0	
002143	印纪传媒	--  	38.20	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	38.20	    80.02	0	  0.00	影视音像	四川	0.00	38.20	0	
002148	北纬通信	-0.32	21.78	-0.07	21.71	21.71	0	0	--  	          0.00	--  	--  	--  	21.78	    89.78	0	  0.49	互联网	北京	0.00	21.78	0	
002215	诺 普 信	0.18	11.04	0.02	11.06	11.06	0	0	--  	          0.00	--  	--  	--  	11.04	--  	0	  0.12	农药化肥	深圳	0.00	11.04	0	
002219	恒康医疗	--  	12.70	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.70	    88.02	0	  0.00	中成药	甘肃	0.00	12.70	0	
002235	安妮股份	0.00	16.18	0.00	16.18	16.18	0	0	--  	          0.00	--  	--  	--  	16.18	   455.57	0	  0.42	造纸	福建	0.00	16.18	0	
002241	歌尔股份	0.55	32.62	0.18	32.80	32.80	0	0	--  	          0.00	--  	--  	--  	32.62	    36.04	0	  0.98	元器件	山东	0.00	32.62	0	
002262	恩华药业	-0.45	22.22	-0.10	22.12	22.12	0	0	--  	          0.00	--  	--  	--  	22.22	    45.25	0	  0.75	化学制药	江苏	0.00	22.22	0	
002264	新 华 都	0.00	10.45	0.00	10.45	10.45	0	0	--  	          0.00	--  	--  	--  	10.45	    25.32	0	  0.13	超市连锁	福建	0.00	10.45	0	
002291	星期六	0.28	18.18	0.05	18.23	18.23	0	0	--  	          0.00	--  	--  	--  	18.18	   310.09	0	  0.06	服饰	广东	0.00	18.18	0	
002302	西部建设	0.00	10.95	0.00	10.95	10.95	0	0	--  	          0.00	--  	--  	--  	10.95	    46.73	0	  0.23	水泥	新疆	0.00	10.95	0	
002330	得利斯	0.17	11.66	0.02	11.68	11.68	0	0	--  	          0.00	--  	--  	--  	11.66	   237.48	0	  0.08	食品	山东	0.00	11.66	0	
002331	皖通科技	-0.06	17.45	-0.01	17.44	17.44	0	0	--  	          0.00	--  	--  	--  	17.45	    79.52	0	  0.21	软件服务	安徽	0.00	17.45	0	
002333	罗普斯金	--  	16.88	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.88	    46.31	0	  0.00	铝	江苏	0.00	16.88	0	
002341	新纶科技	0.87	18.40	0.16	18.56	18.56	0	0	--  	          0.00	--  	--  	--  	18.40	   134.68	0	  0.21	化工原料	深圳	0.00	18.40	0	
002358	森源电气	-0.24	21.21	-0.05	21.16	21.16	0	0	--  	          0.00	--  	--  	--  	21.21	    50.03	0	  0.26	电气设备	河南	0.00	21.21	0	
002383	合众思壮	--  	49.60	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	49.60	   799.04	0	  0.00	通信设备	北京	0.00	49.60	0	
002395	双象股份	--  	24.03	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	24.03	   133.57	0	  0.00	塑料	江苏	0.00	24.03	0	
002406	远东传动	0.32	9.42	0.03	9.45	9.45	0	0	--  	          0.00	--  	--  	--  	9.42	    47.30	0	  0.20	汽车配件	河南	0.00	9.42	0	
002409	雅克科技	--  	23.14	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	23.14	   117.28	0	  0.00	化工原料	江苏	0.00	23.14	0	
002411	必康股份	--  	27.40	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	27.40	    45.67	0	  0.00	化学制药	江苏	0.00	27.40	0	
002430	杭氧股份	-0.50	10.03	-0.05	9.98	9.98	0	0	--  	          0.00	--  	--  	--  	10.03	--  	0	  0.47	化工机械	浙江	0.00	10.03	0	
002468	申通快递	0.00	27.16	0.00	27.16	27.16	0	0	--  	          0.00	--  	--  	--  	27.16	  5983.50	0	  0.03	仓储物流	浙江	0.00	27.16	0	
002481	双塔食品	0.00	8.74	0.00	8.74	8.74	0	0	--  	          0.00	--  	--  	--  	8.74	    81.40	0	  0.11	食品	山东	0.00	8.74	0	
