代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000506	中润资源	1.16	10.36	0.12	10.48	10.48	0	0	--  	          0.00	--  	--  	--  	10.36	  1104.70	0	  1.20	区域地产	山东	0.00	10.36	0	
000572	海马汽车	0.00	6.14	0.00	6.14	6.14	0	0	--  	          0.00	--  	--  	--  	6.14	    36.24	0	  0.12	汽车整车	海南	0.00	6.14	0	
000605	渤海股份	-0.87	20.74	-0.18	20.56	20.56	0	0	--  	          0.00	--  	--  	--  	20.74	   122.32	0	  0.28	水务	北京	0.00	20.74	0	
000631	顺发恒业	0.00	4.94	0.00	4.94	4.94	0	0	--  	          0.00	--  	--  	--  	4.94	    32.09	0	  0.18	区域地产	吉林	0.00	4.94	0	
000632	三木集团	0.00	8.94	0.00	8.94	8.94	0	0	--  	          0.00	--  	--  	--  	8.94	  2196.09	0	  0.33	综合类	福建	0.00	8.94	0	
000663	永安林业	-0.13	15.31	-0.02	15.29	15.29	0	0	--  	          0.00	--  	--  	--  	15.31	   443.74	0	  0.11	林业	福建	0.00	15.31	0	
000672	上峰水泥	0.00	11.21	0.00	11.21	11.21	0	0	--  	          0.00	--  	--  	--  	11.21	    83.58	0	  0.32	水泥	甘肃	0.00	11.21	0	
000723	美锦能源	--  	12.23	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.23	    57.40	0	  0.00	焦炭加工	山西	0.00	12.23	0	
000785	武汉中商	--  	13.71	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.71	   139.30	0	  0.00	百货	湖北	0.00	13.71	0	
000881	中广核技	0.67	26.71	0.18	26.89	26.89	0	0	--  	          0.00	--  	--  	--  	26.71	 35504.14	0	  0.17	综合类	辽宁	0.00	26.71	0	
000893	东凌国际	0.00	14.44	0.00	14.44	14.44	0	0	--  	          0.00	--  	--  	--  	14.44	   447.74	0	  3.13	食品	广东	0.00	14.44	0	
000918	嘉凯城	0.50	8.01	0.04	8.05	8.05	0	0	--  	          0.00	--  	--  	--  	8.01	--  	0	  0.55	全国地产	浙江	0.00	8.01	0	
000935	四川双马	--  	23.06	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	23.06	   208.25	0	  0.00	水泥	四川	0.00	23.06	0	
000957	中通客车	0.49	16.39	0.08	16.47	16.47	0	0	--  	          0.00	--  	--  	--  	16.39	    16.01	0	  0.21	汽车整车	山东	0.00	16.39	0	
000971	高升控股	0.00	21.29	0.00	21.29	21.29	0	0	--  	          0.00	--  	--  	--  	21.29	    98.03	0	  0.11	互联网	湖北	0.00	21.29	0	
000981	银亿股份	--  	10.14	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.14	    43.99	0	  0.00	区域地产	甘肃	0.00	10.14	0	
000982	中银绒业	--  	9.15	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.15	--  	0	  0.00	纺织	宁夏	0.00	9.15	0	
002019	亿帆医药	0.00	16.73	0.00	16.73	16.73	0	0	--  	          0.00	--  	--  	--  	16.73	    25.74	0	  0.10	化学制药	浙江	0.00	16.73	0	
002044	美年健康	--  	12.85	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.85	   244.68	0	  0.00	医疗保健	江苏	0.00	12.85	0	
002113	天润数娱	--  	18.81	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	18.81	   317.13	0	  0.00	互联网	湖南	0.00	18.81	0	
002125	湘潭电化	0.48	12.52	0.06	12.58	12.58	0	0	--  	          0.00	--  	--  	--  	12.52	   237.71	0	  0.57	化工原料	湖南	0.00	12.52	0	
002127	南极电商	-0.54	11.06	-0.06	11.00	11.00	0	0	--  	          0.00	--  	--  	--  	11.06	    85.44	0	  0.23	互联网	江苏	0.00	11.06	0	
002141	贤丰控股	0.00	8.48	0.00	8.48	8.48	0	0	--  	          0.00	--  	--  	--  	8.48	  1051.53	0	  0.10	元器件	广东	0.00	8.48	0	
002157	正邦科技	0.00	6.28	0.00	6.28	6.28	0	0	--  	          0.00	--  	--  	--  	6.28	    11.91	0	  0.19	饲料	江西	0.00	6.28	0	
002163	中航三鑫	-0.29	10.33	-0.03	10.30	10.30	0	0	--  	          0.00	--  	--  	--  	10.33	--  	0	  0.10	装修装饰	深圳	0.00	10.33	0	
002182	云海金属	0.19	20.85	0.04	20.89	20.89	0	0	--  	          0.00	--  	--  	--  	20.85	    43.13	0	  0.34	小金属	江苏	0.00	20.85	0	
002209	达 意 隆	0.33	18.18	0.06	18.24	18.24	0	0	--  	          0.00	--  	--  	--  	18.18	--  	0	  0.15	轻工机械	广东	0.00	18.18	0	
002246	北化股份	0.00	14.86	0.00	14.86	14.86	0	0	--  	          0.00	--  	--  	--  	14.86	    67.03	0	  0.14	化工原料	四川	0.00	14.86	0	
002277	友阿股份	-0.06	16.30	-0.01	16.29	16.29	0	0	--  	          0.00	--  	--  	--  	16.30	    38.59	0	  0.17	百货	湖南	0.00	16.30	0	
002299	圣农发展	--  	18.59	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	18.59	    30.79	0	  0.00	农业综合	福建	0.00	18.59	0	
002304	洋河股份	0.65	86.31	0.56	86.87	86.87	0	0	--  	          0.00	--  	--  	--  	86.31	    20.16	0	  0.17	白酒	江苏	0.00	86.31	0	
002310	东方园林	0.00	15.23	0.00	15.23	15.23	0	0	--  	          0.00	--  	--  	--  	15.23	    59.14	0	  1.96	建筑施工	北京	0.00	15.23	0	
002346	柘中股份	0.94	35.10	0.33	35.43	35.43	0	0	--  	          0.00	--  	--  	--  	35.10	   966.37	0	  0.10	电气设备	上海	0.00	35.10	0	
002347	泰尔股份	0.32	9.48	0.03	9.51	9.51	0	0	--  	          0.00	--  	--  	--  	9.48	   239.13	0	  0.71	机械基件	安徽	0.00	9.48	0	
002359	齐星铁塔	--  	27.52	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	27.52	--  	0	  0.00	钢加工	山东	0.00	27.52	0	
002366	台海核电	0.04	47.74	0.02	47.76	47.76	0	0	--  	          0.00	--  	--  	--  	47.74	    43.88	0	  0.04	专用机械	四川	0.00	47.74	0	
002419	天虹商场	0.18	16.59	0.03	16.62	16.62	0	0	--  	          0.00	--  	--  	--  	16.59	    25.33	0	  0.28	百货	深圳	0.00	16.59	0	
002445	中南文化	--  	16.12	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.12	    73.94	0	  0.00	影视音像	江苏	0.00	16.12	0	
002452	长高集团	-0.11	8.80	-0.01	8.79	8.79	0	0	--  	          0.00	--  	--  	--  	8.80	    50.24	0	  0.29	电气设备	湖南	0.00	8.80	0	
002487	大金重工	0.00	9.60	0.00	9.60	9.60	0	0	--  	          0.00	--  	--  	--  	9.60	    72.62	0	  0.38	钢加工	辽宁	0.00	9.60	0	
002495	佳隆股份	0.00	5.76	0.00	5.76	5.76	0	0	--  	          0.00	--  	--  	--  	5.76	   166.96	0	  0.01	食品	广东	0.00	5.76	0	
