代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000043	中航地产	0.42	12.09	0.05	12.08	12.09	331	331	0.00	          0.00	12.09	12.09	12.09	12.04	    49.96	400179	  0.89	全国地产	深圳	0.00	12.09	166	
000514	渝 开 发	-0.68	10.30	-0.07	10.29	10.30	943	943	0.00	          0.01	10.30	10.30	10.30	10.37	    70.85	971290	  0.99	区域地产	重庆	0.00	10.30	472	
000534	万泽股份	0.76	15.86	0.12	15.75	15.86	6	6	0.00	          0.00	15.86	15.86	15.86	15.74	   102.37	9516	  0.07	区域地产	广东	0.00	15.86	3	
000576	广东甘化	0.38	15.80	0.06	15.74	15.80	40	40	0.00	          0.00	15.80	15.80	15.80	15.74	    68.33	63200	  0.18	造纸	广东	0.00	15.80	20	
000677	恒天海龙	0.16	6.12	0.01	6.12	6.13	43	43	0.00	          0.00	6.12	6.12	6.12	6.11	  1169.50	26316	  0.13	化纤	山东	0.00	6.12	22	
000717	*ST韶钢	0.32	6.22	0.02	6.21	6.22	305	305	0.00	          0.00	6.22	6.22	6.22	6.20	   148.38	189710	  0.49	钢加工	广东	0.00	6.22	153	
000795	英洛华	0.72	7.03	0.05	7.02	7.03	1068	1068	0.00	          0.02	7.03	7.03	7.03	6.98	   230.47	750804	  1.81	矿物制品	山西	0.00	7.03	534	
000859	国风塑业	-0.57	6.96	-0.04	6.96	6.97	7116	7116	0.00	          0.10	6.96	6.96	6.96	7.00	   280.35	4952736	  1.82	塑料	安徽	0.00	6.96	3558	
000862	银星能源	--  	7.90	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.90	   507.54	0	  0.00	新型电力	宁夏	0.00	7.90	0	
000962	*ST东钽	-0.98	13.13	-0.13	13.11	13.13	469	469	0.00	          0.01	13.13	13.13	13.13	13.26	   199.56	615797	  1.36	小金属	宁夏	0.00	13.13	235	
002109	*ST兴化	0.22	9.01	0.02	9.00	9.01	692	692	0.00	          0.03	9.01	9.01	9.01	8.99	   225.22	623492	  1.86	化工原料	陕西	0.00	9.01	346	
002199	*ST东晶	--  	19.10	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	19.10	   287.08	0	  0.00	元器件	浙江	0.00	19.10	0	
002240	威华股份	-1.02	12.65	-0.13	12.65	12.66	687	687	0.00	          0.02	12.65	12.65	12.65	12.78	   265.21	869055	  1.14	家居用品	广东	0.00	12.65	344	
002526	山东矿机	--  	10.12	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.12	   505.65	0	  0.00	工程机械	山东	0.00	10.12	0	
002760	凤形股份	0.20	39.13	0.08	39.13	39.18	33	33	0.00	          0.01	39.13	39.13	39.13	39.05	   336.62	129129	  0.42	机械基件	安徽	0.00	39.13	17	
300128	锦富技术	-0.09	21.14	-0.02	21.10	21.14	263	263	0.00	          0.01	21.14	21.14	21.14	21.16	   265.31	555982	  0.31	元器件	江苏	0.00	21.14	132	
300391	康跃科技	--  	21.84	--  	21.95	21.99	0	0	--  	          0.00	--  	--  	--  	21.84	   862.40	0	  0.00	机械基件	山东	0.00	21.84	0	
600091	ST明科	-0.78	8.96	-0.07	8.96	8.98	2056	2056	0.00	          0.06	8.96	8.96	8.96	9.03	   260.96	1842176	  5.04	化工原料	内蒙	0.00	8.96	1028	
600187	国中水务	-1.14	6.08	-0.07	6.07	6.08	5803	5803	0.00	          0.04	6.08	6.08	6.08	6.15	   621.16	3528224	  0.82	水务	黑龙江	0.00	6.08	2902	
600265	ST景谷	--  	34.34	--  	34.30	34.63	0	0	--  	          0.00	--  	--  	--  	34.34	   132.23	0	  0.00	林业	云南	0.00	34.34	0	
600319	亚星化学	0.00	11.97	0.00	11.97	11.98	1946	1946	0.00	          0.06	11.97	11.97	11.97	11.97	   141.05	2329362	  1.24	化工原料	山东	0.00	11.97	973	
600375	华菱星马	--  	8.36	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.36	    61.50	0	  0.00	汽车整车	安徽	0.00	8.36	0	
600495	晋西车轴	-0.12	8.05	-0.01	8.05	8.06	345	345	0.00	          0.00	8.05	8.05	8.05	8.06	   360.98	277725	  0.44	运输设备	山西	0.00	8.05	173	
600701	工大高新	-0.60	16.54	-0.10	16.54	16.56	3238	3238	0.00	          0.06	16.54	16.54	16.54	16.64	   223.49	5355999	  2.09	综合类	黑龙江	0.00	16.54	1619	
600721	*ST百花	-0.05	18.84	-0.01	18.83	18.88	55	55	0.00	          0.00	18.84	18.84	18.84	18.85	    54.22	103620	  0.56	焦炭加工	新疆	0.00	18.84	28	
600725	*ST云维	--  	2.85	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	2.85	     2.27	0	  0.00	焦炭加工	云南	0.00	2.85	0	
600760	中航黑豹	-0.50	33.52	-0.17	33.52	33.65	5324	5323	0.00	          0.15	33.52	33.52	33.52	33.69	   320.16	17844372	  5.85	汽车整车	山东	0.00	33.52	2662	
600784	鲁银投资	-0.74	9.37	-0.07	9.35	9.37	380	380	0.00	          0.01	9.37	9.37	9.37	9.44	   127.62	356060	  0.57	普钢	山东	0.00	9.37	190	
600880	博瑞传播	-0.58	8.52	-0.05	8.52	8.53	267	267	0.00	          0.00	8.52	8.52	8.52	8.57	   154.90	227484	  0.32	广告包装	四川	0.00	8.52	134	
数据来源:通达信
