代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000058	深 赛 格	0.00	10.61	0.00	10.61	10.65	34	34	0.00	          0.00	10.61	10.61	10.61	10.61	   232.57	36074	  0.19	元器件	深圳	0.00	10.61	17	
000065	北方国际	0.03	31.04	0.01	31.04	31.12	17	17	0.00	          0.00	31.04	31.04	31.04	31.03	    74.93	52768	  0.13	建筑施工	北京	0.00	31.04	9	
000415	渤海金控	-0.14	7.26	-0.01	7.25	7.26	297	297	0.00	          0.00	7.26	7.26	7.26	7.27	    23.39	215622	  0.34	多元金融	新疆	0.00	7.26	149	
000416	民生控股	-0.17	11.48	-0.02	11.45	11.48	23	23	0.00	          0.00	11.48	11.48	11.48	11.50	   465.69	26404	  0.14	多元金融	山东	0.00	11.48	12	
000429	粤高速Ａ	-0.40	7.39	-0.03	7.39	7.41	400	400	0.00	          0.01	7.39	7.39	7.39	7.42	    14.53	295600	  1.52	路桥	广东	0.00	7.39	200	
000543	皖能电力	0.00	7.15	0.00	7.15	7.16	678	678	0.00	          0.00	7.15	7.15	7.15	7.15	    12.43	484770	  1.63	火力发电	安徽	0.00	7.15	339	
000553	沙隆达Ａ	0.00	14.95	0.00	14.95	14.96	19	19	0.00	          0.00	14.95	14.95	14.95	14.95	   324.85	28405	  0.07	农药化肥	湖北	0.00	14.95	10	
000564	供销大集	-0.12	8.62	-0.01	8.62	8.63	363	363	0.00	          0.01	8.62	8.62	8.62	8.63	  1563.38	312906	  0.64	百货	陕西	0.00	8.62	182	
000795	英洛华	0.72	7.03	0.05	7.02	7.03	1068	1068	0.00	          0.02	7.03	7.03	7.03	6.98	   230.47	750804	  1.81	矿物制品	山西	0.00	7.03	534	
000892	欢瑞世纪	0.24	12.73	0.03	12.73	12.75	7	7	0.00	          0.00	12.73	12.73	12.73	12.70	--  	8911	  0.06	影视音像	重庆	0.00	12.73	4	
000901	航天科技	0.19	36.41	0.07	36.41	36.45	177	177	0.00	          0.01	36.41	36.41	36.41	36.34	   400.62	644457	  0.84	航空	黑龙江	0.00	36.41	89	
000932	华菱钢铁	0.00	5.13	0.00	5.12	5.13	107	107	0.00	          0.00	5.13	5.13	5.13	5.13	--  	54891	  0.22	普钢	湖南	0.00	5.13	54	
000958	东方能源	0.07	14.08	0.01	14.07	14.08	15	15	0.00	          0.00	14.08	14.08	14.08	14.07	    20.46	21120	  0.06	火力发电	河北	0.00	14.08	8	
000959	首钢股份	-0.42	7.16	-0.03	7.16	7.21	159	159	0.00	          0.00	7.16	7.16	7.16	7.19	   207.60	113844	  1.01	普钢	北京	0.00	7.16	80	
000960	锡业股份	-0.07	13.82	-0.01	13.81	13.82	916	916	0.00	          0.01	13.82	13.82	13.82	13.83	   270.06	1265912	  1.27	小金属	云南	0.00	13.82	458	
001896	豫能控股	-0.17	11.96	-0.02	11.95	11.96	663	663	0.00	          0.01	11.96	11.96	11.96	11.98	    13.98	792948	  0.63	火力发电	河南	0.00	11.96	332	
002053	云南能投	-0.57	17.58	-0.10	17.58	17.68	136	136	0.00	          0.00	17.58	17.58	17.58	17.68	    41.30	239088	  1.02	食品	云南	0.00	17.58	68	
002091	江苏国泰	-0.29	13.92	-0.04	13.92	13.95	179	179	0.00	          0.00	13.92	13.92	13.92	13.96	    52.07	249168	  0.75	商贸代理	江苏	0.00	13.92	90	
002110	三钢闽光	0.30	13.50	0.04	13.50	13.53	276	276	0.00	          0.01	13.50	13.50	13.50	13.46	    26.57	372600	  0.59	普钢	福建	0.00	13.50	138	
002180	艾派克	-0.21	28.49	-0.06	28.36	28.49	6	6	0.00	          0.00	28.49	28.49	28.49	28.55	    84.07	17094	  0.05	电脑设备	广东	0.00	28.49	3	
002209	达 意 隆	0.33	18.24	0.06	18.20	18.25	42	42	0.00	          0.00	18.24	18.24	18.24	18.18	--  	76608	  0.57	轻工机械	广东	0.00	18.24	21	
002320	海峡股份	-0.95	15.65	-0.15	15.65	15.80	1169	1169	0.00	          0.03	15.65	15.65	15.65	15.80	    37.02	1829485	  7.69	水运	海南	0.00	15.65	585	
002357	富临运业	0.00	13.70	0.00	13.69	13.70	270	270	0.00	          0.01	13.70	13.70	13.70	13.70	    28.94	369900	  2.09	公路	四川	0.00	13.70	135	
002435	长江润发	0.49	20.40	0.10	20.40	20.43	55	55	0.00	          0.00	20.40	20.40	20.40	20.30	   396.71	112200	  0.26	机械基件	江苏	0.00	20.40	28	
300123	太阳鸟	-0.73	19.01	-0.14	19.01	19.03	232	232	0.00	          0.01	19.01	19.01	19.01	19.15	   446.00	441032	  0.36	船舶	湖南	0.00	19.01	116	
600021	上海电力	-0.48	12.53	-0.06	12.51	12.53	304	304	0.00	          0.00	12.53	12.53	12.53	12.59	    24.58	380912	  0.76	火力发电	上海	0.00	12.53	152	
600072	中船科技	0.33	20.98	0.07	20.96	20.98	228	228	0.00	          0.00	20.98	20.98	20.98	20.91	--  	478344	  0.28	船舶	上海	0.00	20.98	114	
