代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000027	深圳能源	-0.28	7.00	-0.02	6.99	7.00	279	279	0.00	          0.00	7.00	7.00	7.00	7.02	    15.56	195300	  0.92	火力发电	深圳	0.00	7.00	140	
000031	中粮地产	0.36	8.37	0.03	8.36	8.37	405	405	0.00	          0.00	8.37	8.37	8.37	8.34	   148.40	338985	  1.00	全国地产	深圳	0.00	8.37	203	
000046	泛海控股	0.21	9.37	0.02	9.35	9.37	73	73	0.00	          0.00	9.37	9.37	9.37	9.35	    19.83	68401	  0.46	全国地产	北京	0.00	9.37	37	
000069	华侨城Ａ	0.26	7.62	0.02	7.62	7.63	1071	1071	0.00	          0.00	7.62	7.62	7.62	7.60	    16.08	816102	  0.91	旅游景点	深圳	0.00	7.62	536	
000089	深圳机场	-0.35	8.59	-0.03	8.57	8.59	371	371	0.00	          0.00	8.59	8.59	8.59	8.62	    32.28	318689	  0.82	机场	深圳	0.00	8.59	186	
000157	中联重科	-0.21	4.84	-0.01	4.83	4.84	814	814	0.00	          0.00	4.84	4.84	4.84	4.85	--  	393976	  0.40	工程机械	湖南	0.00	4.84	407	
000333	美的集团	0.12	33.94	0.04	33.93	33.94	1188	1188	0.00	          0.00	33.94	33.94	33.94	33.90	    12.77	4032072	  0.79	家用电器	广东	0.00	33.94	594	
000520	长航凤凰	-0.12	8.05	-0.01	8.05	8.07	246	246	0.00	          0.00	8.05	8.05	8.05	8.06	--  	198030	  0.20	水运	湖北	0.00	8.05	123	
000607	华媒控股	0.00	10.17	0.00	10.16	10.17	243	243	0.00	          0.00	10.17	10.17	10.17	10.17	    61.10	247131	  0.33	广告包装	浙江	0.00	10.17	122	
000629	*ST钒钛	0.00	2.55	0.00	2.55	2.56	4843	4842	0.00	          0.01	2.55	2.55	2.55	2.55	--  	1234838	  3.14	普钢	四川	0.00	2.55	2421	
000719	大地传媒	0.00	12.75	0.00	12.72	12.75	34	34	0.00	          0.00	12.75	12.75	12.75	12.75	    21.38	43350	  0.10	出版业	河南	0.00	12.75	17	
000723	美锦能源	--  	12.23	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.23	    57.40	0	  0.00	焦炭加工	山西	0.00	12.23	0	
000758	中色股份	-0.12	8.54	-0.01	8.53	8.54	718	718	0.00	          0.00	8.54	8.54	8.54	8.55	    61.86	613172	  0.69	铅锌	北京	0.00	8.54	359	
000761	本钢板材	0.16	6.13	0.01	6.13	6.14	145	144	0.00	          0.00	6.13	6.13	6.13	6.12	    25.09	88621	  0.38	钢加工	辽宁	0.00	6.13	72	
000768	中航飞机	-0.21	24.00	-0.05	24.00	24.01	1620	1620	0.00	          0.01	24.00	24.00	24.00	24.05	   422.10	3888000	  1.44	航空	陕西	0.00	24.00	810	
000777	中核科技	0.05	21.84	0.01	21.84	21.85	40	39	0.00	          0.00	21.84	21.84	21.84	21.83	   133.06	87098	  0.15	机械基件	江苏	0.00	21.84	20	
000789	万年青	-0.33	8.95	-0.03	8.95	8.97	614	614	0.00	          0.01	8.95	8.95	8.95	8.98	    24.84	549530	  0.73	水泥	江西	0.00	8.95	307	
000798	中水渔业	-0.08	11.84	-0.01	11.81	11.84	62	62	0.00	          0.00	11.84	11.84	11.84	11.85	--  	73408	  0.39	渔业	北京	0.00	11.84	31	
000800	一汽轿车	0.40	12.45	0.05	12.45	12.46	769	769	0.00	          0.01	12.45	12.45	12.45	12.40	--  	957978	  0.93	汽车整车	吉林	0.00	12.45	385	
000825	太钢不锈	0.00	4.93	0.00	4.93	4.94	2015	2015	0.00	          0.00	4.93	4.93	4.93	4.93	    25.01	993395	  0.88	特种钢	山西	0.00	4.93	1008	
000837	秦川机床	0.00	9.45	0.00	9.41	9.45	362	362	0.00	          0.01	9.45	9.45	9.45	9.45	--  	342090	  0.94	机床制造	陕西	0.00	9.45	181	
000878	云南铜业	0.06	15.59	0.01	15.58	15.59	3993	3993	0.00	          0.03	15.59	15.59	15.59	15.58	   371.79	6225087	  2.41	铜	云南	0.00	15.59	1997	
000912	泸天化	--  	13.22	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.22	--  	0	  0.00	农药化肥	四川	0.00	13.22	0	
000930	中粮生化	0.00	13.36	0.00	13.36	13.37	771	771	0.00	          0.01	13.36	13.36	13.36	13.36	    91.20	1030056	  0.44	农业综合	安徽	0.00	13.36	386	
000939	凯迪生态	-0.50	12.03	-0.06	12.03	12.08	526	526	0.00	          0.00	12.03	12.03	12.03	12.09	   104.87	632778	  1.00	新型电力	湖北	0.00	12.03	263	
