代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000836	鑫茂科技	-0.48	8.31	-0.04	8.31	8.34	2365	163	-0.47	          0.02	8.35	8.37	8.31	8.35	   211.65	1974556	  1.39	通信设备	天津	0.72	8.35	1490	
000839	中信国安	-0.87	11.41	-0.10	11.40	11.41	70986	236	0.61	          0.18	11.34	11.41	11.31	11.51	   153.20	80469872	  8.55	综合类	北京	0.87	11.34	44510	
002103	广博股份	-0.11	18.16	-0.02	18.16	18.19	15986	172	-2.36	          0.61	18.60	18.60	17.82	18.18	    86.35	29584232	 56.29	文教休闲	浙江	4.29	18.51	6615	
002164	宁波东力	-5.03	13.02	-0.69	13.02	13.03	99763	938	-5.03	          2.41	13.71	13.71	13.02	13.71	   859.93	136155840	 57.87	电气设备	浙江	5.03	13.65	58681	
002195	二三四五	-1.56	12.62	-0.20	12.62	12.67	18201	217	-1.01	          0.17	12.75	12.75	12.58	12.82	    38.41	23111858	  9.48	软件服务	上海	1.33	12.70	10431	
002402	和而泰	0.45	11.11	0.05	11.11	11.12	11518	272	0.09	          0.19	11.10	11.17	11.07	11.06	    72.31	12791564	 14.92	元器件	深圳	0.90	11.11	4299	
002635	安洁科技	-0.17	40.49	-0.07	40.40	40.49	445	5	0.22	          0.02	40.40	40.58	40.36	40.56	    44.22	1801322	  2.04	电脑设备	江苏	0.54	40.46	251	
002830	名雕股份	-0.96	72.30	-0.70	72.10	72.30	1288	15	-0.13	          0.77	72.40	72.41	71.67	73.00	   207.74	9292121	  8.36	装修装饰	深圳	1.01	72.14	738	
002841	视源股份	-1.24	95.80	-1.20	95.80	95.92	1084	15	-0.20	          0.27	96.00	96.00	95.36	97.00	    48.75	10388700	  4.90	元器件	广东	0.66	95.84	458	
002843	泰嘉股份	-0.78	35.70	-0.28	35.65	35.70	797	7	-0.69	          0.23	35.95	35.95	35.70	35.98	   130.55	2858920	  2.19	钢加工	湖南	0.69	35.87	532	
300207	欣旺达	-0.78	12.80	-0.10	12.79	12.80	5933	21	-0.38	          0.08	12.85	12.86	12.78	12.90	    36.77	7617057	  6.00	元器件	深圳	0.62	12.84	4446	
300299	富春通信	-0.86	26.55	-0.23	26.55	26.58	2091	54	-0.22	          0.12	26.61	26.62	26.46	26.78	   102.95	5555185	  1.78	通信设备	福建	0.60	26.57	860	
300304	云意电气	-0.81	18.30	-0.15	18.29	18.30	34252	426	0.05	          0.46	18.29	18.30	18.23	18.45	   143.33	62608200	  5.72	汽车配件	江苏	0.38	18.28	23053	
300340	科恒股份	-0.46	60.80	-0.28	60.80	60.81	2698	94	-0.49	          0.33	61.10	61.20	60.60	61.08	   920.17	16472363	  4.95	元器件	广东	0.98	61.05	1890	
300344	太空板业	0.00	16.54	0.00	16.58	16.65	1114	12	0.24	          0.08	16.50	16.55	16.47	16.54	   425.07	1838576	  9.61	其他建材	北京	0.48	16.50	365	
300374	恒通科技	1.53	23.88	0.36	23.88	23.90	6248	243	-0.83	          0.53	24.08	24.18	23.88	23.52	   291.81	15026030	 15.54	其他建材	北京	1.28	24.05	2968	
300520	科大国创	-2.81	83.58	-2.42	83.20	83.51	2036	47	-0.49	          0.89	84.00	84.00	83.15	86.00	   316.17	17055928	 12.34	软件服务	安徽	0.99	83.77	801	
300533	冰川网络	-0.48	118.10	-0.57	117.82	118.62	355	2	-0.58	          0.14	118.80	118.80	117.80	118.67	    76.80	4211256	  4.55	软件服务	深圳	0.84	118.63	68	
300571	平治信息	-0.90	121.00	-1.10	120.85	121.00	448	6	-0.13	          0.45	121.16	121.50	120.85	122.10	   102.11	5427245	  5.67	互联网	浙江	0.53	121.14	261	
300577	开润股份	-0.46	83.00	-0.38	82.38	83.00	288	61	-1.04	          0.17	83.88	83.88	82.96	83.38	    64.71	2400346	  6.70	纺织	安徽	1.10	83.35	214	
300578	会畅通讯	-0.95	56.28	-0.54	56.28	56.39	1360	11	-0.38	          0.76	56.50	56.50	56.10	56.82	   109.27	7671510	  7.27	通信设备	上海	0.70	56.41	617	
300612	宣亚国际	-1.09	86.96	-0.96	86.97	87.00	1158	11	0.41	          0.64	86.60	87.00	86.60	87.92	   169.67	10040063	  5.19	广告包装	北京	0.45	86.70	758	
600179	安通控股	0.06	17.14	0.01	17.14	17.15	1731	59	-0.86	          0.04	17.29	17.29	17.14	17.13	    52.81	2980771	  4.43	仓储物流	黑龙江	0.88	17.22	1017	
600242	中昌数据	-1.77	16.14	-0.29	16.10	16.12	2722	74	-1.46	          0.10	16.38	16.38	16.10	16.43	--  	4444437	  8.53	水运	广东	1.70	16.33	1520	
600760	中航黑豹	0.92	34.00	0.31	34.00	34.05	8548	300	1.43	          0.25	33.52	34.00	33.52	33.69	   324.75	28730050	  9.39	汽车整车	山东	1.42	33.61	4071	
600767	运盛医疗	-1.85	13.77	-0.26	13.76	13.77	660	5	-0.21	          0.02	13.80	13.80	13.76	14.03	--  	910533	  2.21	医疗保健	上海	0.29	13.80	197	
