代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000049	德赛电池	1.78	52.10	0.91	52.09	52.10	7752	129	0.19	          0.38	52.00	52.26	51.80	51.19	    41.88	40310004	 43.55	电气设备	深圳	0.90	52.00	2640	
000710	*ST天仪	3.44	54.80	1.82	54.80	54.83	10194	10	-1.49	          0.67	55.63	55.63	54.10	52.98	--  	56656728	 47.41	汽车配件	四川	2.89	55.58	5236	
002497	雅化集团	3.83	7.87	0.29	7.85	7.87	141701	865	-0.12	          1.82	7.88	7.88	7.78	7.58	    58.11	111227976	181.44	化工原料	四川	1.32	7.85	49023	
002831	裕同科技	0.75	77.60	0.58	77.51	77.60	1949	36	0.25	          0.49	77.40	78.20	77.40	77.02	    42.25	15114390	 10.21	广告包装	深圳	1.04	77.53	627	
002836	新宏泽	-2.53	60.00	-1.56	59.98	60.00	6424	100	0.55	          3.21	59.67	60.00	59.65	61.56	    95.41	38374292	 24.80	广告包装	广东	0.57	59.74	3639	
300072	三聚环保	-0.36	54.78	-0.20	54.76	54.80	4267	99	-0.38	          0.05	54.99	54.99	54.78	54.98	    40.41	23450466	  7.66	环境保护	北京	0.38	54.96	1713	
300083	劲胜精密	0.82	8.64	0.07	8.63	8.64	102659	736	-0.68	          0.91	8.70	8.70	8.62	8.57	   116.28	89147480	 56.25	元器件	广东	0.93	8.68	34679	
300279	和晶科技	-1.02	43.70	-0.45	43.68	43.70	1482	17	-0.45	          0.18	43.90	43.90	43.56	44.15	    75.16	6495581	 19.00	元器件	江苏	0.77	43.83	534	
300310	宜通世纪	1.08	28.10	0.30	28.10	28.11	7182	95	0.35	          0.33	28.00	28.11	27.82	27.80	    68.64	20121366	 18.23	通信设备	广东	1.04	28.01	2709	
300346	南大光电	-1.22	33.90	-0.42	33.85	33.90	1655	38	0.14	          0.13	33.85	33.90	33.62	34.32	   285.21	5597721	  7.73	元器件	江苏	0.82	33.82	991	
300446	乐凯新材	2.02	39.88	0.79	39.81	39.88	10725	28	0.20	          1.42	39.80	39.88	39.72	39.09	    45.35	42679216	 89.38	化工原料	河北	0.41	39.79	3090	
300609	汇纳科技	2.57	66.71	1.67	66.70	66.71	15753	366	-0.16	          6.30	66.82	66.97	65.50	65.04	   138.11	105067664	108.64	互联网	上海	2.26	66.70	7670	
600212	江泉实业	2.37	11.22	0.26	11.20	11.22	50712	1104	0.80	          0.99	11.13	11.22	11.08	10.96	   128.87	56534496	 66.46	综合类	山东	1.28	11.15	12908	
601212	白银有色	-2.25	10.44	-0.24	10.44	10.47	247593	4902	-0.57	          3.55	10.50	10.53	10.34	10.68	   242.20	259552576	 64.80	铜	甘肃	1.78	10.48	169942	
603098	森特股份	3.08	28.75	0.86	28.70	28.75	16681	368	-0.17	          2.67	28.80	28.80	28.58	27.89	    61.57	47952920	 24.25	装修装饰	北京	0.79	28.75	6541	
603444	吉比特	2.60	367.85	9.32	367.90	368.00	998	14	0.23	          0.56	367.00	368.50	366.99	358.53	    42.54	36665024	  8.91	互联网	福建	0.42	367.39	310	
603696	安记食品	-1.86	48.13	-0.91	48.13	48.35	4251	58	-0.55	          1.23	48.40	48.40	48.06	49.04	   145.80	20552516	 10.42	食品	福建	0.69	48.35	2203	
603881	数据港	9.88	70.43	6.33	70.40	70.43	24529	440	-0.08	          4.66	70.49	70.49	68.61	64.10	   195.45	172501136	 32.28	互联网	上海	2.93	70.32	10839	
数据来源:通达信
