代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
002164	宁波东力	-5.18	13.00	-0.71	13.00	13.20	102409	1312	-5.17	          2.47	13.71	13.71	13.00	13.71	   858.61	139605856	 59.40	电气设备	浙江	5.18	13.63	61327	
002584	西陇科学	-1.00	14.89	-0.15	14.88	14.89	11377	108	0.00	          0.44	14.89	14.89	14.80	15.04	    79.25	16921072	  5.35	化工原料	广东	0.60	14.87	5313	
002634	棒杰股份	-3.03	11.19	-0.35	11.20	11.21	22620	701	0.81	          0.89	11.10	11.22	11.10	11.54	   131.73	25198764	 18.32	服饰	浙江	1.04	11.14	7431	
002796	世嘉科技	-0.71	61.13	-0.44	61.10	61.13	409	13	0.11	          0.20	61.06	61.48	61.06	61.57	   103.77	2498429	  2.52	专用机械	江苏	0.68	61.09	252	
002802	洪汇新材	-0.37	51.75	-0.19	51.54	51.80	758	4	0.85	          0.28	51.31	51.88	51.30	51.94	   106.40	3898130	  7.81	化工原料	江苏	1.12	51.43	150	
002805	丰元股份	-1.39	52.56	-0.74	52.56	52.59	505	4	-0.83	          0.21	53.00	53.00	52.56	53.30	   215.74	2668581	  1.62	化工原料	山东	0.83	52.84	317	
002807	江阴银行	-1.20	20.65	-0.25	20.61	20.65	1540	28	-0.72	          0.07	20.80	20.80	20.55	20.90	    53.65	3190018	  0.71	银行	江苏	1.20	20.71	1118	
002809	红墙股份	-1.06	70.12	-0.75	70.15	70.18	641	9	-0.24	          0.32	70.29	70.29	70.01	70.87	    85.07	4498925	  8.22	化工原料	广东	0.40	70.19	463	
002819	东方中科	0.76	50.39	0.38	50.30	50.39	810	28	0.77	          0.29	50.00	50.39	49.99	50.01	   186.63	4056623	  1.53	电器仪表	北京	0.80	50.08	309	
002820	桂发祥	0.04	55.80	0.02	55.80	55.84	580	5	-0.53	          0.18	56.10	56.30	55.80	55.78	    69.20	3252911	  1.06	食品	天津	0.90	56.08	419	
002824	和胜股份	-0.75	44.70	-0.34	44.69	44.70	705	5	-0.66	          0.23	45.00	45.00	44.69	45.04	    75.14	3164067	  2.34	铝	广东	0.69	44.88	419	
002827	高争民爆	0.34	32.85	0.11	32.85	32.98	2178	26	0.06	          0.47	32.83	33.05	32.75	32.74	    56.16	7163565	  8.61	化工原料	西藏	0.92	32.89	464	
002829	星网宇达	-0.77	89.65	-0.70	89.63	89.65	567	14	-0.38	          0.30	90.00	90.00	89.50	90.35	    92.92	5096597	  3.91	通信设备	北京	0.55	89.89	310	
