代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000008	神州高铁	0.12	8.67	0.01	8.68	8.68	0	0	--  	          0.00	--  	--  	--  	8.67	    84.21	0	  0.46	运输设备	北京	0.00	8.67	0	
000028	国药一致	0.18	70.33	0.13	70.46	70.46	0	0	--  	          0.00	--  	--  	--  	70.33	    31.24	0	  0.02	医药商业	深圳	0.00	70.33	0	
000038	深大通	0.54	40.97	0.22	41.19	41.19	0	0	--  	          0.00	--  	--  	--  	40.97	    92.34	0	  0.04	广告包装	深圳	0.00	40.97	0	
000166	申万宏源	0.32	6.30	0.02	6.32	6.32	0	0	--  	          0.00	--  	--  	--  	6.30	    24.62	0	  0.79	证券	新疆	0.00	6.30	0	
000400	许继电气	0.00	17.65	0.00	17.65	17.65	0	0	--  	          0.00	--  	--  	--  	17.65	    54.56	0	  0.17	电气设备	河南	0.00	17.65	0	
000513	丽珠集团	0.16	54.73	0.09	54.82	54.82	0	0	--  	          0.00	--  	--  	--  	54.73	    28.42	0	  0.01	中成药	广东	0.00	54.73	0	
000530	大冷股份	--  	11.28	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.28	    39.28	0	  0.00	机械基件	辽宁	0.00	11.28	0	
000591	太阳能	-0.55	14.49	-0.08	14.41	14.41	0	0	--  	          0.00	--  	--  	--  	14.49	    36.42	0	  0.42	新型电力	重庆	0.00	14.49	0	
000791	甘肃电投	-0.37	13.46	-0.05	13.41	13.41	0	0	--  	          0.00	--  	--  	--  	13.46	  1452.46	0	  1.16	水力发电	甘肃	0.00	13.46	0	
000902	新洋丰	0.10	9.57	0.01	9.58	9.58	0	0	--  	          0.00	--  	--  	--  	9.57	    17.58	0	  0.36	农药化肥	湖北	0.00	9.57	0	
