代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
600000	浦发银行	-0.06	16.33	-0.01	16.33	16.35	596	318	-0.06	          0.00	16.34	16.34	16.33	16.34	     6.51	973947	  1.01	银行	上海	0.06	16.34	457	
600050	中国联通	-0.40	7.38	-0.03	7.38	7.39	27133	3478	0.27	          0.01	7.36	7.39	7.36	7.41	   240.04	19973820	  1.50	电信运营	上海	0.40	7.36	11828	
600325	华发股份	0.44	13.78	0.06	13.78	13.81	2364	521	0.07	          0.02	13.77	13.80	13.77	13.72	    31.82	3255949	  5.05	区域地产	广东	0.22	13.77	922	
600383	金地集团	-0.49	12.17	-0.06	12.17	12.18	1184	417	0.00	          0.00	12.17	12.17	12.15	12.23	    24.03	1440718	  2.13	全国地产	深圳	0.16	12.17	384	
600435	北方导航	-0.49	16.20	-0.08	16.20	16.23	1776	635	-0.30	          0.01	16.25	16.25	16.20	16.28	  4738.21	2884316	  0.67	专用机械	北京	0.31	16.24	1206	
600570	恒生电子	0.18	44.99	0.08	44.92	44.99	207	50	-0.02	          0.00	45.00	45.00	44.91	44.91	   101.51	931409	  0.55	软件服务	浙江	0.20	45.00	79	
600998	九州通	0.20	19.97	0.04	19.95	19.97	20	6	0.00	          0.00	19.97	19.97	19.97	19.93	    53.93	39940	  0.25	医药商业	湖北	0.00	19.97	13	
601166	兴业银行	0.00	16.55	0.00	16.54	16.55	1797	687	-0.06	          0.00	16.56	16.56	16.55	16.55	     5.38	2975662	  1.31	银行	福建	0.06	16.56	1242	
601288	农业银行	-0.31	3.25	-0.01	3.25	3.26	70437	46074	0.00	          0.00	3.25	3.26	3.25	3.26	     5.14	22937936	 12.40	银行	北京	0.31	3.26	58256	
601328	交通银行	-0.16	6.21	-0.01	6.21	6.22	1406	181	-0.16	          0.00	6.22	6.22	6.21	6.22	     6.58	874393	  0.75	银行	上海	0.16	6.22	794	
601398	工商银行	0.00	4.73	0.00	4.73	4.74	16081	14094	0.21	          0.00	4.72	4.73	4.72	4.73	     5.68	7604534	  4.86	银行	北京	0.21	4.73	994	
601988	中国银行	0.00	3.67	0.00	3.66	3.67	28647	26679	0.00	          0.00	3.67	3.67	3.66	3.67	     6.01	10513393	  6.66	银行	北京	0.27	3.67	984	
数据来源:通达信
