代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
600000	浦发银行	0.00	16.34	0.00	16.33	16.34	278	278	0.00	          0.00	16.34	16.34	16.34	16.34	     6.51	454252	  0.47	银行	上海	0.00	16.34	139	
600004	白云机场	-0.37	16.14	-0.06	16.12	16.14	1486	1486	0.00	          0.01	16.14	16.14	16.14	16.20	    13.17	2398404	  3.28	机场	广东	0.00	16.14	743	
600006	东风汽车	-0.14	7.12	-0.01	7.12	7.13	101	101	0.00	          0.00	7.12	7.12	7.12	7.13	    47.01	71912	  0.18	汽车整车	湖北	0.00	7.12	51	
600007	中国国贸	0.00	20.01	0.00	20.01	20.09	26	26	0.00	          0.00	20.01	20.01	20.01	20.01	    27.55	52026	  0.39	园区开发	北京	0.00	20.01	13	
600008	首创股份	0.23	4.38	0.01	4.37	4.38	1745	1745	0.00	          0.00	4.38	4.38	4.38	4.37	    40.33	764310	  0.58	环境保护	北京	0.00	4.38	873	
600009	上海机场	0.00	28.35	0.00	28.35	28.39	215	214	0.00	          0.00	28.35	28.35	28.35	28.35	    19.47	609327	  0.91	机场	上海	0.00	28.35	107	
600010	包钢股份	0.00	3.10	0.00	3.10	3.11	1296	1296	0.00	          0.00	3.10	3.10	3.10	3.10	   321.75	401760	  0.51	普钢	内蒙	0.00	3.10	648	
600011	华能国际	-0.39	7.72	-0.03	7.72	7.73	80	80	0.00	          0.00	7.72	7.72	7.72	7.75	     9.37	61760	  0.14	火力发电	北京	0.00	7.72	40	
600012	皖通高速	0.00	14.57	0.00	14.52	14.57	17	17	0.00	          0.00	14.57	14.57	14.57	14.57	    25.86	24769	  0.11	路桥	安徽	0.00	14.57	9	
600015	华夏银行	-0.09	11.46	-0.01	11.46	11.47	116	116	0.00	          0.00	11.46	11.46	11.46	11.47	     6.28	132936	  0.16	银行	北京	0.00	11.46	58	
