代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000595	宝塔实业	-0.97	10.24	-0.10	10.23	10.24	2212	2212	0.00	          0.04	10.24	10.24	10.24	10.34	--  	2265088	  0.54	机械基件	宁夏	0.00	10.24	1106	
002346	柘中股份	0.00	35.10	0.00	35.09	35.10	135	135	0.00	          0.02	35.10	35.10	35.10	35.10	   966.37	473850	  0.17	电气设备	上海	0.00	35.10	68	
002490	山东墨龙	-0.59	8.39	-0.05	8.38	8.39	999	999	0.00	          0.03	8.39	8.39	8.39	8.44	   601.73	838161	  0.42	化工机械	山东	0.00	8.39	500	
002742	三圣股份	-1.48	24.56	-0.37	24.56	24.65	1148	1148	0.00	          0.16	24.56	24.56	24.56	24.93	    44.99	2819488	  1.81	其他建材	重庆	0.00	24.56	574	
002799	环球印务	-0.71	49.01	-0.35	49.01	49.36	68	68	0.00	          0.03	49.01	49.01	49.01	49.36	   221.45	333268	  0.37	广告包装	陕西	0.00	49.01	34	
002805	丰元股份	-0.56	53.00	-0.30	52.98	53.00	253	253	0.00	          0.10	53.00	53.00	53.00	53.30	   217.55	1340900	  0.81	化工原料	山东	0.00	53.00	127	
002807	江阴银行	-0.48	20.80	-0.10	20.74	20.80	494	494	0.00	          0.02	20.80	20.80	20.80	20.90	    54.04	1027520	  0.23	银行	江苏	0.00	20.80	247	
002819	东方中科	-0.02	50.00	-0.01	50.00	50.01	380	380	0.00	          0.13	50.00	50.00	50.00	50.01	   185.19	1900000	  0.72	电器仪表	北京	0.00	50.00	190	
002820	桂发祥	0.57	56.10	0.32	56.01	56.10	206	206	0.00	          0.06	56.10	56.10	56.10	55.78	    69.57	1155660	  0.38	食品	天津	0.00	56.10	103	
002824	和胜股份	-0.09	45.00	-0.04	44.98	45.00	274	274	0.00	          0.09	45.00	45.00	45.00	45.04	    75.65	1233000	  0.91	铝	广东	0.00	45.00	137	
002829	星网宇达	-0.39	90.00	-0.35	89.99	90.00	175	175	0.00	          0.09	90.00	90.00	90.00	90.35	    93.28	1575000	  1.21	通信设备	北京	0.00	90.00	88	
002836	新宏泽	-3.07	59.67	-1.89	59.67	59.69	2720	2720	0.00	          1.36	59.67	59.67	59.67	61.56	    94.88	16230240	 10.50	广告包装	广东	0.00	59.67	1360	
002839	张家港行	-0.88	24.66	-0.22	24.66	24.67	1225	1225	0.00	          0.07	24.66	24.66	24.66	24.88	    64.82	3020850	  0.63	银行	江苏	0.00	24.66	613	
002840	华统股份	-0.63	30.00	-0.19	29.98	30.00	212	212	0.00	          0.05	30.00	30.00	30.00	30.19	    62.63	636000	  0.60	食品	浙江	0.00	30.00	106	
002842	翔鹭钨业	-0.72	56.30	-0.41	56.20	56.30	124	124	0.00	          0.05	56.30	56.30	56.30	56.71	    89.42	698120	  0.46	小金属	广东	0.00	56.30	62	
002843	泰嘉股份	-0.08	35.95	-0.03	35.88	35.95	436	436	0.00	          0.12	35.95	35.95	35.95	35.98	   131.47	1567420	  1.20	钢加工	湖南	0.00	35.95	218	
002845	同兴达	0.10	58.04	0.06	58.03	58.04	138	138	0.00	          0.06	58.04	58.04	58.04	57.98	   103.96	800952	  0.79	元器件	深圳	0.00	58.04	69	
002846	英联股份	-0.05	39.40	-0.02	39.33	39.40	199	199	0.00	          0.07	39.40	39.40	39.40	39.42	    85.31	784060	  0.58	广告包装	广东	0.00	39.40	100	
002847	盐津铺子	-0.61	49.00	-0.30	48.94	49.00	130	130	0.00	          0.04	49.00	49.00	49.00	49.30	    73.46	637000	  0.42	食品	湖南	0.00	49.00	65	
002848	高斯贝尔	-0.66	34.84	-0.23	34.84	34.86	175	175	0.00	          0.04	34.84	34.84	34.84	35.07	   132.04	609700	  0.28	通信设备	湖南	0.00	34.84	88	
002849	威星智能	-1.65	58.50	-0.98	58.41	58.50	351	351	0.00	          0.16	58.50	58.50	58.50	59.48	    97.07	2053350	  1.43	电器仪表	浙江	0.00	58.50	176	
300222	科大智能	-1.03	25.90	-0.27	25.90	25.91	7782	7781	0.00	          0.28	25.90	25.90	25.90	26.17	    84.00	20154706	  3.08	电气设备	上海	0.00	25.90	3891	
300304	云意电气	-0.87	18.29	-0.16	18.28	18.29	13132	13132	0.00	          0.18	18.29	18.29	18.29	18.45	   143.25	24018428	  2.19	汽车配件	江苏	0.00	18.29	6566	
300376	易事特	-0.20	53.80	-0.11	53.80	53.81	1106	1106	0.00	          0.06	53.80	53.80	53.80	53.91	    65.70	5950280	  1.29	电气设备	广东	0.00	53.80	553	
300571	平治信息	-0.77	121.16	-0.94	121.16	121.20	265	265	0.00	          0.27	121.16	121.16	121.16	122.10	   102.24	3210740	  3.35	互联网	浙江	0.00	121.16	133	
300578	会畅通讯	-0.56	56.50	-0.32	56.27	56.50	583	583	0.00	          0.32	56.50	56.50	56.50	56.82	   109.70	3293950	  3.12	通信设备	上海	0.00	56.50	292	
300579	数字认证	-0.75	67.89	-0.51	67.89	67.98	111	111	0.00	          0.06	67.89	67.89	67.89	68.40	   225.97	753579	  0.61	软件服务	北京	0.00	67.89	56	
300580	贝斯特	-0.68	33.62	-0.23	33.61	33.62	317	317	0.00	          0.06	33.62	33.62	33.62	33.85	    60.85	1065754	  0.57	汽车配件	江苏	0.00	33.62	159	
300581	晨曦航空	-0.87	120.60	-1.06	120.55	120.60	52	52	0.00	          0.05	120.60	120.60	120.60	121.66	   188.83	627120	  0.54	航空	陕西	0.00	120.60	26	
300582	英飞特	-0.17	41.69	-0.07	41.59	41.69	114	114	0.00	          0.03	41.69	41.69	41.69	41.76	    89.26	475266	  0.44	半导体	浙江	0.00	41.69	57	
300586	美联新材	0.30	43.85	0.13	43.85	43.88	276	276	0.00	          0.12	43.85	43.85	43.85	43.72	    88.97	1210260	  1.25	化工原料	广东	0.00	43.85	138	
300587	天铁股份	0.00	42.09	0.00	41.95	42.09	64	64	0.00	          0.02	42.09	42.09	42.09	42.09	    70.18	269376	  0.36	橡胶	浙江	0.00	42.09	32	
300589	江龙船艇	0.52	48.04	0.25	48.00	48.04	126	126	0.00	          0.06	48.04	48.04	48.04	47.79	   154.46	605304	  0.48	船舶	广东	0.00	48.04	63	
300591	万里马	-0.12	24.67	-0.03	24.66	24.67	422	422	0.00	          0.07	24.67	24.67	24.67	24.70	   163.35	1041074	  0.57	服饰	广东	0.00	24.67	211	
300592	华凯创意	1.22	36.50	0.44	36.50	36.60	271	271	0.00	          0.09	36.50	36.50	36.50	36.06	   118.55	989150	  0.89	软件服务	湖南	0.00	36.50	136	
300593	新雷能	-0.77	41.43	-0.32	41.43	41.75	243	243	0.00	          0.08	41.43	41.43	41.43	41.75	    95.85	1006749	  0.93	电气设备	北京	0.00	41.43	122	
300596	利安隆	0.00	44.79	0.00	44.76	44.79	80	80	0.00	          0.03	44.79	44.79	44.79	44.79	    54.88	358320	  0.35	化工原料	天津	0.00	44.79	40	
300597	吉大通信	0.04	28.19	0.01	28.18	28.19	562	562	0.00	          0.09	28.19	28.19	28.19	28.18	   140.15	1584278	  0.86	通信设备	吉林	0.00	28.19	281	
300598	诚迈科技	-0.07	56.86	-0.04	56.86	56.90	220	220	0.00	          0.11	56.86	56.86	56.86	56.90	    89.97	1250920	  1.36	软件服务	江苏	0.00	56.86	110	
300599	雄塑科技	-0.08	26.63	-0.02	26.51	26.63	371	371	0.00	          0.05	26.63	26.63	26.63	26.65	    83.89	987973	  0.46	塑料	广东	0.00	26.63	186	
300601	康泰生物	1.66	37.25	0.61	37.25	37.28	1825	1824	0.00	          0.43	37.25	37.25	37.25	36.64	   154.33	6797529	  4.06	生物制药	深圳	0.00	37.25	912	
300602	飞荣达	-0.39	61.00	-0.24	60.89	61.00	113	113	0.00	          0.05	61.00	61.00	61.00	61.24	    60.35	689300	  0.69	元器件	深圳	0.00	61.00	57	
300603	立昂技术	1.87	46.35	0.85	46.35	46.38	1719	1719	0.00	          0.67	46.35	46.35	46.35	45.50	   217.55	7967565	  3.60	通信设备	新疆	0.00	46.35	860	
300605	恒锋信息	0.02	49.51	0.01	49.51	49.52	220	220	0.00	          0.10	49.51	49.51	49.51	49.50	   106.53	1089220	  1.17	软件服务	福建	0.00	49.51	110	
300606	金太阳	0.62	45.32	0.28	45.20	45.32	373	373	0.00	          0.17	45.32	45.32	45.32	45.04	   100.54	1690436	  1.60	矿物制品	广东	0.00	45.32	187	
300607	拓斯达	-0.43	82.00	-0.35	81.94	82.00	164	164	0.00	          0.09	82.00	82.00	82.00	82.35	    94.82	1344800	  0.92	专用机械	广东	0.00	82.00	82	
300608	思特奇	-0.50	69.70	-0.35	69.70	69.73	51	51	0.00	          0.03	69.70	69.70	69.70	70.05	--  	355470	  0.43	软件服务	北京	0.00	69.70	26	
300610	晨化股份	-0.41	43.52	-0.18	43.52	43.64	199	199	0.00	          0.08	43.52	43.52	43.52	43.70	    71.45	866048	  0.89	化工原料	江苏	0.00	43.52	100	
300611	美力科技	-0.95	54.00	-0.52	54.00	54.02	234	234	0.00	          0.10	54.00	54.00	54.00	54.52	   111.91	1263600	  0.90	机械基件	浙江	0.00	54.00	117	
300612	宣亚国际	-1.50	86.60	-1.32	86.60	86.70	614	614	0.00	          0.34	86.60	86.60	86.60	87.92	   168.97	5317240	  2.75	广告包装	北京	0.00	86.60	307	
300613	富瀚微	-3.23	285.00	-9.50	284.80	285.00	826	826	0.00	          0.74	285.00	285.00	285.00	294.50	   113.26	23541000	  5.29	半导体	上海	0.00	285.00	413	
300615	欣天科技	-0.68	58.18	-0.40	58.18	58.20	74	74	0.00	          0.04	58.18	58.18	58.18	58.58	    78.54	430532	  0.34	元器件	深圳	0.00	58.18	37	
600209	罗顿发展	-0.27	14.72	-0.04	14.72	14.75	3968	3968	0.00	          0.09	14.72	14.72	14.72	14.76	--  	5840896	  1.14	综合类	海南	0.00	14.72	1984	
600908	无锡银行	0.00	13.92	0.00	13.91	13.92	588	588	0.00	          0.03	13.92	13.92	13.92	13.92	    27.63	818496	  0.47	银行	江苏	0.00	13.92	294	
601128	常熟银行	-0.47	12.81	-0.06	12.81	12.82	569	569	0.00	          0.03	12.81	12.81	12.81	12.87	    27.55	728889	  0.32	银行	江苏	0.00	12.81	285	
601375	中原证券	-0.56	10.70	-0.06	10.68	10.70	2271	2271	0.00	          0.03	10.70	10.70	10.70	10.76	    57.28	2429970	  0.38	证券	河南	0.00	10.70	1136	
601858	中国科传	-0.54	20.10	-0.11	20.08	20.10	361	361	0.00	          0.03	20.10	20.10	20.10	20.21	   129.41	725610	  0.24	出版业	北京	0.00	20.10	181	
601882	海天精工	-0.48	26.85	-0.13	26.85	26.86	167	167	0.00	          0.03	26.85	26.85	26.85	26.98	   206.39	448395	  0.31	机床制造	浙江	0.00	26.85	84	
603007	花王股份	-0.21	60.50	-0.13	60.48	60.50	159	159	0.00	          0.05	60.50	60.50	60.50	60.63	    97.90	961950	  0.43	建筑施工	江苏	0.00	60.50	80	
603029	天鹅股份	-0.71	52.00	-0.37	51.81	52.08	165	165	0.00	          0.07	52.00	52.00	52.00	52.37	   204.73	858000	  0.54	专用机械	山东	0.00	52.00	83	
603032	德新交运	-0.29	34.22	-0.10	34.20	34.22	280	280	0.00	          0.08	34.22	34.22	34.22	34.32	    80.59	958160	  0.63	公路	新疆	0.00	34.22	140	
603035	常熟汽饰	-0.04	28.45	-0.01	28.40	28.45	368	368	0.00	          0.05	28.45	28.45	28.45	28.46	    37.59	1046960	  0.62	汽车配件	江苏	0.00	28.45	184	
603036	如通股份	0.14	35.50	0.05	35.47	35.50	424	424	0.00	          0.08	35.50	35.50	35.50	35.45	   113.57	1505200	  0.75	专用机械	江苏	0.00	35.50	212	
603040	新坐标	-1.19	71.65	-0.86	71.65	71.75	418	418	0.00	          0.28	71.65	71.65	71.65	72.51	    96.62	2994970	  2.65	机械基件	浙江	0.00	71.65	209	
603098	森特股份	3.26	28.80	0.91	28.75	28.80	7620	7620	0.00	          1.22	28.80	28.80	28.80	27.89	    61.68	21945600	 11.08	装修装饰	北京	0.00	28.80	3810	
603159	上海亚虹	-0.90	59.19	-0.54	59.19	59.50	86	86	0.00	          0.03	59.19	59.19	59.19	59.73	   162.92	509034	  0.22	专用机械	上海	0.00	59.19	43	
603177	德创环保	-0.78	30.70	-0.24	30.68	30.70	547	547	0.00	          0.11	30.70	30.70	30.70	30.94	   149.71	1679290	  0.61	环境保护	浙江	0.00	30.70	274	
603208	江山欧派	-0.79	65.22	-0.52	65.21	65.22	76	76	0.00	          0.04	65.22	65.22	65.22	65.74	    47.00	495672	  0.42	家居用品	浙江	0.00	65.22	38	
603218	日月股份	0.00	49.01	0.00	49.00	49.03	143	143	0.00	          0.03	49.01	49.01	49.01	49.01	    60.83	700843	  0.38	工程机械	浙江	0.00	49.01	72	
603238	诺邦股份	-0.77	47.98	-0.37	47.90	47.98	251	251	0.00	          0.08	47.98	47.98	47.98	48.35	    93.73	1204298	  0.74	纺织	浙江	0.00	47.98	126	
603298	杭叉集团	-0.96	28.93	-0.28	28.93	28.98	540	540	0.00	          0.06	28.93	28.93	28.93	29.21	    42.92	1562220	  0.59	专用机械	浙江	0.00	28.93	270	
603311	金海环境	-0.94	28.50	-0.27	28.48	28.50	297	297	0.00	          0.03	28.50	28.50	28.50	28.77	    74.42	846450	  0.29	专用机械	浙江	0.00	28.50	149	
603322	超讯通信	0.15	91.14	0.14	91.14	91.20	68	68	0.00	          0.03	91.14	91.14	91.14	91.00	   337.28	619752	  0.27	通信设备	广东	0.00	91.14	34	
603323	吴江银行	-0.16	18.93	-0.03	18.92	18.93	615	615	0.00	          0.06	18.93	18.93	18.93	18.96	    28.11	1164195	  0.46	银行	江苏	0.00	18.93	308	
603330	上海天洋	-0.27	70.54	-0.19	70.38	70.54	121	121	0.00	          0.08	70.54	70.54	70.54	70.73	    79.66	853534	  0.94	塑料	上海	0.00	70.54	61	
603345	安井食品	-1.63	43.50	-0.72	43.48	43.50	1022	1022	0.00	          0.19	43.50	43.50	43.50	44.22	    55.35	4445700	  1.64	食品	福建	0.00	43.50	511	
603360	百傲化学	0.29	41.84	0.12	41.80	41.84	231	231	0.00	          0.07	41.84	41.84	41.84	41.72	    57.63	966504	  0.50	化工原料	辽宁	0.00	41.84	116	
603389	亚振家居	-2.15	30.00	-0.66	30.00	30.01	1739	1739	0.00	          0.32	30.00	30.00	30.00	30.66	   117.92	5217000	  1.99	家居用品	江苏	0.00	30.00	870	
603559	中通国脉	--  	59.46	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	59.46	   179.82	0	  0.00	通信设备	吉林	0.00	59.46	0	
603577	汇金通	-1.57	48.90	-0.78	48.88	48.90	496	496	0.00	          0.17	48.90	48.90	48.90	49.68	    92.82	2425440	  0.96	钢加工	山东	0.00	48.90	248	
603579	荣泰健康	-0.70	140.01	-0.98	140.01	140.15	176	176	0.00	          0.10	140.01	140.01	140.01	140.99	    47.43	2464176	  1.21	医疗保健	上海	0.00	140.01	88	
603615	茶花股份	-0.82	30.18	-0.25	30.15	30.18	224	224	0.00	          0.04	30.18	30.18	30.18	30.43	    72.86	676032	  0.37	塑料	福建	0.00	30.18	112	
603626	科森科技	-0.42	45.50	-0.19	45.50	45.54	124	123	0.00	          0.02	45.50	45.50	45.50	45.69	    57.47	563836	  0.37	专用机械	江苏	0.00	45.50	62	
603628	清源股份	-1.11	35.50	-0.40	35.45	35.50	1581	1581	0.00	          0.23	35.50	35.50	35.50	35.90	   149.56	5612550	  1.55	电气设备	福建	0.00	35.50	791	
603637	镇海股份	0.27	45.20	0.12	45.20	45.21	409	409	0.00	          0.16	45.20	45.20	45.20	45.08	    71.39	1849900	  1.80	建筑施工	浙江	0.00	45.20	205	
603638	艾迪精密	0.06	32.30	0.02	32.29	32.30	243	243	0.00	          0.06	32.30	32.30	32.30	32.28	    74.26	784890	  0.59	专用机械	山东	0.00	32.30	122	
603667	五洲新春	0.31	38.40	0.12	38.33	38.40	514	514	0.00	          0.10	38.40	38.40	38.40	38.28	    86.52	1973760	  0.99	机械基件	浙江	0.00	38.40	257	
603668	天马科技	-0.21	28.30	-0.06	28.28	28.30	304	304	0.00	          0.06	28.30	28.30	28.30	28.36	    70.97	860320	  0.51	饲料	福建	0.00	28.30	152	
603689	皖天然气	-0.44	22.65	-0.10	22.65	22.68	759	759	0.00	          0.09	22.65	22.65	22.65	22.75	    81.88	1719135	  0.52	供气供热	安徽	0.00	22.65	380	
603690	至纯科技	-0.86	26.61	-0.23	26.61	26.68	973	973	0.00	          0.19	26.61	26.61	26.61	26.84	   115.81	2589206	  1.42	专用机械	上海	0.00	26.61	487	
603696	安记食品	-1.31	48.40	-0.64	48.36	48.40	1566	1566	0.00	          0.45	48.40	48.40	48.40	49.04	   146.62	7579440	  3.84	食品	福建	0.00	48.40	783	
603819	神力股份	0.14	42.08	0.06	42.08	42.28	117	117	0.00	          0.04	42.08	42.08	42.08	42.02	   109.18	492336	  0.39	电气设备	江苏	0.00	42.08	59	
