代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000661	长春高新	0.00	112.18	0.00	112.18	112.58	43	42	0.00	          0.00	112.18	112.18	112.18	112.18	    39.36	481701	  0.48	生物制药	吉林	0.00	112.18	21	
002801	微光股份	0.01	121.67	0.01	121.67	121.69	68	68	0.00	          0.05	121.67	121.67	121.67	121.66	    76.08	827356	  1.42	电气设备	浙江	0.00	121.67	34	
002821	凯莱英	0.08	138.52	0.11	138.52	138.78	44	44	0.00	          0.02	138.52	138.52	138.52	138.41	    62.16	609488	  0.67	生物制药	天津	0.00	138.52	22	
300502	新易盛	-0.25	102.63	-0.26	102.60	102.63	46	46	0.00	          0.01	102.63	102.63	102.63	102.89	    74.20	472098	  0.52	通信设备	四川	0.00	102.63	23	
300507	苏奥传感	10.00	110.74	10.07	110.74	--  	4076	4075	0.00	          2.45	110.74	110.74	110.74	100.67	    82.37	45135632	 92.63	汽车配件	江苏	0.00	110.74	2038	
300508	维宏股份	0.04	112.24	0.05	112.19	112.24	51	51	0.00	          0.04	112.24	112.24	112.24	112.19	   135.49	572424	  1.70	软件服务	上海	0.00	112.24	26	
300518	盛讯达	--  	113.46	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	113.46	   113.81	0	  0.00	软件服务	深圳	0.00	113.46	0	
300523	辰安科技	-0.23	99.56	-0.23	99.55	99.60	23	23	0.00	          0.01	99.56	99.56	99.56	99.79	  1186.18	228988	  0.40	软件服务	北京	0.00	99.56	12	
300526	中潜股份	--  	107.03	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	107.03	   294.70	0	  0.00	专用机械	广东	0.00	107.03	0	
300531	优博讯	-0.75	116.00	-0.88	115.82	116.00	432	432	0.00	          0.22	116.00	116.00	116.00	116.88	   186.52	5011200	  3.48	软件服务	深圳	0.00	116.00	216	
300533	冰川网络	0.11	118.80	0.13	118.73	118.80	128	128	0.00	          0.05	118.80	118.80	118.80	118.67	    77.26	1520640	  1.64	软件服务	深圳	0.00	118.80	64	
300543	朗科智能	-0.66	113.00	-0.75	112.61	113.00	148	148	0.00	          0.10	113.00	113.00	113.00	113.75	    82.91	1672400	  2.00	电气设备	深圳	0.00	113.00	74	
300546	雄帝科技	-0.46	110.30	-0.51	110.12	110.30	60	60	0.00	          0.04	110.30	110.30	110.30	110.81	   136.36	661800	  1.02	元器件	深圳	0.00	110.30	30	
300562	乐心医疗	-0.41	142.50	-0.59	142.50	142.86	83	83	0.00	          0.06	142.50	142.50	142.50	143.09	   104.41	1182750	  1.15	医疗保健	广东	0.00	142.50	42	
300571	平治信息	-0.77	121.16	-0.94	121.16	121.20	265	265	0.00	          0.27	121.16	121.16	121.16	122.10	   102.24	3210740	  3.35	互联网	浙江	0.00	121.16	133	
300581	晨曦航空	-0.87	120.60	-1.06	120.55	120.60	52	52	0.00	          0.05	120.60	120.60	120.60	121.66	   188.83	627120	  0.54	航空	陕西	0.00	120.60	26	
300595	欧普康视	-0.40	121.39	-0.49	121.30	121.39	143	143	0.00	          0.08	121.39	121.39	121.39	121.88	    72.38	1735877	  1.24	医疗保健	安徽	0.00	121.39	72	
300613	富瀚微	-3.23	285.00	-9.50	284.80	285.00	826	826	0.00	          0.74	285.00	285.00	285.00	294.50	   113.26	23541000	  5.29	半导体	上海	0.00	285.00	413	
600519	贵州茅台	0.00	371.55	0.00	371.00	371.55	84	84	0.00	          0.00	371.55	371.55	371.55	371.55	    28.08	3121020	  0.66	白酒	贵州	0.00	371.55	42	
603160	汇顶科技	1.14	107.87	1.22	107.10	107.87	217	217	0.00	          0.05	107.87	107.87	107.87	106.65	    59.78	2340779	  2.21	元器件	深圳	0.00	107.87	109	
603444	吉比特	2.36	367.00	8.47	367.00	367.80	551	551	0.00	          0.31	367.00	367.00	367.00	358.53	    42.44	20221700	  4.92	互联网	福建	0.00	367.00	276	
603579	荣泰健康	-0.70	140.01	-0.98	140.01	140.15	176	176	0.00	          0.10	140.01	140.01	140.01	140.99	    47.43	2464176	  1.21	医疗保健	上海	0.00	140.01	88	
603716	塞力斯	-0.88	116.33	-1.03	116.26	116.33	42	42	0.00	          0.03	116.33	116.33	116.33	117.36	    85.98	488586	  1.11	医药商业	湖北	0.00	116.33	21	
603986	兆易创新	10.00	215.35	19.58	215.35	--  	113	113	0.00	          0.05	215.35	215.35	215.35	195.77	   111.69	2433455	  0.41	半导体	北京	0.00	215.35	57	
数据来源:通达信
