代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000001	平安银行	-0.11	9.44	-0.01	9.43	9.43	0	0	--  	          0.00	--  	--  	--  	9.44	     6.49	0	  0.86	银行	深圳	0.00	9.44	0	
000422	湖北宜化	0.00	7.05	0.00	7.05	7.05	0	0	--  	          0.00	--  	--  	--  	7.05	   258.41	0	  0.13	农药化肥	湖北	0.00	7.05	0	
000709	河钢股份	0.00	3.84	0.00	3.84	3.84	0	0	--  	          0.00	--  	--  	--  	3.84	    32.77	0	  0.52	普钢	河北	0.00	3.84	0	
000898	鞍钢股份	0.17	5.86	0.01	5.87	5.87	0	0	--  	          0.00	--  	--  	--  	5.86	    32.55	0	  0.52	普钢	辽宁	0.00	5.86	0	
300026	红日药业	0.00	5.47	0.00	5.47	5.47	0	0	--  	          0.00	--  	--  	--  	5.47	    25.94	0	  0.28	中成药	天津	0.00	5.47	0	
600015	华夏银行	-0.09	11.47	-0.01	11.46	11.46	0	0	--  	          0.00	--  	--  	--  	11.47	     6.29	0	  0.14	银行	北京	0.00	11.47	0	
600019	宝钢股份	-0.15	6.83	-0.01	6.82	6.82	0	0	--  	          0.00	--  	--  	--  	6.83	    20.23	0	  0.58	普钢	上海	0.00	6.83	0	
600020	中原高速	-0.42	4.76	-0.02	4.74	4.74	0	0	--  	          0.00	--  	--  	--  	4.76	    12.54	0	  1.12	路桥	河南	0.00	4.76	0	
600028	中国石化	0.00	5.53	0.00	5.53	5.53	0	0	--  	          0.00	--  	--  	--  	5.53	    17.22	0	  0.44	石油加工	北京	0.00	5.53	0	
600269	赣粤高速	0.00	5.34	0.00	5.34	5.34	0	0	--  	          0.00	--  	--  	--  	5.34	    12.02	0	  0.42	路桥	江西	0.00	5.34	0	
600777	新潮能源	0.55	3.66	0.02	3.68	3.68	0	0	--  	          0.00	--  	--  	--  	3.66	--  	0	  1.31	综合类	山东	0.00	3.66	0	
600782	新钢股份	0.00	4.13	0.00	4.13	4.13	0	0	--  	          0.00	--  	--  	--  	4.13	    31.28	0	  0.47	钢加工	江西	0.00	4.13	0	
600823	世茂股份	0.00	7.38	0.00	7.38	7.38	0	0	--  	          0.00	--  	--  	--  	7.38	    10.50	0	  0.31	全国地产	上海	0.00	7.38	0	
601288	农业银行	-0.31	3.26	-0.01	3.25	3.25	0	0	--  	          0.00	--  	--  	--  	3.26	     5.15	0	  4.26	银行	北京	0.00	3.26	0	
601328	交通银行	0.00	6.22	0.00	6.22	6.22	0	0	--  	          0.00	--  	--  	--  	6.22	     6.59	0	  0.65	银行	上海	0.00	6.22	0	
601398	工商银行	-0.21	4.73	-0.01	4.72	4.72	0	0	--  	          0.00	--  	--  	--  	4.73	     5.68	0	  0.56	银行	北京	0.00	4.73	0	
601818	光大银行	-0.24	4.22	-0.01	4.21	4.21	0	0	--  	          0.00	--  	--  	--  	4.22	     6.05	0	  0.20	银行	北京	0.00	4.22	0	
601898	中煤能源	0.00	5.88	0.00	5.88	5.88	0	0	--  	          0.00	--  	--  	--  	5.88	    65.43	0	  0.19	煤炭开采	北京	0.00	5.88	0	
601939	建设银行	-0.17	5.93	-0.01	5.92	5.92	0	0	--  	          0.00	--  	--  	--  	5.93	     5.74	0	  0.42	银行	北京	0.00	5.93	0	
601988	中国银行	0.00	3.67	0.00	3.67	3.67	0	0	--  	          0.00	--  	--  	--  	3.67	     6.01	0	  0.45	银行	北京	0.00	3.67	0	
601998	中信银行	-0.30	6.76	-0.02	6.74	6.74	0	0	--  	          0.00	--  	--  	--  	6.76	     7.18	0	  1.59	银行	北京	0.00	6.76	0	
数据来源:通达信
