代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000060	中金岭南	-0.52	11.48	-0.06	11.47	11.48	666	666	0.00	          0.00	11.48	11.48	11.48	11.54	   116.26	764568	  0.71	铅锌	深圳	0.00	11.48	333	
000063	中兴通讯	--  	15.28	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.28	    16.65	0	  0.00	通信设备	深圳	0.00	15.28	0	
000069	华侨城Ａ	0.26	7.62	0.02	7.62	7.63	1071	1071	0.00	          0.00	7.62	7.62	7.62	7.60	    16.08	816102	  0.91	旅游景点	深圳	0.00	7.62	536	
000418	小天鹅Ａ	-0.15	38.75	-0.06	38.73	38.75	121	121	0.00	          0.00	38.75	38.75	38.75	38.81	    20.86	468875	  0.86	家用电器	江苏	0.00	38.75	61	
000568	泸州老窖	0.20	40.71	0.08	40.71	40.75	177	177	0.00	          0.00	40.71	40.71	40.71	40.63	    28.42	720567	  0.45	白酒	四川	0.00	40.71	89	
000625	长安汽车	0.51	15.70	0.08	15.70	15.71	3473	3473	0.00	          0.01	15.70	15.70	15.70	15.62	     7.31	5452610	  1.99	汽车整车	重庆	0.00	15.70	1737	
000802	北京文化	0.06	17.85	0.01	17.84	17.85	174	174	0.00	          0.00	17.85	17.85	17.85	17.84	   676.38	310590	  0.96	旅游服务	北京	0.00	17.85	87	
000848	承德露露	-0.09	11.24	-0.01	11.23	11.24	77	77	0.00	          0.00	11.24	11.24	11.24	11.25	    22.66	86548	  0.34	软饮料	河北	0.00	11.24	39	
000858	五 粮 液	-0.05	41.63	-0.02	41.62	41.63	750	750	0.00	          0.00	41.63	41.63	41.63	41.65	    23.23	3122250	  0.84	白酒	四川	0.00	41.63	375	
000876	新 希 望	0.00	8.08	0.00	8.08	8.09	278	278	0.00	          0.00	8.08	8.08	8.08	8.08	    12.09	224624	  0.47	饲料	四川	0.00	8.08	139	
000895	双汇发展	-0.18	21.75	-0.04	21.73	21.75	176	176	0.00	          0.00	21.75	21.75	21.75	21.79	    16.42	382800	  0.52	食品	河南	0.00	21.75	88	
000925	众合科技	--  	24.15	--  	24.10	24.15	0	0	--  	          0.00	--  	--  	--  	24.15	--  	0	  0.00	专用机械	浙江	0.00	24.15	0	
000963	华东医药	0.06	83.45	0.05	83.45	83.63	30	30	0.00	          0.00	83.45	83.45	83.45	83.40	    28.04	250350	  0.17	化学制药	浙江	0.00	83.45	15	
000983	西山煤电	-0.22	9.19	-0.02	9.18	9.19	140	140	0.00	          0.00	9.19	9.19	9.19	9.21	   107.00	128660	  0.12	煤炭开采	山西	0.00	9.19	70	
000999	华润三九	0.15	26.01	0.04	25.98	26.01	46	46	0.00	          0.00	26.01	26.01	26.01	25.97	    21.26	119646	  0.28	中成药	深圳	0.00	26.01	23	
001979	招商蛇口	-0.28	18.05	-0.05	18.04	18.05	1618	1618	0.00	          0.01	18.05	18.05	18.05	18.10	    19.07	2920490	  1.23	全国地产	深圳	0.00	18.05	809	
002008	大族激光	0.11	26.31	0.03	26.29	26.31	645	645	0.00	          0.01	26.31	26.31	26.31	26.28	    33.24	1696995	  0.94	电器仪表	深圳	0.00	26.31	323	
002044	美年健康	--  	12.85	--  	12.80	12.84	0	0	--  	          0.00	--  	--  	--  	12.85	   244.68	0	  0.00	医疗保健	江苏	0.00	12.85	0	
002048	宁波华翔	-0.17	23.76	-0.04	23.73	23.76	62	62	0.00	          0.00	23.76	23.76	23.76	23.80	    20.60	147312	  0.20	汽车配件	浙江	0.00	23.76	31	
002051	中工国际	0.00	25.59	0.00	25.59	25.60	14	14	0.00	          0.00	25.59	25.59	25.59	25.59	    25.02	35826	  0.05	建筑施工	北京	0.00	25.59	7	
002138	顺络电子	0.05	18.52	0.01	18.52	18.55	83	83	0.00	          0.00	18.52	18.52	18.52	18.51	    38.86	153716	  0.43	元器件	深圳	0.00	18.52	42	
002142	宁波银行	-0.06	18.10	-0.01	18.09	18.10	100	100	0.00	          0.00	18.10	18.10	18.10	18.11	     8.35	181000	  0.19	银行	浙江	0.00	18.10	50	
002152	广电运通	-0.08	12.88	-0.01	12.86	12.88	125	125	0.00	          0.00	12.88	12.88	12.88	12.89	    30.85	161000	  0.42	电脑设备	广东	0.00	12.88	63	
002236	大华股份	-0.55	16.31	-0.09	16.30	16.31	2426	2426	0.00	          0.01	16.31	16.31	16.31	16.40	    33.16	3956806	  1.56	电器仪表	浙江	0.00	16.31	1213	
002271	东方雨虹	-0.37	26.75	-0.10	26.75	26.80	46	46	0.00	          0.00	26.75	26.75	26.75	26.85	    24.57	123050	  0.19	其他建材	北京	0.00	26.75	23	
002281	光迅科技	-0.38	79.60	-0.30	79.60	79.69	180	180	0.00	          0.01	79.60	79.60	79.60	79.90	    58.55	1432800	  0.78	通信设备	湖北	0.00	79.60	90	
002303	美盈森	0.21	9.75	0.02	9.75	9.76	166	166	0.00	          0.00	9.75	9.75	9.75	9.73	    53.25	161850	  0.57	造纸	深圳	0.00	9.75	83	
