代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000157	中联重科	-0.21	4.84	-0.01	4.83	4.84	814	814	0.00	          0.00	4.84	4.84	4.84	4.85	--  	393976	  0.40	工程机械	湖南	0.00	4.84	407	
000159	国际实业	-0.11	9.48	-0.01	9.46	9.48	299	299	0.00	          0.01	9.48	9.48	9.48	9.49	   294.37	283452	  0.39	石油贸易	新疆	0.00	9.48	150	
000581	威孚高科	0.17	23.76	0.04	23.73	23.76	72	72	0.00	          0.00	23.76	23.76	23.76	23.72	    13.73	171072	  0.33	汽车配件	江苏	0.00	23.76	36	
000725	京东方Ａ	0.00	3.20	0.00	3.19	3.20	8971	8971	0.00	          0.00	3.20	3.20	3.20	3.20	   599.76	2870720	  0.91	元器件	北京	0.00	3.20	4486	
000726	鲁 泰Ａ	0.08	12.64	0.01	12.61	12.64	65	65	0.00	          0.00	12.64	12.64	12.64	12.63	    15.05	82160	  0.21	纺织	山东	0.00	12.64	33	
000728	国元证券	0.10	20.13	0.02	20.12	20.13	385	385	0.00	          0.00	20.13	20.13	20.13	20.11	    31.10	775005	  0.50	证券	安徽	0.00	20.13	193	
002029	七 匹 狼	0.19	10.33	0.02	10.30	10.33	143	143	0.00	          0.00	10.33	10.33	10.33	10.31	    34.67	147719	  0.93	服饰	福建	0.00	10.33	72	
002238	天威视讯	0.00	14.81	0.00	14.81	14.82	41	41	0.00	          0.00	14.81	14.81	14.81	14.81	    29.64	60721	  0.38	影视音像	深圳	0.00	14.81	21	
002271	东方雨虹	-0.37	26.75	-0.10	26.75	26.80	46	46	0.00	          0.00	26.75	26.75	26.75	26.85	    24.57	123050	  0.19	其他建材	北京	0.00	26.75	23	
002365	永安药业	--  	22.26	--  	22.32	22.33	0	0	--  	          0.00	--  	--  	--  	22.26	    64.89	0	  0.00	化学制药	湖北	0.00	22.26	0	
002399	海普瑞	0.40	22.59	0.09	22.56	22.59	47	47	0.00	          0.00	22.59	22.59	22.59	22.50	    69.55	106173	  0.19	化学制药	深圳	0.00	22.59	24	
002436	兴森科技	-0.27	7.48	-0.02	7.48	7.50	189	189	0.00	          0.00	7.48	7.48	7.48	7.50	    59.75	141372	  0.25	元器件	深圳	0.00	7.48	95	
002597	金禾实业	0.17	17.82	0.03	17.81	17.82	259	259	0.00	          0.00	17.82	17.82	17.82	17.79	    21.45	461538	  0.51	化工原料	安徽	0.00	17.82	130	
002601	龙蟒佰利	0.19	15.70	0.03	15.70	15.72	593	593	0.00	          0.01	15.70	15.70	15.70	15.67	   200.27	931010	  0.73	化工原料	河南	0.00	15.70	297	
002653	海思科	-0.31	15.91	-0.05	15.91	15.92	15	15	0.00	          0.00	15.91	15.91	15.91	15.96	    41.36	23865	  0.20	化学制药	西藏	0.00	15.91	8	
300115	长盈精密	-0.21	29.15	-0.06	29.00	29.15	65	65	0.00	          0.00	29.15	29.15	29.15	29.21	    40.34	189475	  0.29	元器件	深圳	0.00	29.15	33	
300122	智飞生物	0.00	17.79	0.00	17.65	17.79	60	60	0.00	          0.00	17.79	17.79	17.79	17.79	  3157.43	106740	  0.45	生物制药	重庆	0.00	17.79	30	
300269	联建光电	0.00	23.60	0.00	23.55	23.60	72	72	0.00	          0.00	23.60	23.60	23.60	23.60	    41.98	169920	  1.00	半导体	深圳	0.00	23.60	36	
300354	东华测试	0.13	22.58	0.03	22.58	22.59	5	5	0.00	          0.00	22.58	22.58	22.58	22.55	  2048.04	11290	  0.06	电器仪表	江苏	0.00	22.58	3	
300395	菲利华	0.08	24.00	0.02	24.00	24.04	92	92	0.00	          0.01	24.00	24.00	24.00	23.98	    47.66	220800	  0.79	玻璃	湖北	0.00	24.00	46	
600080	金花股份	-0.51	11.77	-0.06	11.76	11.83	51	51	0.00	          0.00	11.77	11.77	11.77	11.83	   105.93	60027	  0.39	中成药	陕西	0.00	11.77	26	
600090	同济堂	0.00	11.32	0.00	11.32	11.33	22	22	0.00	          0.00	11.32	11.32	11.32	11.32	    49.37	24904	  0.20	医药商业	新疆	0.00	11.32	11	
600188	兖州煤业	0.10	10.43	0.01	10.43	10.44	124	124	0.00	          0.00	10.43	10.43	10.43	10.42	    37.74	129332	  0.37	煤炭开采	山东	0.00	10.43	62	
600197	伊力特	0.34	17.75	0.06	17.75	17.78	310	310	0.00	          0.01	17.75	17.75	17.75	17.69	    25.37	550268	  0.79	白酒	新疆	0.00	17.75	155	
600289	亿阳信通	0.08	13.33	0.01	13.33	13.35	48	48	0.00	          0.00	13.33	13.33	13.33	13.32	   318.32	63984	  0.17	软件服务	黑龙江	0.00	13.33	24	
600337	美克家居	-0.95	14.58	-0.14	14.57	14.58	7532	7532	0.00	          0.12	14.58	14.58	14.58	14.72	    32.31	10981656	  9.96	家居用品	新疆	0.00	14.58	3766	
600674	川投能源	0.23	8.84	0.02	8.84	8.85	1342	1342	0.00	          0.00	8.84	8.84	8.84	8.82	    10.42	1186425	  2.83	水力发电	四川	0.00	8.84	671	
600683	京投发展	-0.43	9.16	-0.04	9.15	9.16	84	84	0.00	          0.00	9.16	9.16	9.16	9.20	    51.76	76944	  0.59	区域地产	浙江	0.00	9.16	42	
600695	绿庭投资	-0.21	9.68	-0.02	9.66	9.68	73	73	0.00	          0.00	9.68	9.68	9.68	9.70	  1334.37	70664	  0.55	多元金融	上海	0.00	9.68	37	
600896	览海投资	0.09	10.74	0.01	10.73	10.74	26	26	0.00	          0.00	10.74	10.74	10.74	10.73	--  	27924	  0.22	水运	海南	0.00	10.74	13	
601375	中原证券	-0.56	10.70	-0.06	10.68	10.70	2271	2271	0.00	          0.03	10.70	10.70	10.70	10.76	    57.28	2429970	  0.38	证券	河南	0.00	10.70	1136	
601377	兴业证券	-0.13	7.83	-0.01	7.82	7.83	981	981	0.00	          0.00	7.83	7.83	7.83	7.84	    19.23	768123	  0.92	证券	福建	0.00	7.83	491	
数据来源:通达信
