代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000055	方大集团	0.20	14.83	0.03	14.80	14.83	30	30	0.00	          0.00	14.83	14.83	14.83	14.80	    76.82	44490	  0.22	其他建材	深圳	0.00	14.83	15	
000100	TCL 集团	0.00	3.58	0.00	3.57	3.58	1041	1041	0.00	          0.00	3.58	3.58	3.58	3.58	    21.32	372678	  0.53	家用电器	广东	0.00	3.58	521	
000518	四环生物	0.00	8.10	0.00	8.10	8.12	1	1	0.00	          0.00	8.10	8.10	8.10	8.10	   603.27	810	  0.01	生物制药	江苏	0.00	8.10	1	
000547	航天发展	0.00	15.57	0.00	15.57	15.60	152	152	0.00	          0.00	15.57	15.57	15.57	15.57	   112.43	236664	  0.23	通信设备	福建	0.00	15.57	76	
000691	ST亚太	0.32	9.27	0.03	9.25	9.27	1	1	0.00	          0.00	9.27	9.27	9.27	9.24	 15436.37	927	  0.01	区域地产	甘肃	0.00	9.27	1	
000793	华闻传媒	0.09	10.86	0.01	10.86	10.88	457	457	0.00	          0.00	10.86	10.86	10.86	10.85	    23.65	496302	  0.54	出版业	海南	0.00	10.86	229	
002168	深圳惠程	--  	16.99	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.99	   184.81	0	  0.00	电气设备	深圳	0.00	16.99	0	
002253	川大智胜	-0.17	30.20	-0.05	30.15	30.20	607	607	0.00	          0.03	30.20	30.20	30.20	30.25	   247.17	1833140	  0.89	软件服务	四川	0.00	30.20	304	
002339	积成电子	0.00	18.91	0.00	18.82	18.91	45	45	0.00	          0.00	18.91	18.91	18.91	18.91	    67.47	85095	  0.18	电气设备	山东	0.00	18.91	23	
002443	金洲管道	--  	11.94	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.94	   109.60	0	  0.00	钢加工	浙江	0.00	11.94	0	
002510	天汽模	0.30	6.60	0.02	6.58	6.60	533	533	0.00	          0.01	6.60	6.60	6.60	6.58	    40.30	351780	  1.23	汽车配件	天津	0.00	6.60	267	
002559	亚威股份	-0.29	13.73	-0.04	13.73	13.77	151	151	0.00	          0.00	13.73	13.73	13.73	13.77	    69.46	207323	  0.84	机床制造	江苏	0.00	13.73	76	
002580	圣阳股份	0.06	17.61	0.01	17.60	17.61	165	165	0.00	          0.01	17.61	17.61	17.61	17.60	    72.45	290565	  0.96	电气设备	山东	0.00	17.61	83	
002755	东方新星	0.00	42.89	0.00	42.89	43.00	16	15	0.00	          0.00	42.89	42.89	42.89	42.89	  4138.97	67380	  0.26	建筑施工	北京	0.00	42.89	8	
002807	江阴银行	-0.48	20.80	-0.10	20.74	20.80	494	494	0.00	          0.02	20.80	20.80	20.80	20.90	    54.04	1027520	  0.23	银行	江苏	0.00	20.80	247	
300018	中元股份	0.17	11.50	0.02	11.48	11.50	57	57	0.00	          0.00	11.50	11.50	11.50	11.48	    72.97	65550	  0.35	电气设备	湖北	0.00	11.50	29	
300077	国民技术	0.00	16.08	0.00	16.00	16.08	198	198	0.00	          0.00	16.08	16.08	16.08	16.08	   144.57	318384	  0.28	半导体	深圳	0.00	16.08	99	
300087	荃银高科	1.51	12.74	0.19	12.71	12.74	673	673	0.00	          0.03	12.74	12.74	12.74	12.55	--  	857402	  4.31	种植业	安徽	0.00	12.74	337	
300129	泰胜风能	-0.11	8.98	-0.01	8.97	8.98	51	51	0.00	          0.00	8.98	8.98	8.98	8.99	    30.98	45798	  0.15	电气设备	上海	0.00	8.98	26	
300326	凯利泰	-0.37	10.89	-0.04	10.89	10.93	10	10	0.00	          0.00	10.89	10.89	10.89	10.93	    47.82	10890	  0.04	医疗保健	上海	0.00	10.89	5	
300458	全志科技	0.91	78.63	0.71	78.60	78.63	144	144	0.00	          0.02	78.63	78.63	78.63	77.92	    71.15	1132272	  1.48	元器件	广东	0.00	78.63	72	
300541	先进数通	-0.19	48.19	-0.09	48.02	48.19	110	110	0.00	          0.04	48.19	48.19	48.19	48.28	   182.33	530090	  0.87	软件服务	北京	0.00	48.19	55	
600110	诺德股份	0.69	13.10	0.09	13.08	13.10	662	662	0.00	          0.01	13.10	13.10	13.10	13.01	   415.50	867220	  0.31	电气设备	吉林	0.00	13.10	331	
600220	江苏阳光	0.00	4.31	0.00	4.30	4.31	145	145	0.00	          0.00	4.31	4.31	4.31	4.31	    43.99	62495	  0.34	纺织	江苏	0.00	4.31	73	
600234	*ST山水	-0.38	18.48	-0.07	18.48	18.50	3	3	0.00	          0.00	18.48	18.48	18.48	18.55	  3700.74	5544	  0.11	文教休闲	山西	0.00	18.48	2	
600247	ST成城	0.16	12.36	0.02	12.36	12.44	42	42	0.00	          0.00	12.36	12.36	12.36	12.34	--  	51912	  0.62	商贸代理	吉林	0.00	12.36	21	
600401	海润光伏	-0.43	2.29	-0.01	2.29	2.30	771	771	0.00	          0.00	2.29	2.29	2.29	2.30	   179.20	176559	  0.35	半导体	江苏	0.00	2.29	386	
600503	华丽家族	0.00	8.17	0.00	8.16	8.17	787	787	0.00	          0.01	8.17	8.17	8.17	8.17	    78.36	642979	  0.78	区域地产	上海	0.00	8.17	394	
600512	腾达建设	0.55	5.52	0.03	5.51	5.52	499	499	0.00	          0.01	5.52	5.52	5.52	5.49	   110.09	275448	  1.02	建筑施工	浙江	0.00	5.52	250	
600525	长园集团	-1.48	15.96	-0.24	15.95	15.96	907	907	0.00	          0.01	15.96	15.96	15.96	16.20	    34.80	1447572	  1.77	电气设备	深圳	0.00	15.96	454	
600696	匹凸匹	--  	10.98	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.98	--  	0	  0.00	区域地产	上海	0.00	10.98	0	
600804	鹏博士	0.38	21.29	0.08	21.25	21.29	160	160	0.00	          0.00	21.29	21.29	21.29	21.21	    37.21	340640	  0.40	电信运营	四川	0.00	21.29	80	
600851	海欣股份	0.26	11.51	0.03	11.49	11.51	15	15	0.00	          0.00	11.51	11.51	11.51	11.48	    65.29	17265	  0.15	纺织	上海	0.00	11.51	8	
600868	梅雁吉祥	0.00	5.60	0.00	5.59	5.60	733	733	0.00	          0.00	5.60	5.60	5.60	5.60	   155.84	410480	  0.34	水力发电	广东	0.00	5.60	367	
600887	伊利股份	0.11	18.54	0.02	18.53	18.54	889	889	0.00	          0.00	18.54	18.54	18.54	18.52	    19.26	1648206	  0.49	乳制品	内蒙	0.00	18.54	445	
600919	江苏银行	-0.10	10.03	-0.01	10.02	10.03	1209	1209	0.00	          0.01	10.03	10.03	10.03	10.04	    10.49	1212627	  0.63	银行	江苏	0.00	10.03	605	
601058	赛轮金宇	0.00	4.31	0.00	4.30	4.31	751	751	0.00	          0.00	4.31	4.31	4.31	4.31	    24.25	323681	  1.02	汽车配件	山东	0.00	4.31	376	
603018	中设集团	0.39	36.23	0.14	36.05	36.23	100	100	0.00	          0.01	36.23	36.23	36.23	36.09	    45.54	362300	  2.38	建筑施工	江苏	0.00	36.23	50	
数据来源:通达信
