代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000008	神州高铁	-0.23	8.65	-0.02	8.64	8.65	339	339	0.00	          0.00	8.65	8.65	8.65	8.67	    84.02	293235	  1.31	运输设备	北京	0.00	8.65	170	
000530	大冷股份	0.09	11.29	0.01	11.29	11.30	31	30	0.00	          0.00	11.29	11.29	11.29	11.28	    39.32	34435	  0.14	机械基件	辽宁	0.00	11.29	15	
000656	金科股份	0.00	5.82	0.00	5.82	5.83	707	707	0.00	          0.00	5.82	5.82	5.82	5.82	    23.13	411474	  0.65	区域地产	重庆	0.00	5.82	354	
000802	北京文化	0.06	17.85	0.01	17.84	17.85	174	174	0.00	          0.00	17.85	17.85	17.85	17.84	   676.38	310590	  0.96	旅游服务	北京	0.00	17.85	87	
000887	中鼎股份	0.41	24.75	0.10	24.75	24.77	550	550	0.00	          0.00	24.75	24.75	24.75	24.65	    28.69	1361250	  1.05	橡胶	安徽	0.00	24.75	275	
000926	福星股份	0.16	12.65	0.02	12.63	12.65	692	692	0.00	          0.01	12.65	12.65	12.65	12.63	    13.47	875380	  1.44	区域地产	湖北	0.00	12.65	346	
002002	鸿达兴业	0.25	8.15	0.02	8.15	8.16	551	551	0.00	          0.00	8.15	8.15	8.15	8.13	    28.36	449065	  0.73	化工原料	江苏	0.00	8.15	276	
002003	伟星股份	-0.07	15.03	-0.01	15.02	15.03	25	25	0.00	          0.00	15.03	15.03	15.03	15.04	    21.42	37575	  0.29	服饰	浙江	0.00	15.03	13	
002035	华帝股份	0.46	32.90	0.15	32.75	32.90	222	222	0.00	          0.01	32.90	32.90	32.90	32.75	    44.59	730380	  2.09	家用电器	广东	0.00	32.90	111	
002043	兔 宝 宝	-0.71	13.96	-0.10	13.96	14.00	358	358	0.00	          0.01	13.96	13.96	13.96	14.06	    48.72	499768	  0.41	其他建材	浙江	0.00	13.96	179	
002063	远光软件	0.08	13.04	0.01	13.04	13.05	101	101	0.00	          0.00	13.04	13.04	13.04	13.03	    62.28	131704	  0.34	软件服务	广东	0.00	13.04	51	
002067	景兴纸业	-0.29	6.85	-0.02	6.85	6.86	369	369	0.00	          0.00	6.85	6.85	6.85	6.87	    32.70	252765	  0.40	造纸	浙江	0.00	6.85	185	
002074	国轩高科	0.06	34.06	0.02	34.05	34.06	407	407	0.00	          0.01	34.06	34.06	34.06	34.04	    30.40	1386242	  0.73	电气设备	江苏	0.00	34.06	204	
002093	国脉科技	-0.45	11.03	-0.05	11.03	11.06	855	855	0.00	          0.01	11.03	11.03	11.03	11.08	   163.86	943065	  1.53	电信运营	福建	0.00	11.03	428	
002101	广东鸿图	0.09	23.35	0.02	23.35	23.54	16	16	0.00	          0.00	23.35	23.35	23.35	23.33	    36.75	37360	  0.17	机械基件	广东	0.00	23.35	8	
002120	韵达股份	-0.82	47.08	-0.39	47.08	47.17	13	13	0.00	          0.00	47.08	47.08	47.08	47.47	   583.13	61204	  0.18	仓储物流	浙江	0.00	47.08	7	
002130	沃尔核材	-0.07	14.10	-0.01	14.08	14.10	85	85	0.00	          0.00	14.10	14.10	14.10	14.11	    72.57	119850	  0.37	电气设备	深圳	0.00	14.10	43	
002138	顺络电子	0.05	18.52	0.01	18.52	18.55	83	83	0.00	          0.00	18.52	18.52	18.52	18.51	    38.86	153716	  0.43	元器件	深圳	0.00	18.52	42	
002148	北纬通信	0.09	21.80	0.02	21.75	21.80	453	453	0.00	          0.02	21.80	21.80	21.80	21.78	    89.86	987540	  1.18	互联网	北京	0.00	21.80	227	
002151	北斗星通	0.00	31.97	0.00	31.94	31.97	193	193	0.00	          0.01	31.97	31.97	31.97	31.97	   236.12	617021	  0.52	通信设备	北京	0.00	31.97	97	
002154	报 喜 鸟	-0.20	4.91	-0.01	4.90	4.91	435	435	0.00	          0.00	4.91	4.91	4.91	4.92	--  	213585	  0.60	服饰	浙江	0.00	4.91	218	
002168	深圳惠程	--  	16.99	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.99	   184.81	0	  0.00	电气设备	深圳	0.00	16.99	0	
002172	澳洋科技	-0.09	10.57	-0.01	10.57	10.60	68	68	0.00	          0.00	10.57	10.57	10.57	10.58	    28.97	71876	  0.27	化纤	江苏	0.00	10.57	34	
002179	中航光电	-0.12	41.00	-0.05	40.92	41.00	537	537	0.00	          0.01	41.00	41.00	41.00	41.05	    32.91	2201700	  2.56	元器件	河南	0.00	41.00	269	
