代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000008	神州高铁	-0.23	8.65	-0.02	8.64	8.65	339	339	0.00	          0.00	8.65	8.65	8.65	8.67	    84.02	293235	  1.31	运输设备	北京	0.00	8.65	170	
000301	东方市场	--  	5.10	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	5.10	    31.74	0	  0.00	综合类	江苏	0.00	5.10	0	
000506	中润资源	0.68	10.43	0.07	10.42	10.43	1690	1690	0.00	          0.02	10.43	10.43	10.43	10.36	  1112.17	1762670	  2.39	区域地产	山东	0.00	10.43	845	
000520	长航凤凰	-0.12	8.05	-0.01	8.05	8.07	246	246	0.00	          0.00	8.05	8.05	8.05	8.06	--  	198030	  0.20	水运	湖北	0.00	8.05	123	
000533	万 家 乐	-0.20	10.20	-0.02	10.20	10.21	20	20	0.00	          0.00	10.20	10.20	10.20	10.22	   329.88	20400	  0.12	家用电器	广东	0.00	10.20	10	
000584	友利控股	--  	11.85	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.85	--  	0	  0.00	化纤	江苏	0.00	11.85	0	
000585	东北电气	0.12	8.41	0.01	8.40	8.41	97	97	0.00	          0.00	8.41	8.41	8.41	8.40	--  	81577	  0.15	电气设备	江苏	0.00	8.41	49	
000612	焦作万方	0.27	11.11	0.03	11.11	11.12	340	340	0.00	          0.00	11.11	11.11	11.11	11.08	   234.17	377740	  1.19	铝	河南	0.00	11.11	170	
000633	*ST合金	0.00	11.64	0.00	11.64	11.66	12	12	0.00	          0.00	11.64	11.64	11.64	11.64	--  	13968	  0.08	综合类	辽宁	0.00	11.64	6	
000635	英 力 特	-0.11	26.68	-0.03	26.66	26.68	250	250	0.00	          0.01	26.68	26.68	26.68	26.71	   146.97	667000	  0.74	化工原料	宁夏	0.00	26.68	125	
000678	襄阳轴承	-0.24	12.48	-0.03	12.48	12.55	50	50	0.00	          0.00	12.48	12.48	12.48	12.51	  2557.04	62712	  0.20	机械基件	湖北	0.00	12.48	25	
