代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000001	平安银行	-0.11	9.44	-0.01	9.43	9.43	0	0	--  	          0.00	--  	--  	--  	9.44	     6.49	0	  0.80	银行	深圳	0.00	9.44	0	
000002	万 科Ａ	0.48	20.71	0.10	20.81	20.81	0	0	--  	          0.00	--  	--  	--  	20.71	    20.75	0	  0.46	全国地产	深圳	0.00	20.71	0	
000006	深振业Ａ	-0.34	8.76	-0.03	8.73	8.73	0	0	--  	          0.00	--  	--  	--  	8.76	    77.47	0	  0.70	区域地产	深圳	0.00	8.76	0	
000009	中国宝安	-0.31	9.75	-0.03	9.72	9.72	0	0	--  	          0.00	--  	--  	--  	9.75	    74.71	0	  0.10	综合类	深圳	0.00	9.75	0	
000012	南 玻Ａ	0.00	11.35	0.00	11.35	11.35	0	0	--  	          0.00	--  	--  	--  	11.35	    24.71	0	  0.14	玻璃	深圳	0.00	11.35	0	
000022	深赤湾Ａ	0.25	19.75	0.05	19.80	19.80	0	0	--  	          0.00	--  	--  	--  	19.75	    22.35	0	  0.21	港口	深圳	0.00	19.75	0	
000027	深圳能源	0.00	7.02	0.00	7.02	7.02	0	0	--  	          0.00	--  	--  	--  	7.02	    15.60	0	  0.61	火力发电	深圳	0.00	7.02	0	
000028	国药一致	0.18	70.33	0.13	70.46	70.46	0	0	--  	          0.00	--  	--  	--  	70.33	    31.24	0	  0.02	医药商业	深圳	0.00	70.33	0	
000030	富奥股份	0.11	8.83	0.01	8.84	8.84	0	0	--  	          0.00	--  	--  	--  	8.83	    16.50	0	  0.32	汽车配件	吉林	0.00	8.83	0	
000031	中粮地产	0.48	8.34	0.04	8.38	8.38	0	0	--  	          0.00	--  	--  	--  	8.34	   147.87	0	  0.40	全国地产	深圳	0.00	8.34	0	
000039	中集集团	0.49	16.34	0.08	16.42	16.42	0	0	--  	          0.00	--  	--  	--  	16.34	--  	0	  0.09	轻工机械	深圳	0.00	16.34	0	
000043	中航地产	0.33	12.04	0.04	12.08	12.08	0	0	--  	          0.00	--  	--  	--  	12.04	    49.76	0	  0.10	全国地产	深圳	0.00	12.04	0	
000046	泛海控股	0.21	9.35	0.02	9.37	9.37	0	0	--  	          0.00	--  	--  	--  	9.35	    19.79	0	  0.07	全国地产	北京	0.00	9.35	0	
000049	德赛电池	3.52	51.19	1.80	52.99	52.99	0	0	--  	          0.00	--  	--  	--  	51.19	    41.15	0	  2.46	电气设备	深圳	0.00	51.19	0	
000050	深天马Ａ	--  	18.82	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	18.82	    46.33	0	  0.00	元器件	深圳	0.00	18.82	0	
000060	中金岭南	-0.09	11.54	-0.01	11.53	11.53	0	0	--  	          0.00	--  	--  	--  	11.54	   116.86	0	  0.29	铅锌	深圳	0.00	11.54	0	
000061	农 产 品	--  	11.60	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.60	    69.00	0	  0.00	农业综合	深圳	0.00	11.60	0	
000062	深圳华强	0.00	27.41	0.00	27.41	27.41	0	0	--  	          0.00	--  	--  	--  	27.41	    46.43	0	  0.10	商贸代理	深圳	0.00	27.41	0	
000063	中兴通讯	--  	15.28	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.28	    16.65	0	  0.00	通信设备	深圳	0.00	15.28	0	
000069	华侨城Ａ	0.26	7.60	0.02	7.62	7.62	0	0	--  	          0.00	--  	--  	--  	7.60	    16.03	0	  0.18	旅游景点	深圳	0.00	7.60	0	
000078	海王生物	0.00	6.44	0.00	6.44	6.44	0	0	--  	          0.00	--  	--  	--  	6.44	    56.16	0	  0.10	生物制药	深圳	0.00	6.44	0	
000088	盐 田 港	0.00	7.46	0.00	7.46	7.46	0	0	--  	          0.00	--  	--  	--  	7.46	    40.30	0	  0.17	港口	深圳	0.00	7.46	0	
000089	深圳机场	-1.04	8.62	-0.09	8.53	8.53	0	0	--  	          0.00	--  	--  	--  	8.62	    32.39	0	  0.69	机场	深圳	0.00	8.62	0	
000099	中信海直	-0.40	12.64	-0.05	12.59	12.59	0	0	--  	          0.00	--  	--  	--  	12.64	    75.75	0	  0.16	空运	深圳	0.00	12.64	0	
000100	TCL 集团	0.00	3.58	0.00	3.58	3.58	0	0	--  	          0.00	--  	--  	--  	3.58	    21.32	0	  0.34	家用电器	广东	0.00	3.58	0	
000151	中成股份	0.00	18.84	0.00	18.84	18.84	0	0	--  	          0.00	--  	--  	--  	18.84	    55.36	0	  0.10	商贸代理	北京	0.00	18.84	0	
000156	华数传媒	0.45	17.72	0.08	17.80	17.80	0	0	--  	          0.00	--  	--  	--  	17.72	    41.55	0	  7.23	影视音像	浙江	0.00	17.72	0	
000157	中联重科	0.00	4.85	0.00	4.85	4.85	0	0	--  	          0.00	--  	--  	--  	4.85	--  	0	  0.13	工程机械	湖南	0.00	4.85	0	
000166	申万宏源	0.32	6.30	0.02	6.32	6.32	0	0	--  	          0.00	--  	--  	--  	6.30	    24.62	0	  0.79	证券	新疆	0.00	6.30	0	
000333	美的集团	0.18	33.90	0.06	33.96	33.96	0	0	--  	          0.00	--  	--  	--  	33.90	    12.75	0	  0.19	家用电器	广东	0.00	33.90	0	
