代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000002	万 科Ａ	0.48	20.71	0.10	20.81	20.81	0	0	--  	          0.00	--  	--  	--  	20.71	    20.75	0	  0.92	全国地产	深圳	0.00	20.71	0	
000063	中兴通讯	--  	15.28	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.28	    16.65	0	  0.00	通信设备	深圳	0.00	15.28	0	
000333	美的集团	0.15	33.90	0.05	33.95	33.95	0	0	--  	          0.00	--  	--  	--  	33.90	    12.75	0	  0.45	家用电器	广东	0.00	33.90	0	
000488	晨鸣纸业	0.00	12.22	0.00	12.22	12.22	0	0	--  	          0.00	--  	--  	--  	12.22	    11.46	0	  0.58	造纸	山东	0.00	12.22	0	
000725	京东方Ａ	0.00	3.20	0.00	3.20	3.20	0	0	--  	          0.00	--  	--  	--  	3.20	   599.76	0	  0.87	元器件	北京	0.00	3.20	0	
000938	紫光股份	--  	56.89	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	56.89	    85.57	0	  0.00	软件服务	北京	0.00	56.89	0	
002024	苏宁云商	0.00	11.03	0.00	11.03	11.03	0	0	--  	          0.00	--  	--  	--  	11.03	--  	0	  0.19	电器连锁	江苏	0.00	11.03	0	
002223	鱼跃医疗	-0.25	31.45	-0.08	31.37	31.37	0	0	--  	          0.00	--  	--  	--  	31.45	    36.49	0	  0.43	医疗保健	江苏	0.00	31.45	0	
002352	顺丰控股	0.00	60.89	0.00	60.89	60.89	0	0	--  	          0.00	--  	--  	--  	60.89	    60.94	0	  0.55	仓储物流	安徽	0.00	60.89	0	
002415	海康威视	0.07	30.18	0.02	30.20	30.20	0	0	--  	          0.00	--  	--  	--  	30.18	    28.73	0	  0.28	电器仪表	浙江	0.00	30.18	0	
002493	荣盛石化	--  	15.30	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.30	    23.77	0	  0.00	化纤	浙江	0.00	15.30	0	
002701	奥瑞金	0.12	8.69	0.01	8.70	8.70	0	0	--  	          0.00	--  	--  	--  	8.69	    15.01	0	  0.26	广告包装	北京	0.00	8.69	0	
300024	机器人	0.04	22.55	0.01	22.56	22.56	0	0	--  	          0.00	--  	--  	--  	22.55	    85.65	0	  0.26	专用机械	辽宁	0.00	22.55	0	
300059	东方财富	0.00	16.00	0.00	16.00	16.00	0	0	--  	          0.00	--  	--  	--  	16.00	    79.76	0	  0.42	互联网	上海	0.00	16.00	0	
300070	碧水源	0.85	16.45	0.14	16.59	16.59	0	0	--  	          0.00	--  	--  	--  	16.45	    87.69	0	  1.06	环境保护	北京	0.00	16.45	0	
300498	温氏股份	0.00	33.57	0.00	33.57	33.57	0	0	--  	          0.00	--  	--  	--  	33.57	    10.11	0	  0.17	农业综合	广东	0.00	33.57	0	
600018	上港集团	0.18	5.62	0.01	5.63	5.63	0	0	--  	          0.00	--  	--  	--  	5.62	    24.68	0	  0.39	港口	上海	0.00	5.62	0	
600019	宝钢股份	-0.29	6.83	-0.02	6.81	6.81	0	0	--  	          0.00	--  	--  	--  	6.83	    20.23	0	  0.72	普钢	上海	0.00	6.83	0	
600030	中信证券	0.06	16.34	0.01	16.35	16.35	0	0	--  	          0.00	--  	--  	--  	16.34	    18.70	0	  0.32	证券	深圳	0.00	16.34	0	
600031	三一重工	-0.26	7.66	-0.02	7.64	7.64	0	0	--  	          0.00	--  	--  	--  	7.66	   252.00	0	  0.38	工程机械	湖南	0.00	7.66	0	
600050	中国联通	-0.67	7.41	-0.05	7.36	7.36	0	0	--  	          0.00	--  	--  	--  	7.41	   241.02	0	  0.79	电信运营	上海	0.00	7.41	0	
600100	同方股份	-0.14	13.94	-0.02	13.92	13.92	0	0	--  	          0.00	--  	--  	--  	13.94	     6.08	0	  0.25	电脑设备	北京	0.00	13.94	0	
600104	上汽集团	-0.04	24.85	-0.01	24.84	24.84	0	0	--  	          0.00	--  	--  	--  	24.85	     9.43	0	  0.53	汽车整车	上海	0.00	24.85	0	
600196	复星医药	0.31	25.99	0.08	26.07	26.07	0	0	--  	          0.00	--  	--  	--  	25.99	    21.62	0	  0.13	化学制药	上海	0.00	25.99	0	
600309	万华化学	-0.04	26.75	-0.01	26.74	26.74	0	0	--  	          0.00	--  	--  	--  	26.75	    18.28	0	  0.14	化工原料	山东	0.00	26.75	0	
600315	上海家化	-0.07	28.30	-0.02	28.28	28.28	0	0	--  	          0.00	--  	--  	--  	28.30	    32.98	0	  0.45	日用化工	上海	0.00	28.30	0	
600362	江西铜业	0.42	18.93	0.08	19.01	19.01	0	0	--  	          0.00	--  	--  	--  	18.93	    49.74	0	  1.94	铜	江西	0.00	18.93	0	
600398	海澜之家	0.00	10.45	0.00	10.45	10.45	0	0	--  	          0.00	--  	--  	--  	10.45	    15.04	0	  0.39	服饰	江苏	0.00	10.45	0	
600516	方大炭素	-0.32	9.46	-0.03	9.43	9.43	0	0	--  	          0.00	--  	--  	--  	9.46	   154.88	0	  0.37	矿物制品	甘肃	0.00	9.46	0	
600519	贵州茅台	0.00	371.55	0.00	371.55	371.55	0	0	--  	          0.00	--  	--  	--  	371.55	    28.08	0	  0.64	白酒	贵州	0.00	371.55	0	
600585	海螺水泥	0.20	20.41	0.04	20.45	20.45	0	0	--  	          0.00	--  	--  	--  	20.41	    13.59	0	  0.11	水泥	安徽	0.00	20.41	0	
600611	大众交通	0.00	6.39	0.00	6.39	6.39	0	0	--  	          0.00	--  	--  	--  	6.39	    26.11	0	  0.15	公共交通	上海	0.00	6.39	0	
600637	东方明珠	0.00	22.99	0.00	22.99	22.99	0	0	--  	          0.00	--  	--  	--  	22.99	    23.61	0	  0.22	影视音像	上海	0.00	22.99	0	
600703	三安光电	0.00	15.69	0.00	15.69	15.69	0	0	--  	          0.00	--  	--  	--  	15.69	    32.09	0	  0.04	半导体	湖北	0.00	15.69	0	
600704	物产中大	-0.09	10.86	-0.01	10.85	10.85	0	0	--  	          0.00	--  	--  	--  	10.86	    18.86	0	  0.29	商贸代理	浙江	0.00	10.86	0	
