代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000049	德赛电池	2.23	52.33	1.14	52.29	52.30	8561	188	0.63	          0.42	52.00	52.35	51.80	51.19	    42.07	44532880	 48.10	电气设备	深圳	1.07	52.02	2783	
000096	广聚能源	-0.12	16.91	-0.02	16.91	16.93	123	2	-0.23	          0.00	16.95	17.00	16.91	16.93	    63.94	208501	  0.62	石油贸易	深圳	0.53	16.95	94	
000333	美的集团	-0.27	33.81	-0.09	33.80	33.81	4239	58	-0.38	          0.01	33.94	33.94	33.80	33.90	    12.72	14373930	  2.81	家用电器	广东	0.41	33.91	1770	
000418	小天鹅Ａ	-0.15	38.75	-0.06	38.76	38.77	409	2	0.00	          0.01	38.75	38.77	38.71	38.81	    20.86	1585115	  2.90	家用电器	江苏	0.15	38.76	214	
000521	美菱电器	0.41	7.33	0.03	7.32	7.33	3168	89	-0.40	          0.05	7.36	7.36	7.30	7.30	    34.74	2327895	  8.52	家用电器	安徽	0.82	7.35	1337	
000568	泸州老窖	0.17	40.70	0.07	40.69	40.70	974	1	-0.02	          0.01	40.71	40.86	40.70	40.63	    28.42	3967925	  2.48	白酒	四川	0.39	40.74	438	
000711	京蓝科技	2.70	30.08	0.79	30.08	30.10	8021	33	-0.72	          0.50	30.30	30.60	30.08	29.29	--  	24314956	 35.33	软件服务	黑龙江	1.78	30.31	4899	
000717	*ST韶钢	0.00	6.20	0.00	6.20	6.21	775	20	-0.32	          0.00	6.22	6.22	6.20	6.20	   147.90	481613	  1.24	钢加工	广东	0.32	6.21	475	
000812	陕西金叶	1.39	13.10	0.18	13.09	13.10	4541	11	0.07	          0.10	13.09	13.10	13.03	12.92	   204.11	5941556	  4.84	广告包装	陕西	0.54	13.08	1323	
000820	神雾节能	-0.24	38.01	-0.09	38.03	38.20	383	80	0.05	          0.02	37.99	38.20	37.96	38.10	   120.81	1455713	  1.62	环境保护	辽宁	0.63	38.01	229	
000823	超声电子	-0.62	14.33	-0.09	14.32	14.33	4093	102	-0.20	          0.08	14.36	14.38	14.30	14.42	    51.41	5872325	  6.32	元器件	广东	0.55	14.35	3053	
000828	东莞控股	0.37	13.54	0.05	13.50	13.53	490	46	0.37	          0.00	13.49	13.55	13.49	13.49	    16.85	661962	  1.21	路桥	广东	0.44	13.51	181	
000859	国风塑业	-0.14	6.99	-0.01	6.99	7.00	13608	300	0.43	          0.18	6.96	7.02	6.95	7.00	   281.56	9487776	  3.47	塑料	安徽	1.00	6.97	6414	
000910	大亚圣象	-0.04	22.57	-0.01	22.53	22.60	534	9	-0.26	          0.01	22.63	22.63	22.51	22.58	    31.86	1208458	  2.83	家居用品	江苏	0.53	22.61	386	
000921	海信科龙	0.58	13.90	0.08	13.84	13.89	4625	82	-0.14	          0.05	13.92	13.94	13.80	13.82	    16.45	6428575	  7.93	家用电器	广东	1.01	13.90	3827	
000927	一汽夏利	1.06	7.66	0.08	7.64	7.66	1962	36	1.18	          0.01	7.57	7.73	7.57	7.58	--  	1497311	  1.51	汽车整车	天津	2.11	7.63	381	
000963	华东医药	0.26	83.62	0.22	83.62	83.63	137	19	0.20	          0.00	83.45	83.63	83.45	83.40	    28.10	1144259	  0.77	化学制药	浙江	0.22	83.52	40	
000968	*ST煤气	0.61	13.16	0.08	13.10	13.16	626	13	1.23	          0.02	13.00	13.20	13.00	13.08	--  	819708	  1.79	煤炭开采	山西	1.53	13.09	208	
002008	大族激光	-0.38	26.18	-0.10	26.18	26.20	1541	16	-0.49	          0.02	26.31	26.32	26.10	26.28	    33.08	4049547	  2.24	电器仪表	深圳	0.84	26.28	1091	
002028	思源电气	-0.06	16.34	-0.01	16.30	16.35	697	10	0.24	          0.01	16.30	16.34	16.18	16.35	    39.13	1134397	  1.38	电气设备	上海	0.98	16.28	226	
002035	华帝股份	-0.55	32.57	-0.18	32.49	32.57	769	2	-1.00	          0.02	32.90	32.99	32.30	32.75	    44.14	2513238	  7.26	家用电器	广东	2.11	32.68	579	
