代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000066	长城电脑	0.18	10.93	0.02	10.92	10.93	336	336	0.00	          0.00	10.93	10.93	10.93	10.91	   897.87	367248	  0.27	电脑设备	深圳	0.00	10.93	168	
000401	冀东水泥	0.36	13.89	0.05	13.89	13.90	119	119	0.00	          0.00	13.89	13.89	13.89	13.84	--  	165291	  0.15	水泥	河北	0.00	13.89	60	
000410	沈阳机床	0.00	11.93	0.00	11.92	11.94	350	350	0.00	          0.00	11.93	11.93	11.93	11.93	--  	417550	  0.78	机床制造	辽宁	0.00	11.93	175	
000428	华天酒店	-0.14	7.29	-0.01	7.29	7.31	189	189	0.00	          0.00	7.29	7.29	7.29	7.30	--  	137781	  0.95	酒店餐饮	湖南	0.00	7.29	95	
000518	四环生物	0.00	8.10	0.00	8.10	8.12	1	1	0.00	          0.00	8.10	8.10	8.10	8.10	   603.27	810	  0.01	生物制药	江苏	0.00	8.10	1	
000526	紫光学大	0.03	36.71	0.01	36.70	36.71	15	15	0.00	          0.00	36.71	36.71	36.71	36.70	--  	55065	  0.21	文教休闲	福建	0.00	36.71	8	
000617	中油资本	0.35	19.80	0.07	19.80	19.82	326	326	0.00	          0.01	19.80	19.80	19.80	19.73	--  	645480	  0.70	多元金融	山东	0.00	19.80	163	
000659	珠海中富	-1.10	6.28	-0.07	6.28	6.29	2082	2082	0.00	          0.02	6.28	6.28	6.28	6.35	--  	1307496	  1.87	广告包装	广东	0.00	6.28	1041	
000676	智度股份	0.00	18.22	0.00	18.11	18.22	18	18	0.00	          0.00	18.22	18.22	18.22	18.22	    87.87	32796	  0.06	互联网	河南	0.00	18.22	9	
000680	山推股份	-0.30	6.57	-0.02	6.57	6.58	712	712	0.00	          0.01	6.57	6.57	6.57	6.59	--  	467784	  0.40	工程机械	山东	0.00	6.57	356	
000711	京蓝科技	3.45	30.30	1.01	30.30	30.32	2964	2964	0.00	          0.18	30.30	30.30	30.30	29.29	--  	8980920	 13.06	软件服务	黑龙江	0.00	30.30	1482	
000755	山西三维	-0.24	8.19	-0.02	8.18	8.19	136	136	0.00	          0.00	8.19	8.19	8.19	8.21	--  	111384	  0.57	化工原料	山西	0.00	8.19	68	
000803	金宇车城	--  	20.60	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	20.60	--  	0	  0.00	纺织	四川	0.00	20.60	0	
000807	云铝股份	-1.05	7.55	-0.08	7.55	7.57	1148	1148	0.00	          0.01	7.55	7.55	7.55	7.63	    81.31	866740	  0.80	铝	云南	0.00	7.55	574	
000809	铁岭新城	0.00	4.98	0.00	4.96	4.98	358	358	0.00	          0.00	4.98	4.98	4.98	4.98	--  	178284	  0.97	区域地产	辽宁	0.00	4.98	179	
000829	天音控股	--  	11.28	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.28	   132.17	0	  0.00	其他商业	江西	0.00	11.28	0	
000912	泸天化	--  	13.22	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.22	--  	0	  0.00	农药化肥	四川	0.00	13.22	0	
000918	嘉凯城	0.37	8.04	0.03	8.04	8.05	773	773	0.00	          0.00	8.04	8.04	8.04	8.01	--  	621492	  0.94	全国地产	浙江	0.00	8.04	387	
000922	佳电股份	0.09	10.80	0.01	10.80	10.81	401	401	0.00	          0.01	10.80	10.80	10.80	10.79	--  	433080	  0.43	电气设备	黑龙江	0.00	10.80	201	
000959	首钢股份	-0.42	7.16	-0.03	7.16	7.21	159	159	0.00	          0.00	7.16	7.16	7.16	7.19	   207.60	113844	  1.01	普钢	北京	0.00	7.16	80	
000972	中基健康	0.00	6.22	0.00	6.21	6.22	49	49	0.00	          0.00	6.22	6.22	6.22	6.22	--  	30478	  0.15	食品	新疆	0.00	6.22	25	
000982	中银绒业	--  	9.15	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.15	--  	0	  0.00	纺织	宁夏	0.00	9.15	0	
002105	信隆健康	0.07	13.50	0.01	13.49	13.50	1220	1220	0.00	          0.03	13.50	13.50	13.50	13.49	   167.41	1647000	  1.88	文教休闲	深圳	0.00	13.50	610	
