代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
002365	永安药业	--  	22.26	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	22.26	    64.89	0	  0.00	化学制药	湖北	0.00	22.26	0	
002395	双象股份	--  	24.03	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	24.03	   133.57	0	  0.00	塑料	江苏	0.00	24.03	0	
002599	盛通股份	0.00	38.58	0.00	38.58	38.58	0	0	--  	          0.00	--  	--  	--  	38.58	   233.62	0	  0.03	广告包装	北京	0.00	38.58	0	
002718	友邦吊顶	0.00	69.99	0.00	69.99	69.99	0	0	--  	          0.00	--  	--  	--  	69.99	    54.50	0	  0.04	家居用品	浙江	0.00	69.99	0	
002722	金轮股份	0.16	43.93	0.07	44.00	44.00	0	0	--  	          0.00	--  	--  	--  	43.93	    57.82	0	  0.23	纺织机械	江苏	0.00	43.93	0	
002732	燕塘乳业	0.35	34.66	0.12	34.78	34.78	0	0	--  	          0.00	--  	--  	--  	34.66	    51.41	0	  0.05	乳制品	广东	0.00	34.66	0	
002734	利民股份	0.09	32.76	0.03	32.79	32.79	0	0	--  	          0.00	--  	--  	--  	32.76	    58.25	0	  0.03	农药化肥	江苏	0.00	32.76	0	
002738	中矿资源	--  	28.07	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	28.07	   135.45	0	  0.00	建筑施工	北京	0.00	28.07	0	
002746	仙坛股份	0.00	46.20	0.00	46.20	46.20	0	0	--  	          0.00	--  	--  	--  	46.20	    35.31	0	  0.18	农业综合	山东	0.00	46.20	0	
002753	永东股份	--  	30.90	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	30.90	    69.40	0	  0.00	化工原料	山西	0.00	30.90	0	
002757	南兴装备	--  	39.75	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	39.75	    72.05	0	  0.00	家居用品	广东	0.00	39.75	0	
002771	真视通	-0.01	68.88	-0.01	68.87	68.87	0	0	--  	          0.00	--  	--  	--  	68.88	    98.31	0	  0.14	软件服务	北京	0.00	68.88	0	
002777	久远银海	0.24	87.96	0.21	88.17	88.17	0	0	--  	          0.00	--  	--  	--  	87.96	   148.52	0	  0.18	软件服务	四川	0.00	87.96	0	
002787	华源控股	0.03	37.94	0.01	37.95	37.95	0	0	--  	          0.00	--  	--  	--  	37.94	    44.85	0	  0.21	广告包装	江苏	0.00	37.94	0	
002788	鹭燕医药	0.04	50.64	0.02	50.66	50.66	0	0	--  	          0.00	--  	--  	--  	50.64	    61.90	0	  0.13	医药商业	福建	0.00	50.64	0	
002800	天顺股份	0.40	61.75	0.25	62.00	62.00	0	0	--  	          0.00	--  	--  	--  	61.75	   139.36	0	  0.21	仓储物流	新疆	0.00	61.75	0	
002802	洪汇新材	-1.56	51.94	-0.81	51.13	51.13	0	0	--  	          0.00	--  	--  	--  	51.94	   106.79	0	  1.18	化工原料	江苏	0.00	51.94	0	
300037	新宙邦	0.04	53.86	0.02	53.88	53.88	0	0	--  	          0.00	--  	--  	--  	53.86	    40.40	0	  0.27	化工原料	深圳	0.00	53.86	0	
300038	梅泰诺	-0.49	45.22	-0.22	45.00	45.00	0	0	--  	          0.00	--  	--  	--  	45.22	    91.92	0	  0.47	通信设备	北京	0.00	45.22	0	
300097	智云股份	--  	58.79	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	58.79	   141.89	0	  0.00	电器仪表	辽宁	0.00	58.79	0	
