代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000005	世纪星源	0.45	6.63	0.03	6.66	6.66	0	0	--  	          0.00	--  	--  	--  	6.63	    39.35	0	  0.25	房产服务	深圳	0.00	6.63	0	
000016	深康佳Ａ	0.45	4.49	0.02	4.51	4.51	0	0	--  	          0.00	--  	--  	--  	4.49	--  	0	  0.79	家用电器	深圳	0.00	4.49	0	
000017	深中华A	0.09	11.22	0.01	11.23	11.23	0	0	--  	          0.00	--  	--  	--  	11.22	  2230.04	0	  0.18	文教休闲	深圳	0.00	11.22	0	
000019	深深宝Ａ	-0.86	16.32	-0.14	16.18	16.18	0	0	--  	          0.00	--  	--  	--  	16.32	--  	0	  0.33	软饮料	深圳	0.00	16.32	0	
000020	深华发Ａ	-0.56	21.28	-0.12	21.16	21.16	0	0	--  	          0.00	--  	--  	--  	21.28	  1002.23	0	  0.14	元器件	深圳	0.00	21.28	0	
000037	*ST南电A	0.00	12.40	0.00	12.40	12.40	0	0	--  	          0.00	--  	--  	--  	12.40	--  	0	  0.07	火力发电	深圳	0.00	12.40	0	
000066	长城电脑	0.00	10.91	0.00	10.91	10.91	0	0	--  	          0.00	--  	--  	--  	10.91	   896.23	0	  0.21	电脑设备	深圳	0.00	10.91	0	
000155	*ST川化	--  	0.00	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	--  	--  	0	  0.00	农药化肥	四川	--  	0.00	0	
000401	冀东水泥	0.29	13.84	0.04	13.88	13.88	0	0	--  	          0.00	--  	--  	--  	13.84	--  	0	  0.04	水泥	河北	0.00	13.84	0	
000408	*ST金源	--  	16.06	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.06	    53.36	0	  0.00	商贸代理	河北	0.00	16.06	0	
000426	兴业矿业	-0.45	8.93	-0.04	8.89	8.89	0	0	--  	          0.00	--  	--  	--  	8.93	   129.30	0	  0.39	铅锌	内蒙	0.00	8.93	0	
000502	绿景控股	-0.45	17.69	-0.08	17.61	17.61	0	0	--  	          0.00	--  	--  	--  	17.69	--  	0	  0.65	医疗保健	广东	0.00	17.69	0	
000504	*ST生物	0.59	16.81	0.10	16.91	16.91	0	0	--  	          0.00	--  	--  	--  	16.81	--  	0	  0.48	出版业	湖南	0.00	16.81	0	
000505	*ST珠江	-0.27	10.98	-0.03	10.95	10.95	0	0	--  	          0.00	--  	--  	--  	10.98	--  	0	  0.11	房产服务	海南	0.00	10.98	0	
000511	*ST烯碳	4.95	6.47	0.32	6.79	6.79	0	0	--  	          0.00	--  	--  	--  	6.47	--  	0	  6.33	矿物制品	辽宁	0.00	6.47	0	
000518	四环生物	0.00	8.10	0.00	8.10	8.10	0	0	--  	          0.00	--  	--  	--  	8.10	   603.27	0	  0.01	生物制药	江苏	0.00	8.10	0	
000557	西部创业	-1.48	6.10	-0.09	6.01	6.01	0	0	--  	          0.00	--  	--  	--  	6.10	--  	0	  4.05	红黄药酒	宁夏	0.00	6.10	0	
000573	粤宏远Ａ	-0.21	9.44	-0.02	9.42	9.42	0	0	--  	          0.00	--  	--  	--  	9.44	   184.98	0	  0.21	区域地产	广东	0.00	9.44	0	
000589	黔轮胎Ａ	0.48	6.29	0.03	6.32	6.32	0	0	--  	          0.00	--  	--  	--  	6.29	   520.63	0	  1.20	汽车配件	贵州	0.00	6.29	0	
000597	东北制药	--  	10.94	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.94	   640.76	0	  0.00	化学制药	辽宁	0.00	10.94	0	
000611	*ST天首	--  	10.05	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.05	--  	0	  0.00	纺织	内蒙	0.00	10.05	0	
000612	焦作万方	0.27	11.08	0.03	11.11	11.11	0	0	--  	          0.00	--  	--  	--  	11.08	   233.54	0	  1.04	铝	河南	0.00	11.08	0	
000617	中油资本	-0.66	19.73	-0.13	19.60	19.60	0	0	--  	          0.00	--  	--  	--  	19.73	--  	0	  0.28	多元金融	山东	0.00	19.73	0	
000622	*ST恒立	0.00	8.52	0.00	8.52	8.52	0	0	--  	          0.00	--  	--  	--  	8.52	--  	0	  0.12	汽车配件	湖南	0.00	8.52	0	
000630	铜陵有色	0.00	3.24	0.00	3.24	3.24	0	0	--  	          0.00	--  	--  	--  	3.24	   268.79	0	  0.91	铜	安徽	0.00	3.24	0	
000633	*ST合金	0.00	11.64	0.00	11.64	11.64	0	0	--  	          0.00	--  	--  	--  	11.64	--  	0	  0.01	综合类	辽宁	0.00	11.64	0	
000638	万方发展	0.00	14.35	0.00	14.35	14.35	0	0	--  	          0.00	--  	--  	--  	14.35	   397.63	0	  0.16	批发业	辽宁	0.00	14.35	0	
000657	中钨高新	0.00	15.48	0.00	15.48	15.48	0	0	--  	          0.00	--  	--  	--  	15.48	   330.82	0	  0.18	小金属	海南	0.00	15.48	0	
000662	天夏智慧	0.31	19.57	0.06	19.63	19.63	0	0	--  	          0.00	--  	--  	--  	19.57	    90.26	0	  0.01	软件服务	广西	0.00	19.57	0	
000678	襄阳轴承	-0.24	12.51	-0.03	12.48	12.48	0	0	--  	          0.00	--  	--  	--  	12.51	  2563.19	0	  0.15	机械基件	湖北	0.00	12.51	0	
000679	大连友谊	0.15	13.16	0.02	13.18	13.18	0	0	--  	          0.00	--  	--  	--  	13.16	--  	0	  0.01	百货	辽宁	0.00	13.16	0	
000680	山推股份	-0.30	6.59	-0.02	6.57	6.57	0	0	--  	          0.00	--  	--  	--  	6.59	--  	0	  0.08	工程机械	山东	0.00	6.59	0	
000687	华讯方舟	0.65	16.99	0.11	17.10	17.10	0	0	--  	          0.00	--  	--  	--  	16.99	    79.47	0	  0.10	通信设备	河北	0.00	16.99	0	
000721	西安饮食	0.23	8.70	0.02	8.72	8.72	0	0	--  	          0.00	--  	--  	--  	8.70	   178.62	0	  0.16	酒店餐饮	陕西	0.00	8.70	0	
000723	美锦能源	--  	12.23	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.23	    57.40	0	  0.00	焦炭加工	山西	0.00	12.23	0	
000737	南风化工	-0.13	7.47	-0.01	7.46	7.46	0	0	--  	          0.00	--  	--  	--  	7.47	--  	0	  0.06	日用化工	山西	0.00	7.47	0	
000753	漳州发展	0.00	5.47	0.00	5.47	5.47	0	0	--  	          0.00	--  	--  	--  	5.47	   251.18	0	  0.16	汽车服务	福建	0.00	5.47	0	
000760	斯太尔	-0.58	10.26	-0.06	10.20	10.20	0	0	--  	          0.00	--  	--  	--  	10.26	--  	0	  0.45	汽车配件	湖北	0.00	10.26	0	
000761	本钢板材	0.16	6.12	0.01	6.13	6.13	0	0	--  	          0.00	--  	--  	--  	6.12	    25.05	0	  0.02	钢加工	辽宁	0.00	6.12	0	
000779	三毛派神	0.28	17.90	0.05	17.95	17.95	0	0	--  	          0.00	--  	--  	--  	17.90	--  	0	  0.02	纺织	甘肃	0.00	17.90	0	
000785	武汉中商	--  	13.71	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.71	   139.30	0	  0.00	百货	湖北	0.00	13.71	0	
000790	泰合健康	0.00	12.42	0.00	12.42	12.42	0	0	--  	          0.00	--  	--  	--  	12.42	   199.93	0	  0.01	中成药	四川	0.00	12.42	0	
000798	中水渔业	-0.34	11.85	-0.04	11.81	11.81	0	0	--  	          0.00	--  	--  	--  	11.85	--  	0	  0.08	渔业	北京	0.00	11.85	0	
000825	太钢不锈	0.00	4.93	0.00	4.93	4.93	0	0	--  	          0.00	--  	--  	--  	4.93	    25.01	0	  0.49	特种钢	山西	0.00	4.93	0	
000829	天音控股	--  	11.28	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.28	   132.17	0	  0.00	其他商业	江西	0.00	11.28	0	
000831	*ST五稀	0.69	13.10	0.09	13.19	13.19	0	0	--  	          0.00	--  	--  	--  	13.10	--  	0	  0.56	小金属	山西	0.00	13.10	0	
000837	秦川机床	0.00	9.45	0.00	9.45	9.45	0	0	--  	          0.00	--  	--  	--  	9.45	--  	0	  0.22	机床制造	陕西	0.00	9.45	0	
000856	*ST冀装	--  	15.17	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.17	    44.98	0	  0.00	机械基件	河北	0.00	15.17	0	
000877	天山股份	-1.68	14.25	-0.24	14.01	14.01	0	0	--  	          0.00	--  	--  	--  	14.25	  2173.41	0	  0.71	水泥	新疆	0.00	14.25	0	
000881	中广核技	0.67	26.71	0.18	26.89	26.89	0	0	--  	          0.00	--  	--  	--  	26.71	 35504.14	0	  0.13	综合类	辽宁	0.00	26.71	0	
