代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000155	*ST川化	--  	0.00	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	--  	--  	0	  0.00	农药化肥	四川	--  	0.00	0	
000587	金洲慈航	-0.06	15.66	-0.01	15.65	15.65	0	0	--  	          0.00	--  	--  	--  	15.66	    17.82	0	  0.11	批发业	黑龙江	0.00	15.66	0	
000591	太阳能	-0.55	14.49	-0.08	14.41	14.41	0	0	--  	          0.00	--  	--  	--  	14.49	    36.42	0	  0.42	新型电力	重庆	0.00	14.49	0	
000903	云内动力	--  	8.76	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.76	    38.01	0	  0.00	机械基件	云南	0.00	8.76	0	
000939	凯迪生态	0.00	12.09	0.00	12.09	12.09	0	0	--  	          0.00	--  	--  	--  	12.09	   105.40	0	  0.06	新型电力	湖北	0.00	12.09	0	
000963	华东医药	0.06	83.40	0.05	83.45	83.45	0	0	--  	          0.00	--  	--  	--  	83.40	    28.02	0	  0.07	化学制药	浙江	0.00	83.40	0	
002065	东华软件	0.00	21.67	0.00	21.67	21.67	0	0	--  	          0.00	--  	--  	--  	21.67	    40.38	0	  0.07	软件服务	北京	0.00	21.67	0	
002089	新 海 宜	0.00	15.19	0.00	15.19	15.19	0	0	--  	          0.00	--  	--  	--  	15.19	   122.78	0	  0.23	通信设备	江苏	0.00	15.19	0	
002131	利欧股份	0.07	14.81	0.01	14.82	14.82	0	0	--  	          0.00	--  	--  	--  	14.81	    40.97	0	  0.29	互联网	浙江	0.00	14.81	0	
002148	北纬通信	-0.32	21.78	-0.07	21.71	21.71	0	0	--  	          0.00	--  	--  	--  	21.78	    89.78	0	  0.16	互联网	北京	0.00	21.78	0	
002149	西部材料	--  	29.74	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	29.74	   561.74	0	  0.00	小金属	陕西	0.00	29.74	0	
002169	智光电气	-0.24	20.65	-0.05	20.60	20.60	0	0	--  	          0.00	--  	--  	--  	20.65	    67.37	0	  0.06	电气设备	广东	0.00	20.65	0	
002182	云海金属	0.14	20.85	0.03	20.88	20.88	0	0	--  	          0.00	--  	--  	--  	20.85	    43.13	0	  0.27	小金属	江苏	0.00	20.85	0	
002185	华天科技	-0.55	12.69	-0.07	12.62	12.62	0	0	--  	          0.00	--  	--  	--  	12.69	    34.80	0	  0.22	半导体	甘肃	0.00	12.69	0	
002206	海 利 得	0.05	19.44	0.01	19.45	19.45	0	0	--  	          0.00	--  	--  	--  	19.44	    30.64	0	  0.19	化纤	浙江	0.00	19.44	0	
002217	合力泰	-0.36	19.45	-0.07	19.38	19.38	0	0	--  	          0.00	--  	--  	--  	19.45	    39.46	0	  0.70	元器件	山东	0.00	19.45	0	
002239	奥特佳	-0.14	14.13	-0.02	14.11	14.11	0	0	--  	          0.00	--  	--  	--  	14.13	    43.79	0	  0.35	汽车配件	江苏	0.00	14.13	0	
002277	友阿股份	-0.06	16.30	-0.01	16.29	16.29	0	0	--  	          0.00	--  	--  	--  	16.30	    38.59	0	  0.17	百货	湖南	0.00	16.30	0	
002281	光迅科技	-0.13	79.90	-0.10	79.80	79.80	0	0	--  	          0.00	--  	--  	--  	79.90	    58.77	0	  0.22	通信设备	湖北	0.00	79.90	0	
002315	焦点科技	0.20	65.48	0.13	65.61	65.61	0	0	--  	          0.00	--  	--  	--  	65.48	   128.70	0	  0.35	互联网	江苏	0.00	65.48	0	
002338	奥普光电	5.92	48.48	2.87	51.35	51.35	0	0	--  	          0.00	--  	--  	--  	48.48	    94.36	0	 11.62	电器仪表	吉林	0.00	48.48	0	
002383	合众思壮	--  	49.60	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	49.60	   799.04	0	  0.00	通信设备	北京	0.00	49.60	0	
002425	凯撒文化	-0.15	20.25	-0.03	20.22	20.22	0	0	--  	          0.00	--  	--  	--  	20.25	    87.06	0	  0.03	服饰	广东	0.00	20.25	0	
002429	兆驰股份	0.65	10.75	0.07	10.82	10.82	0	0	--  	          0.00	--  	--  	--  	10.75	    41.71	0	  0.94	家用电器	深圳	0.00	10.75	0	
002438	江苏神通	0.00	20.82	0.00	20.82	20.82	0	0	--  	          0.00	--  	--  	--  	20.82	   117.86	0	  0.11	机械基件	江苏	0.00	20.82	0	
002456	欧菲光	0.33	36.03	0.12	36.15	36.15	0	0	--  	          0.00	--  	--  	--  	36.03	    51.79	0	  0.43	元器件	深圳	0.00	36.03	0	
002464	金利科技	--  	69.00	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	69.00	    95.85	0	  0.00	互联网	江苏	0.00	69.00	0	
002478	常宝股份	0.06	16.02	0.01	16.03	16.03	0	0	--  	          0.00	--  	--  	--  	16.02	    58.43	0	  0.10	普钢	江苏	0.00	16.02	0	
002537	海立美达	-0.16	30.75	-0.05	30.70	30.70	0	0	--  	          0.00	--  	--  	--  	30.75	   133.11	0	  0.23	汽车整车	山东	0.00	30.75	0	
