代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000788	北大医药	-0.45	13.42	-0.06	13.46	13.48	2	2	-0.44	          0.00	13.48	13.48	13.42	13.48	   400.56	2690	  0.02	化学制药	重庆	0.45	13.45	2	
002473	圣莱达	-1.58	24.29	-0.39	24.29	24.30	988	12	-0.16	          0.06	24.33	24.33	24.23	24.68	--  	2402990	 13.72	家用电器	浙江	0.41	24.32	577	
002679	福建金森	-0.08	35.45	-0.03	35.44	35.45	156	1	-0.02	          0.01	35.46	35.46	35.45	35.48	--  	553095	  1.05	林业	福建	0.03	35.45	82	
300022	吉峰农机	0.11	9.30	0.01	9.25	9.29	1337	8	0.00	          0.04	9.30	9.31	9.25	9.29	   126.65	1243049	  2.57	其他商业	四川	0.65	9.30	936	
300028	金亚科技	0.00	13.20	0.00	13.18	13.20	2365	189	0.00	          0.10	13.20	13.24	13.18	13.20	   390.45	3123046	  3.37	通信设备	四川	0.45	13.21	1765	
300033	同花顺	0.47	68.57	0.32	68.55	68.57	398	13	0.10	          0.02	68.50	68.57	68.50	68.25	    30.43	2729846	  2.40	软件服务	浙江	0.10	68.53	266	
300117	嘉寓股份	-0.32	6.27	-0.02	6.27	6.28	274	1	0.00	          0.00	6.27	6.28	6.27	6.29	    68.27	171803	  1.85	装修装饰	北京	0.16	6.27	230	
300126	锐奇股份	-0.09	11.60	-0.01	11.59	11.61	291	6	-0.17	          0.01	11.62	11.62	11.60	11.61	   240.74	337970	  0.90	轻工机械	上海	0.17	11.61	156	
300135	宝利国际	0.34	5.83	0.02	5.81	5.83	1603	46	0.00	          0.02	5.83	5.84	5.81	5.81	   131.84	934343	  2.01	化工原料	江苏	0.52	5.83	1125	
300143	星河生物	--  	27.37	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	27.37	   191.41	0	  0.00	种植业	广东	0.00	27.37	0	
300208	恒顺众昇	-0.39	15.38	-0.06	15.37	15.38	162	6	-0.12	          0.00	15.40	15.40	15.38	15.44	    42.16	249398	  1.01	电气设备	山东	0.13	15.39	64	
300372	欣泰电气	--  	0.00	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	--  	--  	0	  0.00	电气设备	辽宁	--  	0.00	0	
300380	安硕信息	0.61	34.69	0.21	34.69	34.75	515	234	-0.31	          0.09	34.80	34.81	34.66	34.48	   534.28	1791759	  6.52	软件服务	上海	0.44	34.79	392	
300399	京天利	-0.03	31.15	-0.01	31.15	31.27	88	2	0.09	          0.02	31.12	31.33	31.12	31.16	   124.10	274893	  1.26	互联网	北京	0.67	31.24	65	
数据来源:通达信
