代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000007	全新好	--  	23.81	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	23.81	   237.21	0	  0.00	酒店餐饮	深圳	0.00	23.81	0	
000023	深天地Ａ	0.53	30.40	0.16	30.56	30.56	0	0	--  	          0.00	--  	--  	--  	30.40	   382.65	0	  0.09	其他建材	深圳	0.00	30.40	0	
000025	特 力Ａ	-0.02	51.15	-0.01	51.14	51.14	0	0	--  	          0.00	--  	--  	--  	51.15	   435.03	0	  0.08	汽车服务	深圳	0.00	51.15	0	
000048	康达尔	0.00	32.71	0.00	32.71	32.71	0	0	--  	          0.00	--  	--  	--  	32.71	   318.39	0	  0.48	饲料	深圳	0.00	32.71	0	
000403	ST生化	-0.30	32.90	-0.10	32.80	32.80	0	0	--  	          0.00	--  	--  	--  	32.90	   114.90	0	  0.61	生物制药	山西	0.00	32.90	0	
000503	海虹控股	0.50	41.78	0.21	41.99	41.99	0	0	--  	          0.00	--  	--  	--  	41.78	--  	0	  0.87	医疗保健	海南	0.00	41.78	0	
000510	金路集团	-0.18	11.36	-0.02	11.34	11.34	0	0	--  	          0.00	--  	--  	--  	11.36	   287.37	0	  0.29	化工原料	四川	0.00	11.36	0	
000526	紫光学大	0.03	36.70	0.01	36.71	36.71	0	0	--  	          0.00	--  	--  	--  	36.70	--  	0	  0.21	文教休闲	福建	0.00	36.70	0	
000532	力合股份	-0.05	18.29	-0.01	18.28	18.28	0	0	--  	          0.00	--  	--  	--  	18.29	   158.27	0	  0.38	元器件	广东	0.00	18.29	0	
000558	莱茵体育	--  	14.75	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	14.75	   503.23	0	  0.00	文教休闲	浙江	0.00	14.75	0	
000567	海德股份	0.09	33.97	0.03	34.00	34.00	0	0	--  	          0.00	--  	--  	--  	33.97	  2375.41	0	  0.16	区域地产	海南	0.00	33.97	0	
000586	汇源通信	--  	21.28	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	21.28	  1148.64	0	  0.00	通信设备	四川	0.00	21.28	0	
000607	华媒控股	0.00	10.17	0.00	10.17	10.17	0	0	--  	          0.00	--  	--  	--  	10.17	    61.10	0	  0.33	广告包装	浙江	0.00	10.17	0	
000617	中油资本	0.35	19.73	0.07	19.80	19.80	0	0	--  	          0.00	--  	--  	--  	19.73	--  	0	  0.67	多元金融	山东	0.00	19.73	0	
000695	滨海能源	0.13	15.61	0.02	15.63	15.63	0	0	--  	          0.00	--  	--  	--  	15.61	--  	0	  0.02	供气供热	天津	0.00	15.61	0	
000790	泰合健康	-0.08	12.42	-0.01	12.41	12.41	0	0	--  	          0.00	--  	--  	--  	12.42	   199.93	0	  0.71	中成药	四川	0.00	12.42	0	
000819	岳阳兴长	-0.23	26.26	-0.06	26.20	26.20	0	0	--  	          0.00	--  	--  	--  	26.26	   182.89	0	  0.29	石油加工	湖南	0.00	26.26	0	
000835	长城动漫	-0.26	11.39	-0.03	11.36	11.36	0	0	--  	          0.00	--  	--  	--  	11.39	--  	0	  0.34	影视音像	四川	0.00	11.39	0	
000856	*ST冀装	-0.46	15.17	-0.07	15.10	15.10	0	0	--  	          0.00	--  	--  	--  	15.17	    44.98	0	  0.18	机械基件	河北	0.00	15.17	0	
000923	河北宣工	0.00	21.77	0.00	21.77	21.77	0	0	--  	          0.00	--  	--  	--  	21.77	--  	0	  0.37	工程机械	河北	0.00	21.77	0	
002030	达安基因	-0.39	23.06	-0.09	22.97	22.97	0	0	--  	          0.00	--  	--  	--  	23.06	   147.77	0	  0.73	生物制药	广东	0.00	23.06	0	
002044	美年健康	--  	12.85	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.85	   244.68	0	  0.00	医疗保健	江苏	0.00	12.85	0	
002058	威 尔 泰	--  	26.66	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	26.66	--  	0	  0.00	电器仪表	上海	0.00	26.66	0	
002066	瑞泰科技	0.06	17.46	0.01	17.47	17.47	0	0	--  	          0.00	--  	--  	--  	17.46	   110.39	0	  0.54	其他建材	北京	0.00	17.46	0	
002070	众和股份	-1.51	14.55	-0.22	14.33	14.33	0	0	--  	          0.00	--  	--  	--  	14.55	   134.19	0	  1.79	纺织	福建	0.00	14.55	0	
002071	长城影视	0.08	12.93	0.01	12.94	12.94	0	0	--  	          0.00	--  	--  	--  	12.93	    46.14	0	  0.48	影视音像	江苏	0.00	12.93	0	
