代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000008	神州高铁	-0.23	8.67	-0.02	8.65	8.65	0	0	--  	          0.00	--  	--  	--  	8.67	    84.21	0	  1.02	运输设备	北京	0.00	8.67	0	
000009	中国宝安	-0.21	9.75	-0.02	9.73	9.73	0	0	--  	          0.00	--  	--  	--  	9.75	    74.71	0	  0.26	综合类	深圳	0.00	9.75	0	
000023	深天地Ａ	0.53	30.40	0.16	30.56	30.56	0	0	--  	          0.00	--  	--  	--  	30.40	   382.65	0	  0.09	其他建材	深圳	0.00	30.40	0	
000025	特 力Ａ	-0.02	51.15	-0.01	51.14	51.14	0	0	--  	          0.00	--  	--  	--  	51.15	   435.03	0	  0.08	汽车服务	深圳	0.00	51.15	0	
000048	康达尔	0.00	32.71	0.00	32.71	32.71	0	0	--  	          0.00	--  	--  	--  	32.71	   318.39	0	  0.48	饲料	深圳	0.00	32.71	0	
000056	皇庭国际	0.08	12.85	0.01	12.86	12.86	0	0	--  	          0.00	--  	--  	--  	12.85	   148.09	0	  0.07	房产服务	深圳	0.00	12.85	0	
000058	深 赛 格	0.00	10.61	0.00	10.61	10.61	0	0	--  	          0.00	--  	--  	--  	10.61	   232.57	0	  0.19	元器件	深圳	0.00	10.61	0	
000408	*ST金源	--  	16.06	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.06	    53.36	0	  0.00	商贸代理	河北	0.00	16.06	0	
000510	金路集团	-0.18	11.36	-0.02	11.34	11.34	0	0	--  	          0.00	--  	--  	--  	11.36	   287.37	0	  0.23	化工原料	四川	0.00	11.36	0	
000555	神州信息	-0.65	22.94	-0.15	22.79	22.79	0	0	--  	          0.00	--  	--  	--  	22.94	   134.40	0	  1.07	软件服务	深圳	0.00	22.94	0	
000558	莱茵体育	--  	14.75	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	14.75	   503.23	0	  0.00	文教休闲	浙江	0.00	14.75	0	
000573	粤宏远Ａ	-0.21	9.44	-0.02	9.42	9.42	0	0	--  	          0.00	--  	--  	--  	9.44	   184.98	0	  0.21	区域地产	广东	0.00	9.44	0	
000590	启迪古汉	-0.41	19.68	-0.08	19.60	19.60	0	0	--  	          0.00	--  	--  	--  	19.68	   267.17	0	  0.06	中成药	湖南	0.00	19.68	0	
000606	神州易桥	1.27	12.64	0.16	12.80	12.80	0	0	--  	          0.00	--  	--  	--  	12.64	   211.26	0	 15.71	化学制药	青海	0.00	12.64	0	
000638	万方发展	0.00	14.35	0.00	14.35	14.35	0	0	--  	          0.00	--  	--  	--  	14.35	   397.63	0	  0.24	批发业	辽宁	0.00	14.35	0	
000670	*ST盈方	4.79	7.72	0.37	8.09	8.09	0	0	--  	          0.00	--  	--  	--  	7.72	   283.15	0	 21.56	元器件	湖北	0.00	7.72	0	
000673	当代东方	--  	13.53	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.53	    59.33	0	  0.00	影视音像	山西	0.00	13.53	0	
000723	美锦能源	--  	12.23	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.23	    57.40	0	  0.00	焦炭加工	山西	0.00	12.23	0	
000738	中航动控	0.12	25.15	0.03	25.18	25.18	0	0	--  	          0.00	--  	--  	--  	25.15	   136.01	0	  0.52	航空	江苏	0.00	25.15	0	
000757	浩物股份	0.10	9.89	0.01	9.90	9.90	0	0	--  	          0.00	--  	--  	--  	9.89	   169.70	0	  0.21	汽车配件	四川	0.00	9.89	0	
000777	中核科技	0.05	21.83	0.01	21.84	21.84	0	0	--  	          0.00	--  	--  	--  	21.83	   133.00	0	  0.11	机械基件	江苏	0.00	21.83	0	
000788	北大医药	--  	13.48	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.48	   402.35	0	  0.00	化学制药	重庆	0.00	13.48	0	
000790	泰合健康	-0.08	12.42	-0.01	12.41	12.41	0	0	--  	          0.00	--  	--  	--  	12.42	   199.93	0	  0.71	中成药	四川	0.00	12.42	0	
000795	英洛华	0.57	6.98	0.04	7.02	7.02	0	0	--  	          0.00	--  	--  	--  	6.98	   228.83	0	  1.53	矿物制品	山西	0.00	6.98	0	
000812	陕西金叶	1.39	12.92	0.18	13.10	13.10	0	0	--  	          0.00	--  	--  	--  	12.92	   201.31	0	  0.85	广告包装	陕西	0.00	12.92	0	
000819	岳阳兴长	-0.23	26.26	-0.06	26.20	26.20	0	0	--  	          0.00	--  	--  	--  	26.26	   182.89	0	  0.29	石油加工	湖南	0.00	26.26	0	
000836	鑫茂科技	-0.60	8.35	-0.05	8.30	8.30	0	0	--  	          0.00	--  	--  	--  	8.35	   212.67	0	  0.39	通信设备	天津	0.00	8.35	0	
000851	高鸿股份	-0.72	12.50	-0.09	12.41	12.41	0	0	--  	          0.00	--  	--  	--  	12.50	   145.01	0	  1.94	软件服务	贵州	0.00	12.50	0	
000897	津滨发展	0.00	4.93	0.00	4.93	4.93	0	0	--  	          0.00	--  	--  	--  	4.93	   114.63	0	  0.20	区域地产	天津	0.00	4.93	0	
000996	中国中期	0.04	23.23	0.01	23.24	23.24	0	0	--  	          0.00	--  	--  	--  	23.23	   262.62	0	  0.42	公路	北京	0.00	23.23	0	
002030	达安基因	-0.39	23.06	-0.09	22.97	22.97	0	0	--  	          0.00	--  	--  	--  	23.06	   147.77	0	  0.55	生物制药	广东	0.00	23.06	0	
002066	瑞泰科技	0.06	17.46	0.01	17.47	17.47	0	0	--  	          0.00	--  	--  	--  	17.46	   110.39	0	  0.18	其他建材	北京	0.00	17.46	0	
