代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000590	启迪古汉	-0.41	19.60	-0.08	19.60	19.77	13	13	0.00	          0.00	19.60	19.60	19.60	19.68	   266.08	25480	  0.15	中成药	湖南	0.00	19.60	7	
000788	北大医药	--  	13.48	--  	13.48	13.50	0	0	--  	          0.00	--  	--  	--  	13.48	   402.35	0	  0.00	化学制药	重庆	0.00	13.48	0	
000826	启迪桑德	-0.29	34.40	-0.10	34.40	34.48	100	100	0.00	          0.00	34.40	34.40	34.40	34.50	    30.78	344000	  0.99	环境保护	湖北	0.00	34.40	50	
000915	山大华特	0.09	43.49	0.04	43.48	43.49	96	96	0.00	          0.01	43.49	43.49	43.49	43.45	    36.86	417504	  0.60	化学制药	山东	0.00	43.49	48	
000925	众合科技	--  	24.15	--  	24.10	24.15	0	0	--  	          0.00	--  	--  	--  	24.15	--  	0	  0.00	专用机械	浙江	0.00	24.15	0	
000938	紫光股份	--  	56.89	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	56.89	    85.57	0	  0.00	软件服务	北京	0.00	56.89	0	
000988	华工科技	0.06	16.03	0.01	16.03	16.05	387	387	0.00	          0.00	16.03	16.03	16.03	16.02	    63.91	620361	  0.74	电器仪表	湖北	0.00	16.03	194	
000990	诚志股份	0.06	16.04	0.01	16.04	16.06	54	54	0.00	          0.00	16.04	16.04	16.04	16.03	   181.43	86616	  0.72	化工原料	江西	0.00	16.04	27	
002030	达安基因	-0.69	22.90	-0.16	22.88	22.90	678	678	0.00	          0.01	22.90	22.90	22.90	23.06	   146.74	1552620	  0.99	生物制药	广东	0.00	22.90	339	
002049	紫光国芯	--  	30.88	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	30.88	    50.85	0	  0.00	元器件	河北	0.00	30.88	0	
002297	博云新材	0.38	13.34	0.05	13.33	13.34	395	395	0.00	          0.01	13.34	13.34	13.34	13.29	--  	526930	  0.60	矿物制品	湖南	0.00	13.34	198	
300161	华中数控	0.11	26.12	0.03	26.12	26.20	63	63	0.00	          0.00	26.12	26.12	26.12	26.09	--  	164556	  0.38	机床制造	湖北	0.00	26.12	32	
300205	天喻信息	0.14	14.32	0.02	14.31	14.32	6	6	0.00	          0.00	14.32	14.32	14.32	14.30	   149.89	8592	  0.05	元器件	湖北	0.00	14.32	3	
300334	津膜科技	-0.12	17.33	-0.02	17.32	17.33	41	41	0.00	          0.00	17.33	17.33	17.33	17.35	   180.61	71053	  0.27	专用机械	天津	0.00	17.33	21	
300523	辰安科技	-0.23	99.56	-0.23	99.55	99.60	23	23	0.00	          0.01	99.56	99.56	99.56	99.79	  1186.18	228988	  0.40	软件服务	北京	0.00	99.56	12	
600100	同方股份	-0.14	13.92	-0.02	13.91	13.92	604	604	0.00	          0.00	13.92	13.92	13.92	13.94	     6.07	840768	  0.43	电脑设备	北京	0.00	13.92	302	
600530	交大昂立	0.00	7.18	0.00	7.18	7.19	31	31	0.00	          0.00	7.18	7.18	7.18	7.18	    30.95	22258	  0.13	医疗保健	上海	0.00	7.18	16	
600590	泰豪科技	--  	15.72	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.72	   116.79	0	  0.00	电气设备	江西	0.00	15.72	0	
600601	方正科技	0.00	4.59	0.00	4.58	4.59	120	120	0.00	          0.00	4.59	4.59	4.59	4.59	--  	55080	  0.10	电脑设备	上海	0.00	4.59	60	
600624	复旦复华	0.23	8.71	0.02	8.70	8.71	96	96	0.00	          0.00	8.71	8.71	8.71	8.69	   117.18	83616	  0.20	综合类	上海	0.00	8.71	48	
600661	新南洋	0.22	27.95	0.06	27.95	27.98	16	16	0.00	          0.00	27.95	27.95	27.95	27.89	    41.72	44720	  0.23	文教休闲	上海	0.00	27.95	8	
600701	工大高新	-0.60	16.54	-0.10	16.54	16.56	3238	3238	0.00	          0.06	16.54	16.54	16.54	16.64	   223.49	5355999	  2.09	综合类	黑龙江	0.00	16.54	1619	
600718	东软集团	0.78	19.48	0.15	19.48	19.49	3207	3207	0.00	          0.03	19.48	19.48	19.48	19.33	     8.88	6247918	  2.64	软件服务	辽宁	0.00	19.48	1604	
600730	中国高科	0.08	12.07	0.01	12.06	12.07	71	71	0.00	          0.00	12.07	12.07	12.07	12.06	     8.33	85697	  0.26	综合类	北京	0.00	12.07	36	
600797	浙大网新	3.90	14.38	0.54	14.37	14.38	10837	10837	0.00	          0.13	14.38	14.38	14.38	13.84	    61.70	15583606	 19.53	软件服务	浙江	0.00	14.38	5419	
600846	同济科技	-0.11	9.15	-0.01	9.15	9.16	420	420	0.00	          0.01	9.15	9.15	9.15	9.16	    48.80	384300	  1.47	综合类	上海	0.00	9.15	210	
601901	方正证券	-0.35	8.51	-0.03	8.51	8.52	400	400	0.00	          0.00	8.51	8.51	8.51	8.54	    19.71	340400	  0.20	证券	湖南	0.00	8.51	200	
603026	石大胜华	-0.10	38.80	-0.04	38.80	38.81	68	68	0.00	          0.00	38.80	38.80	38.80	38.84	    43.32	263840	  0.31	化工原料	山东	0.00	38.80	34	
数据来源:通达信
