代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000506	中润资源	1.16	10.36	0.12	10.48	10.48	0	0	--  	          0.00	--  	--  	--  	10.36	  1104.70	0	  1.20	区域地产	山东	0.00	10.36	0	
000672	上峰水泥	0.00	11.21	0.00	11.21	11.21	0	0	--  	          0.00	--  	--  	--  	11.21	    83.58	0	  0.32	水泥	甘肃	0.00	11.21	0	
000760	斯太尔	-0.58	10.26	-0.06	10.20	10.20	0	0	--  	          0.00	--  	--  	--  	10.26	--  	0	  0.89	汽车配件	湖北	0.00	10.26	0	
002028	思源电气	-0.31	16.35	-0.05	16.30	16.30	0	0	--  	          0.00	--  	--  	--  	16.35	    39.15	0	  0.38	电气设备	上海	0.00	16.35	0	
002062	宏润建设	0.15	6.59	0.01	6.60	6.60	0	0	--  	          0.00	--  	--  	--  	6.59	    34.25	0	  0.07	建筑施工	浙江	0.00	6.59	0	
002117	东港股份	0.37	30.10	0.11	30.21	30.21	0	0	--  	          0.00	--  	--  	--  	30.10	    55.12	0	  0.06	广告包装	山东	0.00	30.10	0	
002152	广电运通	-0.08	12.89	-0.01	12.88	12.88	0	0	--  	          0.00	--  	--  	--  	12.89	    30.87	0	  0.42	电脑设备	广东	0.00	12.89	0	
002308	威创股份	1.18	15.21	0.18	15.39	15.39	0	0	--  	          0.00	--  	--  	--  	15.21	    81.19	0	  0.24	电脑设备	广东	0.00	15.21	0	
002415	海康威视	0.07	30.18	0.02	30.20	30.20	0	0	--  	          0.00	--  	--  	--  	30.18	    28.73	0	  0.28	电器仪表	浙江	0.00	30.18	0	
002512	达华智能	0.13	15.78	0.02	15.80	15.80	0	0	--  	          0.00	--  	--  	--  	15.78	   207.34	0	  0.23	元器件	广东	0.00	15.78	0	
002642	荣之联	-0.79	22.65	-0.18	22.47	22.47	0	0	--  	          0.00	--  	--  	--  	22.65	   190.49	0	  1.41	软件服务	北京	0.00	22.65	0	
300015	爱尔眼科	-0.69	30.37	-0.21	30.16	30.16	0	0	--  	          0.00	--  	--  	--  	30.37	    48.97	0	  0.36	医疗保健	湖南	0.00	30.37	0	
300062	中能电气	0.00	31.69	0.00	31.69	31.69	0	0	--  	          0.00	--  	--  	--  	31.69	    62.90	0	  0.10	电气设备	福建	0.00	31.69	0	
300076	GQY视讯	0.00	11.94	0.00	11.94	11.94	0	0	--  	          0.00	--  	--  	--  	11.94	--  	0	  0.15	电脑设备	浙江	0.00	11.94	0	
300101	振芯科技	0.36	19.22	0.07	19.29	19.29	0	0	--  	          0.00	--  	--  	--  	19.22	   122.48	0	  0.17	通信设备	四川	0.00	19.22	0	
300136	信维通信	-0.33	33.16	-0.11	33.05	33.05	0	0	--  	          0.00	--  	--  	--  	33.16	    70.42	0	  0.10	通信设备	深圳	0.00	33.16	0	
300182	捷成股份	-0.10	10.04	-0.01	10.03	10.03	0	0	--  	          0.00	--  	--  	--  	10.04	    31.43	0	  0.06	软件服务	北京	0.00	10.04	0	
300189	神农基因	0.00	5.07	0.00	5.07	5.07	0	0	--  	          0.00	--  	--  	--  	5.07	--  	0	  0.28	种植业	海南	0.00	5.07	0	
300230	永利股份	-0.10	31.13	-0.03	31.10	31.10	0	0	--  	          0.00	--  	--  	--  	31.13	    62.72	0	  0.08	塑料	上海	0.00	31.13	0	
300304	云意电气	-0.92	18.45	-0.17	18.28	18.28	0	0	--  	          0.00	--  	--  	--  	18.45	   144.50	0	  0.82	汽车配件	江苏	0.00	18.45	0	
300336	新文化	-0.11	17.72	-0.02	17.70	17.70	0	0	--  	          0.00	--  	--  	--  	17.72	    42.98	0	  0.23	影视音像	上海	0.00	17.72	0	
300359	全通教育	--  	20.12	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	20.12	   226.85	0	  0.00	文教休闲	广东	0.00	20.12	0	
300366	创意信息	0.03	36.60	0.01	36.61	36.61	0	0	--  	          0.00	--  	--  	--  	36.60	   251.32	0	  0.02	软件服务	四川	0.00	36.60	0	
300471	厚普股份	-0.08	49.37	-0.04	49.33	49.33	0	0	--  	          0.00	--  	--  	--  	49.37	    61.44	0	  0.38	专用机械	四川	0.00	49.37	0	
600021	上海电力	-0.16	12.59	-0.02	12.57	12.57	0	0	--  	          0.00	--  	--  	--  	12.59	    24.69	0	  0.08	火力发电	上海	0.00	12.59	0	
600022	山东钢铁	-0.36	2.76	-0.01	2.75	2.75	0	0	--  	          0.00	--  	--  	--  	2.76	   713.21	0	  0.36	普钢	山东	0.00	2.76	0	
600986	科达股份	-0.25	15.75	-0.04	15.71	15.71	0	0	--  	          0.00	--  	--  	--  	15.75	    33.92	0	  0.37	互联网	山东	0.00	15.75	0	
601519	大智慧	-0.15	6.46	-0.01	6.45	6.45	0	0	--  	          0.00	--  	--  	--  	6.46	--  	0	  0.46	软件服务	上海	0.00	6.46	0	
603599	广信股份	-0.06	16.89	-0.01	16.88	16.88	0	0	--  	          0.00	--  	--  	--  	16.89	    32.81	0	  0.04	农药化肥	安徽	0.00	16.89	0	
603799	华友钴业	-0.61	55.34	-0.34	55.00	55.00	0	0	--  	          0.00	--  	--  	--  	55.34	  2201.06	0	  0.59	小金属	浙江	0.00	55.34	0	
数据来源:通达信
