代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000066	长城电脑	0.09	10.91	0.01	10.92	10.92	0	0	--  	          0.00	--  	--  	--  	10.91	   896.23	0	  0.21	电脑设备	深圳	0.00	10.91	0	
000820	神雾节能	-0.52	38.10	-0.20	37.90	37.90	0	0	--  	          0.00	--  	--  	--  	38.10	   121.09	0	  0.14	环境保护	辽宁	0.00	38.10	0	
002235	安妮股份	0.12	16.18	0.02	16.20	16.20	0	0	--  	          0.00	--  	--  	--  	16.18	   455.57	0	  0.39	造纸	福建	0.00	16.18	0	
002256	兆新股份	0.00	6.37	0.00	6.37	6.37	0	0	--  	          0.00	--  	--  	--  	6.37	    99.00	0	  0.22	染料涂料	深圳	0.00	6.37	0	
002289	*ST宇顺	0.12	24.65	0.03	24.68	24.68	0	0	--  	          0.00	--  	--  	--  	24.65	--  	0	  0.10	元器件	深圳	0.00	24.65	0	
002358	森源电气	-0.24	21.21	-0.05	21.16	21.16	0	0	--  	          0.00	--  	--  	--  	21.21	    50.03	0	  0.22	电气设备	河南	0.00	21.21	0	
002436	兴森科技	0.00	7.50	0.00	7.50	7.50	0	0	--  	          0.00	--  	--  	--  	7.50	    59.91	0	  0.11	元器件	深圳	0.00	7.50	0	
002453	天马精化	0.29	10.17	0.03	10.20	10.20	0	0	--  	          0.00	--  	--  	--  	10.17	   378.21	0	  0.03	化工原料	江苏	0.00	10.17	0	
002456	欧菲光	0.33	36.03	0.12	36.15	36.15	0	0	--  	          0.00	--  	--  	--  	36.03	    51.79	0	  0.69	元器件	深圳	0.00	36.03	0	
002467	二六三	0.48	10.50	0.05	10.55	10.55	0	0	--  	          0.00	--  	--  	--  	10.50	    65.88	0	  0.89	电信运营	北京	0.00	10.50	0	
002672	东江环保	0.00	18.24	0.00	18.24	18.24	0	0	--  	          0.00	--  	--  	--  	18.24	    31.90	0	  0.14	环境保护	广东	0.00	18.24	0	
002701	奥瑞金	0.00	8.69	0.00	8.69	8.69	0	0	--  	          0.00	--  	--  	--  	8.69	    15.01	0	  0.20	广告包装	北京	0.00	8.69	0	
002711	欧浦智网	-0.06	17.18	-0.01	17.17	17.17	0	0	--  	          0.00	--  	--  	--  	17.18	    53.25	0	  0.02	仓储物流	广东	0.00	17.18	0	
300003	乐普医疗	0.17	17.25	0.03	17.28	17.28	0	0	--  	          0.00	--  	--  	--  	17.25	    42.41	0	  0.14	医疗保健	北京	0.00	17.25	0	
300056	三维丝	-0.05	19.65	-0.01	19.64	19.64	0	0	--  	          0.00	--  	--  	--  	19.65	    68.23	0	  0.44	环境保护	福建	0.00	19.65	0	
300083	劲胜精密	3.62	8.57	0.31	8.88	8.88	0	0	--  	          0.00	--  	--  	--  	8.57	   115.34	0	  7.92	元器件	广东	0.00	8.57	0	
300261	雅本化学	-1.26	10.34	-0.13	10.21	10.21	0	0	--  	          0.00	--  	--  	--  	10.34	   193.68	0	  0.80	农药化肥	江苏	0.00	10.34	0	
300346	南大光电	0.23	34.32	0.08	34.40	34.40	0	0	--  	          0.00	--  	--  	--  	34.32	   288.75	0	  1.96	元器件	江苏	0.00	34.32	0	
600208	新湖中宝	--  	5.14	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	5.14	    47.74	0	  0.00	全国地产	浙江	0.00	5.14	0	
600312	平高电气	--  	16.29	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.29	    19.00	0	  0.00	电气设备	河南	0.00	16.29	0	
600327	大东方	0.42	9.60	0.04	9.64	9.64	0	0	--  	          0.00	--  	--  	--  	9.60	    23.49	0	  0.40	百货	江苏	0.00	9.60	0	
600379	宝光股份	0.89	22.40	0.20	22.60	22.60	0	0	--  	          0.00	--  	--  	--  	22.40	    97.25	0	  0.36	电气设备	陕西	0.00	22.40	0	
600390	*ST金瑞	--  	14.53	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	14.53	   420.03	0	  0.00	小金属	湖南	0.00	14.53	0	
600594	益佰制药	0.00	18.30	0.00	18.30	18.30	0	0	--  	          0.00	--  	--  	--  	18.30	    37.46	0	  0.06	中成药	贵州	0.00	18.30	0	
600683	京投发展	-0.54	9.20	-0.05	9.15	9.15	0	0	--  	          0.00	--  	--  	--  	9.20	    51.99	0	  0.13	区域地产	浙江	0.00	9.20	0	
600767	运盛医疗	-0.93	14.03	-0.13	13.90	13.90	0	0	--  	          0.00	--  	--  	--  	14.03	--  	0	  0.24	医疗保健	上海	0.00	14.03	0	
600794	保税科技	-0.18	5.64	-0.01	5.63	5.63	0	0	--  	          0.00	--  	--  	--  	5.64	   277.20	0	  0.38	仓储物流	江苏	0.00	5.64	0	
600888	新疆众和	-1.18	9.31	-0.11	9.20	9.20	0	0	--  	          0.00	--  	--  	--  	9.31	   136.00	0	  0.89	铝	新疆	0.00	9.31	0	
600978	宜华生活	-0.26	11.56	-0.03	11.53	11.53	0	0	--  	          0.00	--  	--  	--  	11.56	    21.07	0	  0.03	家居用品	广东	0.00	11.56	0	
600992	贵绳股份	0.13	15.91	0.02	15.93	15.93	0	0	--  	          0.00	--  	--  	--  	15.91	   222.45	0	  0.10	钢加工	贵州	0.00	15.91	0	
数据来源:通达信
