代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000001	平安银行	-0.11	9.44	-0.01	9.43	9.43	0	0	--  	          0.00	--  	--  	--  	9.44	     6.49	0	  0.86	银行	深圳	0.00	9.44	0	
000002	万 科Ａ	0.48	20.71	0.10	20.81	20.81	0	0	--  	          0.00	--  	--  	--  	20.71	    20.75	0	  0.84	全国地产	深圳	0.00	20.71	0	
000006	深振业Ａ	-0.23	8.76	-0.02	8.74	8.74	0	0	--  	          0.00	--  	--  	--  	8.76	    77.47	0	  0.78	区域地产	深圳	0.00	8.76	0	
000009	中国宝安	-0.21	9.75	-0.02	9.73	9.73	0	0	--  	          0.00	--  	--  	--  	9.75	    74.71	0	  0.14	综合类	深圳	0.00	9.75	0	
000011	深物业A	0.30	16.91	0.05	16.96	16.96	0	0	--  	          0.00	--  	--  	--  	16.91	--  	0	  0.23	区域地产	深圳	0.00	16.91	0	
000012	南 玻Ａ	0.00	11.35	0.00	11.35	11.35	0	0	--  	          0.00	--  	--  	--  	11.35	    24.71	0	  0.17	玻璃	深圳	0.00	11.35	0	
000014	沙河股份	--  	18.73	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	18.73	--  	0	  0.00	全国地产	深圳	0.00	18.73	0	
000021	深科技	0.00	9.89	0.00	9.89	9.89	0	0	--  	          0.00	--  	--  	--  	9.89	    35.95	0	  0.18	电脑设备	深圳	0.00	9.89	0	
000022	深赤湾Ａ	0.25	19.75	0.05	19.80	19.80	0	0	--  	          0.00	--  	--  	--  	19.75	    22.35	0	  0.35	港口	深圳	0.00	19.75	0	
000023	深天地Ａ	0.66	30.40	0.20	30.60	30.60	0	0	--  	          0.00	--  	--  	--  	30.40	   382.65	0	  0.09	其他建材	深圳	0.00	30.40	0	
000026	飞亚达Ａ	0.28	14.46	0.04	14.50	14.50	0	0	--  	          0.00	--  	--  	--  	14.46	    57.33	0	  0.27	其他商业	深圳	0.00	14.46	0	
