代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000885	同力水泥	0.04	26.79	0.01	26.79	26.80	605	605	0.00	          0.01	26.79	26.79	26.79	26.78	  4653.36	1620795	  0.59	水泥	河南	0.00	26.79	303	
002055	得润电子	6.21	25.50	1.49	25.50	25.53	12417	12417	0.00	          0.31	25.50	25.50	25.50	24.01	   112.63	31663988	 29.71	元器件	深圳	0.00	25.50	6209	
002307	北新路桥	-0.08	12.52	-0.01	12.52	12.53	296	296	0.00	          0.01	12.52	12.52	12.52	12.53	   199.77	370592	  0.33	建筑施工	新疆	0.00	12.52	148	
002577	雷柏科技	-0.63	32.98	-0.21	32.95	32.98	519	519	0.00	          0.02	32.98	32.98	32.98	33.19	   393.05	1711662	  0.93	电脑设备	深圳	0.00	32.98	260	
002787	华源控股	0.00	37.94	0.00	37.94	37.95	76	76	0.00	          0.01	37.94	37.94	37.94	37.94	    44.85	288344	  0.88	广告包装	江苏	0.00	37.94	38	
002800	天顺股份	0.40	62.00	0.25	61.80	62.00	32	32	0.00	          0.02	62.00	62.00	62.00	61.75	   139.92	198400	  0.97	仓储物流	新疆	0.00	62.00	16	
002802	洪汇新材	-1.21	51.31	-0.63	51.31	51.83	202	202	0.00	          0.07	51.31	51.31	51.31	51.94	   105.50	1036462	  2.08	化工原料	江苏	0.00	51.31	101	
002810	山东赫达	-0.63	47.53	-0.30	47.53	47.79	23	23	0.00	          0.01	47.53	47.53	47.53	47.83	    91.72	109319	  0.30	化工原料	山东	0.00	47.53	12	
002812	创新股份	--  	55.50	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	55.50	    50.46	0	  0.00	广告包装	云南	0.00	55.50	0	
002813	路畅科技	--  	47.96	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	47.96	   111.97	0	  0.00	汽车配件	深圳	0.00	47.96	0	
002815	崇达技术	-0.07	44.77	-0.03	44.66	44.77	75	75	0.00	          0.01	44.77	44.77	44.77	44.80	    48.85	335775	  0.37	半导体	深圳	0.00	44.77	38	
002818	富森美	-0.09	54.90	-0.05	54.76	54.90	78	78	0.00	          0.02	54.90	54.90	54.90	54.95	    41.93	428220	  0.54	房产服务	四川	0.00	54.90	39	
300023	宝德股份	--  	17.69	--  	17.70	17.74	0	0	--  	          0.00	--  	--  	--  	17.69	    88.97	0	  0.00	专用机械	陕西	0.00	17.69	0	
300047	天源迪科	0.73	16.53	0.12	16.51	16.53	463	463	0.00	          0.02	16.53	16.53	16.53	16.41	   184.20	765339	  1.43	软件服务	深圳	0.00	16.53	232	
300127	银河磁体	0.11	19.03	0.02	19.03	19.06	129	129	0.00	          0.01	19.03	19.03	19.03	19.01	    55.08	245487	  0.88	元器件	四川	0.00	19.03	65	
300333	兆日科技	0.13	15.55	0.02	15.50	15.55	212	212	0.00	          0.01	15.55	15.55	15.55	15.53	   180.20	329660	  1.25	元器件	深圳	0.00	15.55	106	
300359	全通教育	--  	20.12	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	20.12	   226.85	0	  0.00	文教休闲	广东	0.00	20.12	0	
300379	东方通	-0.01	70.39	-0.01	70.38	70.39	156	156	0.00	          0.02	70.39	70.39	70.39	70.40	   162.25	1098084	  0.58	软件服务	北京	0.00	70.39	78	
300380	安硕信息	0.93	34.80	0.32	34.66	34.80	247	247	0.00	          0.04	34.80	34.80	34.80	34.48	   535.98	859560	  3.13	软件服务	上海	0.00	34.80	124	
300391	康跃科技	--  	21.84	--  	21.95	21.99	0	0	--  	          0.00	--  	--  	--  	21.84	   862.40	0	  0.00	机械基件	山东	0.00	21.84	0	
300402	宝色股份	-0.72	27.40	-0.20	27.38	27.40	235	235	0.00	          0.04	27.40	27.40	27.40	27.60	--  	643900	  0.60	专用机械	江苏	0.00	27.40	118	
300465	高伟达	-0.13	15.22	-0.02	15.22	15.24	230	230	0.00	          0.01	15.22	15.22	15.22	15.24	   438.55	350060	  0.46	软件服务	北京	0.00	15.22	115	
300486	东杰智能	--  	22.63	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	22.63	--  	0	  0.00	专用机械	山西	0.00	22.63	0	
300493	润欣科技	-0.60	48.40	-0.29	48.36	48.40	54	54	0.00	          0.01	48.40	48.40	48.40	48.69	   117.78	261360	  0.44	通信设备	上海	0.00	48.40	27	
300499	高澜股份	-0.42	37.66	-0.16	37.66	37.82	108	108	0.00	          0.02	37.66	37.66	37.66	37.82	   147.06	406728	  1.14	专用机械	广东	0.00	37.66	54	
