代码	名称	细分行业	地区	上市日期
000001	平安银行	银行	深圳	19910403
000002	万 科Ａ	全国地产	深圳	19910129
000004	国农科技	生物制药	深圳	19910114
000005	世纪星源	房产服务	深圳	19901210
000006	深振业Ａ	区域地产	深圳	19920427
000007	全新好	酒店餐饮	深圳	19920413
000008	神州高铁	运输设备	北京	19920507
000009	中国宝安	综合类	深圳	19910625
000010	美丽生态	建筑施工	深圳	19951027
000011	深物业A	区域地产	深圳	19920330
000012	南 玻Ａ	玻璃	深圳	19920228
000014	沙河股份	全国地产	深圳	19920602
000016	深康佳Ａ	家用电器	深圳	19920327
000017	深中华A	文教休闲	深圳	19920331
000018	神州长城	装修装饰	深圳	19920616
000019	深深宝Ａ	软饮料	深圳	19921012
000020	深华发Ａ	元器件	深圳	19920428
000021	深科技	电脑设备	深圳	19940202
000022	深赤湾Ａ	港口	深圳	19930505
000023	深天地Ａ	其他建材	深圳	19930429
000025	特 力Ａ	汽车服务	深圳	19930621
000026	飞亚达Ａ	其他商业	深圳	19930603
000027	深圳能源	火力发电	深圳	19930903
000028	国药一致	医药商业	深圳	19930809
000029	深深房Ａ	区域地产	深圳	19930915
000030	富奥股份	汽车配件	吉林	19930929
000031	中粮地产	全国地产	深圳	19931008
000032	深桑达Ａ	元器件	深圳	19931028
000034	神州数码	综合类	深圳	19940509
000035	中国天楹	环境保护	江苏	19940408
000036	华联控股	全国地产	深圳	19940617
000037	*ST南电A	火力发电	深圳	19940701
000038	深大通	广告包装	深圳	19940808
000039	中集集团	轻工机械	深圳	19940408
000040	东旭蓝天	全国地产	深圳	19940808
000042	中洲控股	全国地产	深圳	19940921
000043	中航地产	全国地产	深圳	19940928
000045	深纺织Ａ	纺织	深圳	19940815
000046	泛海控股	全国地产	北京	19940912
000048	康达尔	饲料	深圳	19941101
000049	德赛电池	电气设备	深圳	19950320
000050	深天马Ａ	元器件	深圳	19950315
000055	方大集团	其他建材	深圳	19960415
000056	皇庭国际	房产服务	深圳	19960708
000058	深 赛 格	元器件	深圳	19961226
000059	华锦股份	石油加工	辽宁	19970130
000060	中金岭南	铅锌	深圳	19970123
000061	农 产 品	农业综合	深圳	19970110
000062	深圳华强	商贸代理	深圳	19970130
000063	中兴通讯	通信设备	深圳	19971118
000065	北方国际	建筑施工	北京	19980605
000066	长城电脑	电脑设备	深圳	19970626
000068	华控赛格	元器件	深圳	19970611
000069	华侨城Ａ	旅游景点	深圳	19970910
000070	特发信息	通信设备	深圳	20000511
000078	海王生物	生物制药	深圳	19981218
000088	盐 田 港	港口	深圳	19970728
000089	深圳机场	机场	深圳	19980420
000090	天健集团	建筑施工	深圳	19990721
000096	广聚能源	石油贸易	深圳	20000724
000099	中信海直	空运	深圳	20000731
000100	TCL 集团	家用电器	广东	20040130
000150	宜华健康	医疗保健	广东	20000807
000151	中成股份	商贸代理	北京	20000906
000153	丰原药业	化学制药	安徽	20000920
000156	华数传媒	影视音像	浙江	20000906
000157	中联重科	工程机械	湖南	20001012
000158	常山股份	纺织	河北	20000724
000159	国际实业	石油贸易	新疆	20000926
000166	申万宏源	证券	新疆	20150126
