证券代码	证券名称	"总股本
[截止日期]2016-12-31
[单位]股"	"流通A股
[截止日期]2016-12-31
[单位]股"	"自由流通股本
[截止日期]2016-12-31
[单位]股"	"总股本
[截止日期]2016-09-30
[单位]股"	"流通A股
[截止日期]2016-09-30
[单位]股"	"自由流通股本
[截止日期]2016-09-30
[单位]股"	"总股本
[截止日期]2016-06-30
[单位]股"	"流通A股
[截止日期]2016-06-30
[单位]股"	"自由流通股本
[截止日期]2016-06-30
[单位]股"	"总股本
[截止日期]2015-12-31
[单位]股"	"流通A股
[截止日期]2015-12-31
[单位]股"	"自由流通股本
[截止日期]2015-12-31
[单位]股"	"总股本
[截止日期]2015-06-30
[单位]股"	"流通A股
[截止日期]2015-06-30
[单位]股"	"自由流通股本
[截止日期]2015-06-30
[单位]股"	"总股本
[截止日期]2014-12-31
[单位]股"	"流通A股
[截止日期]2014-12-31
[单位]股"	"自由流通股本
[截止日期]2014-12-31
[单位]股"	"总股本
[截止日期]2014-06-30
[单位]股"	"流通A股
[截止日期]2014-06-30
[单位]股"	"自由流通股本
[截止日期]2014-06-30
[单位]股"	"总股本
[截止日期]2013-12-31
[单位]股"	"流通A股
[截止日期]2013-12-31
[单位]股"	"自由流通股本
[截止日期]2013-12-31
[单位]股"	"总股本
[截止日期]2013-06-30
[单位]股"	"流通A股
[截止日期]2013-06-30
[单位]股"	"自由流通股本
[截止日期]2013-06-30
[单位]股"	"总股本
[截止日期]2012-12-31
[单位]股"	"流通A股
[截止日期]2012-12-31
[单位]股"	"自由流通股本
[截止日期]2012-12-31
[单位]股"	"总股本
[截止日期]2012-06-30
[单位]股"	"流通A股
[截止日期]2012-06-30
[单位]股"	"总股本
[截止日期]2011-12-31
[单位]股"	"流通A股
[截止日期]2011-12-31
[单位]股"	"总股本
[截止日期]2011-06-30
[单位]股"	"流通A股
[截止日期]2011-06-30
[单位]股"	"总股本
[截止日期]2010-12-31
[单位]股"	"流通A股
[截止日期]2010-12-31
[单位]股"	"总股本
[截止日期]2010-06-30
[单位]股"	"流通A股
[截止日期]2010-06-30
[单位]股"
000001.SZ	平安银行	"17,170,411,366"	"14,631,180,387"	"8,585,205,683"	"17,170,411,366"	"14,631,180,387"	"6,868,164,546"	"17,170,411,366"	"14,631,180,387"	"6,868,164,546"	"14,308,676,139"	"11,804,054,579"	"5,723,470,456"	"14,308,676,139"	"11,804,054,579"	"5,723,470,456"	"11,424,894,787"	"9,836,712,150"	"5,712,447,394"	"11,424,894,787"	"6,691,058,620"	"5,712,447,394"	"8,197,360,665"	"5,575,901,875"	"4,098,680,333"	"8,197,360,665"	"4,968,573,875"	"4,098,680,333"	"5,123,350,416"	"3,105,358,022"	"2,561,675,208"	"5,123,350,416"	"3,105,358,672"	"5,123,350,416"	"3,105,358,672"	"3,485,013,762"	"3,105,358,672"	"3,485,013,762"	"3,105,358,511"	"3,485,013,762"	"3,105,367,602"
000002.SZ	万科A	"11,039,152,001"	"9,708,107,759"	"6,806,923,573"	"11,039,152,001"	"9,708,107,759"	"7,779,341,226"	"11,039,152,001"	"9,708,107,759"	"7,779,341,226"	"11,051,612,300"	"9,720,583,058"	"7,760,056,761"	"11,048,058,100"	"9,717,715,633"	"9,700,070,951"	"11,037,507,242"	"9,706,677,295"	"9,700,070,951"	"11,015,027,119"	"9,671,913,090"	"9,680,254,750"	"11,014,968,919"	"9,676,185,190"	"9,680,254,750"	"11,013,724,969"	"9,674,941,240"	"9,680,254,750"	"10,995,553,118"	"9,662,194,977"	"9,680,254,750"	"10,995,210,218"	"9,662,036,030"	"10,995,210,218"	"9,661,828,366"	"10,995,210,218"	"9,658,578,326"	"10,995,210,218"	"9,660,889,972"	"10,995,210,218"	"9,656,079,910"
000004.SZ	国农科技	"83,976,684"	"82,961,384"	"50,386,010"	"83,976,684"	"82,961,384"	"50,386,010"	"83,976,684"	"82,961,384"	"50,386,010"	"83,976,684"	"82,961,884"	"50,386,010"	"83,976,684"	"83,875,459"	"67,181,347"	"83,976,684"	"83,875,459"	"67,181,347"	"83,976,684"	"83,875,459"	"67,181,347"	"83,976,684"	"83,875,459"	"67,181,347"	"83,976,684"	"83,875,459"	"67,181,347"	"83,976,684"	"83,875,459"	"67,181,347"	"83,976,684"	"83,875,459"	"83,976,684"	"83,875,459"	"83,976,684"	"83,877,184"	"83,976,684"	"83,877,184"	"83,976,684"	"70,307,411"
000005.SZ	世纪星源	"1,058,536,842"	"913,743,007"	"740,975,789"	"1,058,536,842"	"913,743,007"	"740,975,789"	"1,058,536,842"	"913,743,007"	"740,975,789"	"1,058,536,842"	"913,743,007"	"740,975,789"	"914,333,607"	"913,743,007"	"731,466,886"	"914,333,607"	"913,743,007"	"731,466,886"	"914,333,607"	"913,743,007"	"731,466,886"	"914,333,607"	"913,743,007"	"731,466,886"	"914,333,607"	"913,743,007"	"731,466,886"	"914,333,607"	"913,743,007"	"731,466,886"	"914,333,607"	"913,743,007"	"914,333,607"	"913,743,007"	"914,333,607"	"913,743,007"	"914,333,607"	"913,743,007"	"914,333,607"	"913,743,007"
000006.SZ	深振业A	"1,349,995,046"	"1,345,151,388"	"944,996,532"	"1,349,995,046"	"1,345,151,388"	"944,996,532"	"1,349,995,046"	"1,345,151,388"	"944,996,532"	"1,349,995,046"	"1,340,266,070"	"944,996,532"	"1,349,995,046"	"1,341,487,400"	"944,996,532"	"1,349,995,046"	"1,338,897,143"	"944,996,532"	"1,349,995,046"	"1,338,897,143"	"944,996,532"	"1,349,995,046"	"1,338,241,583"	"944,996,532"	"1,349,995,046"	"1,335,952,936"	"944,996,532"	"1,285,709,568"	"1,265,370,993"	"899,996,698"	"989,007,360"	"973,360,802"	"989,007,360"	"967,848,273"	"989,007,360"	"967,849,773"	"760,774,893"	"740,890,392"	"760,774,893"	"740,905,392"
000007.SZ	全新好	"230,965,363"	"205,965,363"	"184,772,290"	"230,965,363"	"205,965,363"	"184,772,290"	"230,965,363"	"205,965,363"	"184,772,290"	"230,965,363"	"205,793,463"	"184,772,290"	"230,965,363"	"205,887,138"	"184,772,290"	"230,965,363"	"205,813,141"	"184,772,290"	"230,965,363"	"205,813,141"	"161,675,754"	"230,965,363"	"184,813,141"	"161,675,754"	"230,965,363"	"184,831,640"	"161,675,754"	"230,965,363"	"184,831,640"	"161,675,754"	"230,965,363"	"184,965,363"	"230,965,363"	"184,965,363"	"230,965,363"	"184,965,363"	"184,965,363"	"184,965,363"	"184,965,363"	"184,965,363"
000008.SZ	神州高铁	"2,809,078,279"	"1,495,228,561"	"827,312,784"	"2,757,709,279"	"1,494,939,643"	"827,312,784"	"2,757,709,279"	"1,494,939,643"	"827,312,784"	"2,409,432,927"	"640,138,626"	"722,829,878"	"803,144,309"	"213,594,042"	"240,943,293"	"303,601,640"	"147,306,236"	"151,800,820"	"303,601,640"	"147,306,236"	"121,440,656"	"303,601,640"	"147,306,236"	"121,440,656"	"303,601,640"	"147,306,236"	"121,440,656"	"151,800,820"	"73,653,118"	"60,720,328"	"73,653,208"	"73,653,118"	"73,653,208"	"73,653,118"	"73,653,208"	"73,653,118"	"73,653,208"	"73,653,118"	"73,653,208"	"51,715,710"
000009.SZ	中国宝安	"2,149,344,971"	"2,120,065,530"	"2,149,344,971"	"2,149,344,971"	"2,120,065,530"	"2,149,344,971"	"1,592,107,386"	"1,555,159,800"	"1,592,107,386"	"1,592,107,386"	"1,489,669,062"	"1,273,685,909"	"1,592,107,386"	"1,489,669,062"	"1,273,685,909"	"1,505,235,729"	"1,489,669,062"	"1,505,235,729"	"1,254,363,108"	"1,241,390,885"	"1,254,363,108"	"1,254,363,108"	"1,241,390,885"	"1,254,363,108"	"1,090,750,529"	"1,079,470,335"	"1,090,750,529"	"1,090,750,529"	"1,079,470,335"	"1,090,750,529"	"1,090,750,529"	"1,079,437,690"	"1,090,750,529"	"1,079,437,690"	"1,090,750,529"	"1,075,802,251"	"1,090,750,529"	"1,072,746,663"	"1,090,750,529"	"1,071,298,932"
000010.SZ	美丽生态	"819,854,713"	"407,929,925"	"409,927,357"	"819,854,713"	"407,929,925"	"409,927,357"	"819,854,713"	"407,929,925"	"409,927,357"	"819,854,713"	"407,929,925"	"352,806,570"	"588,069,788"	"358,157,448"	"352,841,873"	"588,069,788"	"358,157,448"	"352,841,873"	"588,069,788"	"271,175,384"	"294,034,894"	"588,069,788"	"271,175,384"	"294,034,894"	"147,017,448"	"67,793,846"	"73,508,724"	"147,017,448"	"67,793,846"	"73,508,724"	"147,017,448"	"67,793,846"	"147,017,448"	"67,793,846"	"147,017,448"	"67,793,846"	"147,017,448"	"67,793,846"	"147,017,448"	"67,793,844"
000011.SZ	深物业A	"595,979,092"	"175,862,626"	"158,512,155"	"595,979,092"	"175,862,626"	"158,512,155"	"595,979,092"	"175,862,626"	"158,512,155"	"595,979,092"	"175,862,626"	"158,512,155"	"595,979,092"	"175,862,626"	"158,512,155"	"595,979,092"	"175,862,626"	"158,512,155"	"595,979,092"	"175,862,626"	"158,512,155"	"595,979,092"	"175,812,811"	"158,512,155"	"595,979,092"	"175,734,224"	"158,512,155"	"595,979,092"	"145,935,270"	"158,512,155"	"595,979,092"	"145,154,685"	"595,979,092"	"145,154,685"	"595,979,092"	"142,404,390"	"595,979,092"	"139,737,297"	"595,979,092"	"139,737,298"
