日期	Wind代码	证券名称	权重
2017-03-28	000001	平安银行	0.374000 
2017-03-28	000002	万科A	0.642000 
2017-03-28	000004	国农科技	0.009000 
2017-03-28	000005	世纪星源	0.022000 
2017-03-28	000006	深振业A	0.038000 
2017-03-28	000007	全新好	0.020000 
2017-03-28	000008	神州高铁	0.033000 
2017-03-28	000009	中国宝安	0.096000 
2017-03-28	000010	美丽生态	0.013000 
2017-03-28	000011	深物业A	0.013000 
2017-03-28	000012	南玻A	0.049000 
2017-03-28	000014	沙河股份	0.010000 
2017-03-28	000016	深康佳A	0.023000 
2017-03-28	000017	深中华A	0.014000 
2017-03-28	000018	神州长城	0.013000 
2017-03-28	000019	深深宝A	0.021000 
2017-03-28	000020	深华发A	0.007000 
2017-03-28	000021	深科技	0.033000 
2017-03-28	000022	深赤湾A	0.012000 
2017-03-28	000023	深天地A	0.011000 
2017-03-28	000025	特力A	0.013000 
2017-03-28	000026	飞亚达A	0.012000 
2017-03-28	000027	深圳能源	0.039000 
2017-03-28	000028	国药一致	0.048000 
2017-03-28	000029	深深房A	0.014000 
2017-03-28	000030	富奥股份	0.020000 
2017-03-28	000031	中粮地产	0.043000 
2017-03-28	000032	深桑达A	0.012000 
2017-03-28	000034	神州数码	0.037000 
2017-03-28	000035	中国天楹	0.026000 
2017-03-28	000036	华联控股	0.031000 
2017-03-28	000038	深大通	0.008000 
2017-03-28	000039	中集集团	0.059000 
2017-03-28	000040	东旭蓝天	0.023000 
2017-03-28	000042	中洲控股	0.025000 
2017-03-28	000043	中航地产	0.018000 
2017-03-28	000045	深纺织A	0.015000 
2017-03-28	000046	泛海控股	0.068000 
2017-03-28	000048	康达尔	0.048000 
2017-03-28	000049	德赛电池	0.026000 
2017-03-28	000050	深天马A	0.048000 
2017-03-28	000055	方大集团	0.024000 
2017-03-28	000056	皇庭国际	0.016000 
2017-03-28	000058	深赛格	0.016000 
2017-03-28	000059	华锦股份	0.062000 
2017-03-28	000060	中金岭南	0.082000 
2017-03-28	000061	农产品	0.037000 
2017-03-28	000062	深圳华强	0.027000 
2017-03-28	000063	中兴通讯	0.173000 
2017-03-28	000065	北方国际	0.028000 
2017-03-28	000066	长城电脑	0.099000 
2017-03-28	000068	华控赛格	0.019000 
2017-03-28	000069	华侨城A	0.113000 
2017-03-28	000070	特发信息	0.018000 
2017-03-28	000078	海王生物	0.048000 
2017-03-28	000088	盐田港	0.027000 
2017-03-28	000089	深圳机场	0.039000 
2017-03-28	000090	天健集团	0.026000 
2017-03-28	000096	广聚能源	0.020000 
2017-03-28	000099	中信海直	0.024000 
2017-03-28	000100	TCL集团	0.123000 
2017-03-28	000150	宜华健康	0.030000 
2017-03-28	000151	中成股份	0.016000 
2017-03-28	000153	丰原药业	0.013000 
2017-03-28	000156	华数传媒	0.047000 
2017-03-28	000157	中联重科	0.098000 
2017-03-28	000158	常山股份	0.026000 
2017-03-28	000159	国际实业	0.018000 
2017-03-28	000166	申万宏源	0.177000 
2017-03-28	000301	东方市场	0.020000 
2017-03-28	000333	美的集团	0.658000 
2017-03-28	000338	潍柴动力	0.125000 
2017-03-28	000400	许继电气	0.050000 
2017-03-28	000401	冀东水泥	0.042000 
2017-03-28	000402	金融街	0.060000 
2017-03-28	000404	华意压缩	0.018000 
2017-03-28	000407	胜利股份	0.028000 
2017-03-28	000409	山东地矿	0.016000 
2017-03-28	000410	沈阳机床	0.029000 
2017-03-28	000411	英特集团	0.011000 
