时间,前流通盘,后流通盘,前总股本,后总股本
2017/5/5,383439668.3,408421600.5,525271071.7,561334543.4
2017/5/4,383439668.3,408421600.5,525271071.7,561334543.4
2017/5/3,383439668.3,408421600.5,525271071.7,561334543.4
2017/5/2,383439668.3,408421600.5,525271071.7,561334543.4
2017/4/28,383439668.3,408421600.5,525271071.7,561334543.4
2017/4/27,383439668.3,408421600.5,525271071.7,561334543.4
2017/4/26,383439668.3,408421600.5,525271071.7,561334543.4
2017/4/25,383439668.3,408421600.5,525271071.7,561334543.4
2017/4/24,383439668.3,408421600.5,525271071.7,561334543.4
2017/4/21,383435033.3,408392676.7,525268998.2,561288372.1
2017/4/20,383425963.2,408391678.6,525198525.2,561288371.1
2017/4/19,383417247.5,408286967.2,525085851,561288641.1
2017/4/18,383048342.5,407948090.8,525021221.6,560827201.5
2017/4/17,382969542.2,407730663,524971546.5,560419339.2
2017/4/14,382598023.5,407608369.2,524523963.6,560261193.6
2017/4/13,382568129.2,407530553,524486556.6,560172870.8
2017/4/12,382547748.4,407523161.3,524388381.8,560163663.7
2017/4/11,382498709.9,407490464.7,524352927.8,560163802.6
2017/4/10,382498710.7,407477681,524352936,560151122
2017/4/7,382267815.4,406455989.5,524090522.4,560143372
2017/4/6,382244096.1,406381186.5,523790631.7,559868063.3
2017/4/5,382228156.8,406377419.3,523757549.7,559864522.3
2017/3/31,382210548.3,406359746.2,523716735.6,559854431.7
2017/3/30,381939404.6,406189623.7,523339386.8,559846734.3
2017/3/29,381917908.3,406191550.6,523293642.2,559834627.8
2017/3/28,381517696.5,406188196.9,523183802.3,559664571.3
2017/3/27,381516701.9,406122352.9,523183070.3,559655621
2017/3/24,381382790.5,405917231.9,523013276.1,559546039.3
2017/3/23,381350950.9,405901119.6,522931475.6,559526063.8
2017/3/22,381124421.5,405740526.8,522594682.6,559470629.3
2017/3/21,381108725.9,405708504.1,522579053.8,559442488.8
2017/3/20,381030157.5,405690131.6,522530595.3,559429710.6
2017/3/17,380832885.9,405552229.2,522327597.9,559371562.7
2017/3/16,380843678.2,405530491.4,522269057.8,559263175.4
2017/3/15,380811190.9,405498079.4,522203027.6,559234100.6
2017/3/14,380799169.5,405492267.6,522179564.8,559217034.6
2017/3/13,380718571.8,405429607.5,522114327.3,559147352
2017/3/10,380690752.6,405415503.4,522049937.1,559076057.2
2017/3/9,380675060.8,405389586.9,522016618.9,559038689.8
2017/3/8,380674991.4,405384491,521970052.8,559035141.5
